spectrum,member,before_rate,before_x_eq,before_z,before_screen,before_status,after_rate,after_x_eq,after_z,after_screen,after_status,expected_z,reference,threshold
as80,Th-232,3.45e+04,39.871,7.0,"Th-232 0.40%",свободен,<1.248e+04,,,"Th-232 < 0.126 %",предел (правило),0.225,Pb-212,3
as80,Ac-228,691.3,0.799,112.0,"Ac-228 32.41%",свободен,686,0.793,108.4,"Ac-228 34.87%",свободен,170.039,Pb-212,3
as80,Th-228,1.215e+04,14.040,23.7,"Th-228 2.84%",свободен,<1335,,,"Th-228 < 0.239 %",предел (правило),2.120,Pb-212,3
as80,Ra-224,1113,1.286,182.6,"Ra-224 — по Pb-212 1.86%",по Pb-212,1076,1.244,172.1,"Ra-224 — по Pb-212 1.94%",по Pb-212,,,
as80,Rn-220,7.382e+04,85.314,42.7,"Rn-220 3.76%",свободен,<5536,,,"свёрнут: не определяются (2) < 0.163 %",предел (правило),0.643,Pb-212,3
as80,Po-216,<3.986e+05,,,"свёрнут: не определяются (1) < 0.079 %",предел,<4.103e+05,,,"свёрнут: не определяются (2) < 0.163 %",предел (правило),0.007,Pb-212,3
as80,Pb-212,1113,1.286,182.6,"Pb-212 23.22%",свободен,1076,1.244,172.1,"Pb-212 24.09%",свободен,,,
as80,Bi-212,629.8,0.728,26.8,"Bi-212 3.36%",свободен,599.5,0.693,25.1,"Bi-212 3.47%",свободен,45.032,Pb-212,3
as80,Tl-208,837.7,0.968,128.8,"Tl-208 32.16%",свободен,862.2,0.996,125.5,"Tl-208 35.64%",свободен,156.674,Pb-212,3
radon1,Th-232,4199,,23.0,"Th-232 5.19%",свободен,<593.6,,,"Th-232 < 0.601 %",предел (правило),0.022,Pb-212,3
radon1,Ac-228,<8.332,,,"Ac-228 < 1.8 %",предел,<7.8,,,"Ac-228 < 1.7 %",предел,4.678,Pb-212,3
radon1,Th-228,1344,,23.1,"Th-228 11.20%",свободен,<184.2,,,"Th-228 < 1.2 %",предел (правило),0.128,Pb-212,3
radon1,Ra-224,5.873,,6.6,"Ra-224 — по Pb-212 0.11%",по Pb-212,10.83,,12.8,"Ra-224 — по Pb-212 0.23%",по Pb-212,,,
radon1,Rn-220,<2150,,,"свёрнут: не определяются (5) < 0.787 %",предел,<2171,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило),0.009,Pb-212,3
radon1,Po-216,<1.576e+05,,,"свёрнут: не определяются (5) < 0.787 %",предел,<1.615e+05,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило),0.000,Pb-212,3
radon1,Pb-212,5.873,,6.6,"Pb-212 2.15%",свободен,10.83,,12.8,"Pb-212 4.25%",свободен,,,
radon1,Bi-212,<49.77,,,"Bi-212 < 0.902 %",предел,<50.59,,,"Bi-212 < 0.922 %",предел (правило),0.730,Pb-212,3
radon1,Tl-208,11.67,,5.6,"Tl-208 2.50%",свободен,12.12,,5.7,"Tl-208 2.79%",свободен,5.254,Pb-212,3
radon1,Ra-226,<30.12,,,"Ra-226 < 0.474 %",предел,<30.15,,,"Ra-226 < 0.477 %",предел,15.206,Pb-214,3
radon1,Rn-222,<2645,,,"свёрнут: не определяются (5) < 0.787 %",предел,<2706,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило),0.171,Pb-214,3
radon1,Pb-214,131.7,,67.6,"Pb-214 41.05%",свободен,136.1,,99.0,"Pb-214 45.73%",свободен,,,
radon1,Bi-214,141.9,,58.7,"Bi-214 37.80%",свободен,141.5,,60.0,"Bi-214 40.92%",свободен,58.891,Pb-214,3
radon1,Po-214,<2.652e+04,,,"свёрнут: не определяются (5) < 0.787 %",предел,<2.717e+04,,,"свёрнут: не определяются (5) < 0.808 %",предел (правило),0.017,Pb-214,3
radon1,Pb-210,<92.48,,,"Pb-210 < 1.1 %",предел,<67.23,,,"Pb-210 < 0.806 %",предел,6.419,Pb-214,3
radon1,Po-210,<2.652e+04,,,"свёрнут: не определяются (5) < 0.787 %",предел,<2.717e+04,,,"свёрнут: не определяются (5) < 0.808 %",предел,,,
radon2,Th-232,1840,,13.6,"Th-232 21.15%",свободен,<447,,,"Th-232 < 1.86 %",предел (правило),0.111,Pb-212,3
radon2,Ac-228,<2.982,,,"Ac-228 < 2.78 %",предел,<3.289,,,"Ac-228 < 3 %",предел,14.261,Pb-212,3
radon2,Th-228,<123.4,,,"Th-228 < 3.34 %",предел,<128.6,,,"Th-228 < 3.41 %",предел (правило),0.374,Pb-212,3
radon2,Ra-224,14.74,,25.2,"Ra-224 — по Pb-212 3.88%",по Pb-212,14.17,,22.2,"Ra-224 — по Pb-212 2.89%",по Pb-212,,,
radon2,Rn-220,<1229,,,"свёрнут: не определяются (5) < 1.69 %",предел,<1349,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило),0.038,Pb-212,3
radon2,Po-216,<7.404e+04,,,"свёрнут: не определяются (5) < 1.69 %",предел,<8.129e+04,,,"свёрнут: не определяются (5) < 1.81 %",предел (правило),0.001,Pb-212,3
radon2,Pb-212,14.74,,25.2,"Pb-212 66.37%",свободен,14.17,,22.2,"Pb-212 47.95%",свободен,,,
