exe: 14.09.2026 15:59:29  sha256 5941380A189E3A46
as80_base      код 0  chi2/ndf 11.911, невязка модели 17.9 %, суммирование да  | правило не судило
as80_tie       код 0  chi2/ndf 11.940, невязка модели 17.5 %, суммирование да  | правило не судило
as80_lim       код 0  chi2/ndf 12.748, невязка модели 19.1 %, суммирование да  | предел (порог 3 отсева)
as80_both      код 0  chi2/ndf 12.596, невязка модели 18.6 %, суммирование да  | предел (порог 3 отсева)
as80_high      код 0  chi2/ndf 24.209, невязка модели 25.5 %, суммирование да  | предел (порог 1000 подменён)
as80_eq        код 0  chi2/ndf 14.115, невязка модели 21.3 %, суммирование да  | правило не судило
radon1_base    код 0  chi2/ndf 1.080, невязка модели 59.4 %, суммирование да  | правило не судило
radon1_tie     код 0  chi2/ndf 1.080, невязка модели 59.4 %, суммирование да  | правило не судило
radon1_lim     код 0  chi2/ndf 1.131, невязка модели 59.0 %, суммирование да  | предел (порог 3 отсева)
radon1_both    код 0  chi2/ndf 1.132, невязка модели 59.0 %, суммирование да  | предел (порог 3 отсева)
radon1_high    код 0  chi2/ndf 1.538, невязка модели 61.7 %, суммирование да  | предел (порог 1000 подменён)
radon1_eq      код 0  chi2/ndf 1.260, невязка модели 56.9 %, суммирование да  | правило не судило
radon2_base    код 0  chi2/ndf 1.085, невязка модели 74.6 %, суммирование да  | правило не судило
radon2_tie     код 0  chi2/ndf 1.073, невязка модели 74.2 %, суммирование да  | правило не судило
radon2_lim     код 0  chi2/ndf 1.285, невязка модели 79.7 %, суммирование да  | предел (порог 3 отсева)
radon2_both    код 0  chi2/ndf 1.287, невязка модели 79.7 %, суммирование да  | предел (порог 3 отсева)
radon2_high    код 0  chi2/ndf 1.287, невязка модели 79.7 %, суммирование да  | предел (порог 1000 подменён)
radon2_eq      код 0  chi2/ndf 1.129, невязка модели 74.8 %, суммирование да  | правило не судило
коды: as80_base=0 as80_tie=0 as80_lim=0 as80_both=0 as80_high=0 as80_eq=0 radon1_base=0 radon1_tie=0 radon1_lim=0 radon1_both=0 radon1_high=0 radon1_eq=0 radon2_base=0 radon2_tie=0 radon2_lim=0 radon2_both=0 radon2_high=0 radon2_eq=0
