key,t_mid_h,value,err,value352,err352
coal_e01,5.4884,1.045090,0.009976,1.570831,0.011946
coal_e02,9.4910,1.028943,0.009919,1.529670,0.011826
coal_e03,13.4937,1.000138,0.009818,1.501558,0.011743
coal_e04,17.4946,0.988835,0.009778,1.477687,0.011672
coal_e05,21.4972,0.964298,0.009690,1.423291,0.011509
coal_e06,25.4999,0.942958,0.009614,1.399946,0.011439
coal_e07,29.5024,0.906302,0.009480,1.344050,0.011268
coal_e08,33.5051,0.892376,0.009429,1.322986,0.011203
coal_e09,37.5076,0.880949,0.009387,1.303910,0.011143
coal_e10,41.5100,0.839273,0.009232,1.270331,0.011038
coal_e11,45.5125,0.837907,0.009227,1.234796,0.010926
coal_e12,49.5152,0.825260,0.009179,1.222353,0.010886
coal_e13,53.5174,0.793408,0.009058,1.179654,0.010749
coal_e14,57.5199,0.785834,0.009028,1.174739,0.010733
coal_e15,61.5223,0.750141,0.008890,1.122962,0.010564
coal_e16,65.5248,0.747996,0.008882,1.099019,0.010485
coal_e17,69.5274,0.740009,0.008850,1.070517,0.010391
coal_e18,73.5301,0.723043,0.008784,1.036605,0.010277
coal_e19,77.5326,0.698448,0.008686,1.026848,0.010244
coal_e20,81.5351,0.684621,0.008630,0.993521,0.010130
coal_e21,85.5376,0.669409,0.008569,0.980475,0.010085
coal_e22,89.5403,0.664886,0.008551,0.954151,0.009994
coal_e23,93.5429,0.644282,0.008467,0.932976,0.009920
coal_e24,97.5455,0.644485,0.008467,0.907716,0.009832
coal_e25,101.5480,0.616773,0.008353,0.897912,0.009797
coal_e26,105.5504,0.597493,0.008272,0.885790,0.009754
coal_e27,109.5529,0.606442,0.008310,0.886347,0.009756
coal_e28,113.5554,0.584987,0.008220,0.832052,0.009561
coal_e29,117.5579,0.567892,0.008147,0.808301,0.009474
coal_e30,121.5605,0.556948,0.008100,0.836061,0.009575
