section,key,t0_shift_min,nuclide,t_from_s,t_to_s,measured,err,predicted,residual_sigma
early,coal_t20m,0.0,Pb-214,1200,2682,82.3123,2.5230,79.9514,0.936
early,coal_t20m,0.0,Bi-214,1200,2682,73.0983,2.7010,72.6470,0.167
early,coal_t2h,0.0,Pb-214,5141,8670,66.5292,1.5750,69.7369,-2.037
early,coal_t2h,0.0,Bi-214,5141,8670,65.0044,1.8580,68.6597,-1.967
early,coal_t3h,0.0,Pb-214,8738,12338,69.3306,1.6080,68.1704,0.722
early,coal_t3h,0.0,Bi-214,8738,12338,67.4390,1.5680,65.9411,0.955
fit,hyp,0,P0,,,83.6936,5.2542,,
fit,hyp,0,Q0,,,46.9806,10.6401,,
fit,hyp,0,chi2,,,10.355,4,,
scan,,-90.0,,,,358.3518,-1772.9448,9.8453,0.000
scan,,-85.0,,,,319.8499,-1418.8961,9.7803,0.000
scan,,-80.0,,,,286.2726,-1130.2803,9.7260,0.000
scan,,-75.0,,,,256.9932,-895.3522,9.6824,0.000
scan,,-70.0,,,,231.4644,-704.4328,9.6495,0.000
scan,,-65.0,,,,209.2084,-549.5507,9.6274,0.000
scan,,-60.0,,,,189.8080,-424.1456,9.6162,0.000
scan,,-55.0,,,,172.8990,-322.8228,9.6158,0.000
scan,,-50.0,,,,158.1635,-241.1490,9.6265,0.000
scan,,-45.0,,,,145.3239,-175.4848,9.6482,0.000
scan,,-40.0,,,,134.1380,-122.8447,9.6811,0.000
scan,,-35.0,,,,124.3945,-80.7824,9.7251,0.000
scan,,-30.0,,,,115.9088,-47.2951,9.7804,0.000
scan,,-25.0,,,,108.5200,-20.7457,9.8472,0.000
scan,,-20.0,,,,102.0876,0.2033,9.9253,0.000
scan,,-15.0,,,,96.4890,16.6422,10.0151,0.000
scan,,-10.0,,,,91.6174,29.4594,10.1166,0.000
scan,,-5.0,,,,87.3793,39.3768,10.2299,0.000
scan,,0.0,,,,83.6936,46.9806,10.3551,0.000
scan,,5.0,,,,80.4892,52.7457,10.4925,0.000
scan,,10.0,,,,77.7042,57.0561,10.6422,0.000
scan,,15.0,,,,75.2845,60.2214,10.8043,0.000
scan,,20.0,,,,73.1829,62.4909,10.9789,0.000
scan,,25.0,,,,71.3578,64.0645,11.1656,0.000
scan,,30.0,,,,69.7717,65.1019,11.3628,0.000
thoron,coal_t20m,0.0,r0=0.0,1200,2682,1.00000,0.3120,0.8825,
thoron,coal_t2h,0.0,r0=0.0,5141,8670,0.91407,0.7633,0.9832,
thoron,coal_t3h,0.0,r0=0.0,8738,12338,0.85582,0.9224,0.9953,
thoron,coal_e01,0.0,r0=0.0,12558,26958,0.72603,1.0561,1.0026,
thoron,coal_e02,0.0,r0=0.0,26968,41368,0.55914,1.1009,1.0046,
thoron,coal_e03,0.0,r0=0.0,41377,55777,0.43061,1.1046,1.0048,
thoron,coal_e05,0.0,r0=0.0,70190,84590,0.25542,1.1050,1.0048,
thoron,coal_e10,0.0,r0=0.0,142236,156636,0.06920,1.1050,1.0048,
thoron,coal_t20m,0.0,r0=0.5,1200,2682,1.00000,0.6708,0.9727,
thoron,coal_t2h,0.0,r0=0.5,5141,8670,0.91407,0.9179,0.9950,
thoron,coal_t3h,0.0,r0=0.5,8738,12338,0.85582,1.0050,1.0000,
thoron,coal_e01,0.0,r0=0.5,12558,26958,0.72603,1.0782,1.0036,
thoron,coal_e02,0.0,r0=0.5,26968,41368,0.55914,1.1028,1.0047,
thoron,coal_e03,0.0,r0=0.5,41377,55777,0.43061,1.1048,1.0048,
thoron,coal_e05,0.0,r0=0.5,70190,84590,0.25542,1.1050,1.0048,
thoron,coal_e10,0.0,r0=0.5,142236,156636,0.06920,1.1050,1.0048,
thoron,coal_t20m,0.0,r0=1.0,1200,2682,1.00000,1.0296,1.0001,
thoron,coal_t2h,0.0,r0=1.0,5141,8670,0.91407,1.0725,1.0034,
thoron,coal_t3h,0.0,r0=1.0,8738,12338,0.85582,1.0876,1.0040,
thoron,coal_e01,0.0,r0=1.0,12558,26958,0.72603,1.1003,1.0046,
thoron,coal_e02,0.0,r0=1.0,26968,41368,0.55914,1.1046,1.0048,
thoron,coal_e03,0.0,r0=1.0,41377,55777,0.43061,1.1049,1.0048,
thoron,coal_e05,0.0,r0=1.0,70190,84590,0.25542,1.1050,1.0048,
thoron,coal_e10,0.0,r0=1.0,142236,156636,0.06920,1.1050,1.0048,
