model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,4.61482,0.08264,65.2059,0.247,0,0,23.097,28
fixed,3.82350,0.00000,58.2998,1.04,7.52473,0.658,23.565,28
free,4.33593,0.75590,62.7207,1.12,2.66913,0.741,22.976,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,63.1999,1.067,0.183,-0.241,0.058
#2,9.4910,61.0191,1.042,-0.409,-0.741,-0.507
#3,13.4937,59.9388,1.07,0.012,-0.221,-0.056
#4,17.4946,59.235,1.071,0.739,0.586,0.695
#5,21.4972,57.0678,1.015,0.069,-0.018,0.045
#6,25.4999,57.3716,1.027,1.737,1.715,1.733
#7,29.5024,53.2525,0.9978,-0.962,-0.928,-0.950
#8,33.5051,52.6371,0.9678,-0.242,-0.157,-0.214
#9,37.5076,52.0209,0.9692,0.472,0.598,0.512
#10,41.5100,48.886,0.9884,-1.418,-1.262,-1.369
#11,45.5125,49.2201,0.982,0.179,0.362,0.237
#12,49.5152,47.4208,0.9321,-0.440,-0.228,-0.373
#13,53.5174,47.4433,0.936,0.850,1.073,0.920
#14,57.5199,44.2071,0.9296,-1.384,-1.154,-1.313
#15,61.5223,43.096,0.9092,-1.399,-1.165,-1.327
#16,65.5248,43.3332,0.9141,0.069,0.294,0.138
#17,69.5274,42.1499,0.9006,-0.056,0.160,0.010
#18,73.5302,42.4659,0.8948,1.464,1.662,1.524
#19,77.5326,39.9067,0.9088,-0.255,-0.084,-0.203
#20,81.5350,38.2659,0.8778,-1.002,-0.855,-0.958
#21,85.5376,38.2014,0.8749,0.028,0.141,0.061
#22,89.5403,38.4638,0.8891,1.385,1.457,1.405
#23,93.5429,35.4836,0.8874,-0.933,-0.904,-0.926
#24,97.5455,36.3435,0.8324,1.118,1.099,1.109
#25,101.5480,35.6435,0.8477,1.305,1.233,1.279
#26,105.5504,33.2776,0.8542,-0.474,-0.602,-0.518
#27,109.5529,32.7436,0.8206,-0.129,-0.324,-0.195
#28,113.5554,32.4977,0.7942,0.581,0.311,0.491
#29,117.5579,31.4329,0.8116,0.233,-0.100,0.123
#30,121.5605,29.4009,0.8224,-1.301,-1.701,-1.433
