model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,4.89211,0.07318,68.0903,0.201,0,0,35.986,28
fixed,3.82350,0.00000,58.5042,0.865,10.326,0.557,33.029,28
free,3.83562,0.48529,58.6087,0.867,10.2101,0.558,33.029,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,66.6796,0.8592,0.885,0.262,0.272
#2,9.4910,65.0114,0.8367,0.755,0.273,0.281
#3,13.4937,63.5092,0.8602,0.735,0.405,0.410
#4,17.4946,61.007,0.8574,-0.469,-0.678,-0.674
#5,21.4972,58.4868,0.813,-1.830,-1.937,-1.935
#6,25.4999,59.5162,0.8178,1.152,1.145,1.145
#7,29.5024,56.2343,0.8086,-1.202,-1.124,-1.125
#8,33.5051,55.2623,0.8023,-0.758,-0.606,-0.608
#9,37.5076,54.2222,0.7736,-0.444,-0.225,-0.228
#10,41.5100,53.4284,0.8784,0.156,0.392,0.389
#11,45.5125,53.7742,0.8504,2.031,2.309,2.305
#12,49.5152,52.542,0.8128,2.104,2.420,2.416
#13,53.5174,49.6528,0.7479,0.011,0.370,0.365
#14,57.5199,48.1606,0.767,-0.423,-0.069,-0.074
#15,61.5223,46.8069,0.7504,-0.728,-0.371,-0.376
#16,65.5248,45.2979,0.7247,-1.310,-0.955,-0.961
#17,69.5274,45.4146,0.7725,0.320,0.630,0.625
#18,73.5302,42.6783,0.7086,-2.024,-1.721,-1.725
#19,77.5326,43.1692,0.7717,0.113,0.352,0.348
#20,81.5350,42.3174,0.7576,0.318,0.514,0.511
#21,85.5376,41.0114,0.7517,-0.109,0.033,0.031
#22,89.5403,39.0776,0.7552,-1.399,-1.319,-1.320
#23,93.5429,38.9131,0.7733,-0.367,-0.355,-0.355
#24,97.5455,37.9568,0.7392,-0.439,-0.502,-0.502
#25,101.5480,37.0413,0.7149,-0.484,-0.633,-0.632
#26,105.5504,37.0081,0.7417,0.666,0.435,0.438
#27,109.5529,36.9942,0.7264,1.834,1.506,1.510
#28,113.5554,35.3104,0.7126,0.676,0.241,0.247
#29,117.5579,33.238,0.7228,-1.076,-1.607,-1.600
#30,121.5605,34.5799,0.7052,1.927,1.272,1.281
