model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,4.88876,0.07285,55.5444,0.163,0,0,34.344,28
fixed,3.82350,0.00000,47.7555,0.703,8.39522,0.452,31.681,28
free,3.87809,0.49373,48.1398,0.709,7.96943,0.459,31.669,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,54.4075,0.6998,0.908,0.280,0.323
#2,9.4910,53.0386,0.6818,0.767,0.281,0.315
#3,13.4937,51.7817,0.7005,0.704,0.369,0.393
#4,17.4946,49.7741,0.6985,-0.453,-0.666,-0.651
#5,21.4972,47.7067,0.663,-1.830,-1.940,-1.932
#6,25.4999,48.5042,0.6667,1.091,1.080,1.082
#7,29.5024,45.8619,0.6595,-1.211,-1.136,-1.140
#8,33.5051,45.0933,0.6536,-0.729,-0.581,-0.590
#9,37.5076,44.2311,0.6312,-0.434,-0.218,-0.231
#10,41.5100,43.5921,0.7167,0.177,0.411,0.396
#11,45.5125,43.1946,0.6383,1.168,1.468,1.448
#12,49.5152,42.9059,0.6624,2.187,2.501,2.481
#13,53.5174,40.824,0.6054,0.554,0.913,0.890
#14,57.5199,39.3176,0.6257,-0.359,-0.007,-0.029
#15,61.5223,38.1865,0.6118,-0.706,-0.350,-0.373
#16,65.5248,36.9596,0.5907,-1.281,-0.927,-0.950
#17,69.5274,37.0821,0.6296,0.393,0.702,0.682
#18,73.5302,34.7973,0.5781,-2.035,-1.733,-1.753
#19,77.5326,35.2486,0.6293,0.183,0.422,0.406
#20,81.5350,34.5096,0.6175,0.320,0.516,0.503
#21,85.5376,33.4654,0.6127,-0.073,0.070,0.060
#22,89.5403,31.8997,0.6162,-1.343,-1.262,-1.268
#23,93.5429,31.5439,0.6152,-0.680,-0.667,-0.669
#24,97.5455,30.9823,0.6031,-0.387,-0.448,-0.446
#25,101.5480,30.248,0.583,-0.408,-0.556,-0.548
#26,105.5504,30.2074,0.6047,0.717,0.489,0.502
#27,109.5529,30.2271,0.5922,1.940,1.615,1.634
#28,113.5554,28.6105,0.5678,0.373,-0.068,-0.042
#29,117.5579,27.068,0.589,-1.132,-1.660,-1.629
#30,121.5605,28.2419,0.5752,2.008,1.358,1.397
