model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,76.47000,160.95985,6.57361,0.182,0,0,37.518,28
fixed,3.82350,0.00000,-3.09345,1.07,8.3095,0.679,26.000,28
free,76.47000,5458.01870,-41.5861,13.7,46.9258,13.3,25.144,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,4.60691,1.088,-1.795,-0.675,-0.753
#2,9.4910,6.41138,1.083,-0.128,0.906,0.852
#3,13.4937,6.4537,0.9957,-0.087,0.942,0.907
#4,17.4946,6.22274,1.159,-0.265,0.538,0.526
#5,21.4972,4.48424,1.07,-1.903,-1.117,-1.114
#6,25.4999,5.72951,1.12,-0.697,-0.025,-0.008
#7,29.5024,7.25905,0.9586,0.791,1.487,1.522
#8,33.5051,4.5453,1.059,-1.837,-1.287,-1.244
#9,37.5076,6.86656,1.049,0.367,0.846,0.898
#10,41.5100,5.60437,1.064,-0.815,-0.418,-0.359
#11,45.5125,6.98252,1.069,0.487,0.811,0.874
#12,49.5152,7.14088,1.017,0.678,0.944,1.013
#13,53.5174,5.53602,1.023,-0.886,-0.693,-0.621
#14,57.5199,4.16598,1.057,-2.144,-2.025,-1.956
#15,61.5223,4.94994,1.042,-1.413,-1.359,-1.291
#16,65.5248,5.25447,1.02,-1.136,-1.146,-1.080
#17,69.5274,7.26856,0.9023,0.959,0.874,0.943
#18,73.5302,5.73947,0.8871,-0.737,-0.896,-0.833
#19,77.5326,7.13444,1.027,0.731,0.533,0.579
#20,81.5350,6.9771,0.8454,0.713,0.400,0.445
#21,85.5376,6.63954,0.9898,0.278,-0.049,-0.022
#22,89.5403,5.53651,1.005,-0.814,-1.194,-1.180
#23,93.5429,7.20553,1.046,0.822,0.404,0.404
#24,97.5455,7.32582,0.8099,1.222,0.614,0.595
#25,101.5480,5.69848,0.9734,-0.645,-1.207,-1.239
#26,105.5504,6.59053,0.8779,0.312,-0.370,-0.426
#27,109.5529,7.74948,0.8129,1.774,0.975,0.891
#28,113.5554,6.70194,0.9623,0.420,-0.307,-0.399
#29,117.5579,7.1748,0.8887,0.998,0.156,0.033
#30,121.5605,7.98371,0.7156,2.383,1.271,1.087
