model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,76.47000,159.46888,5.45599,0.149,0,0,34.983,28
fixed,3.82350,0.00000,-2.39499,0.882,6.78515,0.558,24.611,28
free,76.47000,5914.14470,-32.1708,11.3,36.6572,11,23.868,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,3.86266,0.9015,-1.755,-0.693,-0.766
#2,9.4910,5.35434,0.8981,-0.091,0.889,0.838
#3,13.4937,5.36784,0.8241,-0.073,0.905,0.871
#4,17.4946,5.18155,0.9593,-0.249,0.516,0.504
#5,21.4972,3.75346,0.8878,-1.868,-1.121,-1.119
#6,25.4999,4.74995,0.9273,-0.705,-0.065,-0.048
#7,29.5024,6.05655,0.7941,0.832,1.496,1.528
#8,33.5051,3.80902,0.8775,-1.799,-1.273,-1.233
#9,37.5076,5.7023,0.8704,0.371,0.829,0.877
#10,41.5100,4.69665,0.8822,-0.765,-0.383,-0.329
#11,45.5125,5.75955,0.8792,0.451,0.765,0.824
#12,49.5152,5.96911,0.8339,0.737,0.997,1.063
#13,53.5174,4.6402,0.8528,-0.829,-0.641,-0.575
#14,57.5199,3.47222,0.8767,-2.129,-2.010,-1.945
#15,61.5223,4.12678,0.8641,-1.393,-1.335,-1.271
#16,65.5248,4.38006,0.8454,-1.115,-1.118,-1.056
#17,69.5274,6.02787,0.7465,0.956,0.883,0.948
#18,73.5302,4.76772,0.7351,-0.733,-0.875,-0.816
#19,77.5326,5.93326,0.8518,0.745,0.565,0.609
#20,81.5350,5.73254,0.6955,0.636,0.347,0.389
#21,85.5376,5.54479,0.8206,0.320,0.018,0.043
#22,89.5403,4.61302,0.8336,-0.794,-1.145,-1.131
#23,93.5429,5.9375,0.7331,0.915,0.455,0.456
#24,97.5455,5.90337,0.6643,0.971,0.398,0.381
#25,101.5480,4.77768,0.8071,-0.586,-1.109,-1.139
#26,105.5504,5.46099,0.7236,0.302,-0.339,-0.391
#27,109.5529,6.28149,0.6667,1.570,0.815,0.737
#28,113.5554,5.5489,0.798,0.403,-0.276,-0.361
#29,117.5579,5.93907,0.7358,0.979,0.189,0.075
#30,121.5605,6.53901,0.5879,2.259,1.208,1.036
