key,ratio,err
coal_t20m,0.89628,0.04300
coal_t2h,0.98545,0.03657
coal_t3h,0.98242,0.03154
coal_e01,0.95615,0.02026
coal_e02,0.94688,0.02021
coal_e03,0.95218,0.02130
coal_e04,0.97977,0.02240
coal_e05,0.98453,0.02221
coal_e06,0.97305,0.02195
coal_e07,0.95546,0.02256
coal_e08,0.96117,0.02248
coal_e09,0.96807,0.02271
coal_e10,0.92317,0.02404
coal_e11,0.93374,0.02309
coal_e12,0.90890,0.02208
coal_e13,0.96112,0.02366
coal_e14,0.92569,0.02440
coal_e15,0.92923,0.02460
coal_e16,0.96519,0.02552
coal_e17,0.93612,0.02551
coal_e18,1.00474,0.02695
coal_e19,0.93235,0.02694
coal_e20,0.91333,0.02654
coal_e21,0.93979,0.02753
coal_e22,0.99278,0.02989
coal_e23,0.92560,0.02928
coal_e24,0.96355,0.02896
coal_e25,0.97017,0.02967
coal_e26,0.90566,0.02854
coal_e27,0.88952,0.02829
coal_e28,0.93107,0.02936
coal_e29,0.95302,0.03219
coal_e30,0.85830,0.02965
#weighted_mean_eq,0.94658,0.00453
#chi2,40.567,29
