t_mid_h,value,err
5.48842,63.1999,1.067
9.49104,61.0191,1.042
13.49368,59.9388,1.07
17.49462,59.235,1.071
21.49721,57.0678,1.015
25.49986,57.3716,1.027
29.50242,53.2525,0.9978
33.50510,52.6371,0.9678
37.50759,52.0209,0.9692
41.51003,48.886,0.9884
45.51249,49.2201,0.982
49.51522,47.4208,0.9321
53.51744,47.4433,0.936
57.51988,44.2071,0.9296
61.52234,43.096,0.9092
65.52481,43.3332,0.9141
69.52744,42.1499,0.9006
73.53015,42.4659,0.8948
77.53264,39.9067,0.9088
81.53505,38.2659,0.8778
85.53760,38.2014,0.8749
89.54027,38.4638,0.8891
93.54291,35.4836,0.8874
97.54554,36.3435,0.8324
101.54796,35.6435,0.8477
105.55040,33.2776,0.8542
109.55292,32.7436,0.8206
113.55544,32.4977,0.7942
117.55787,31.4329,0.8116
121.56052,29.4009,0.8224
