t_mid_h,value,err
5.48842,2045.69,78.08
9.49104,1737.94,73.45
13.49368,1989.72,76.82
17.49462,2185.14,83.87
21.49721,2071.94,76.48
25.49986,1679.23,72.02
29.50242,1664.25,72.39
33.50510,1797.83,74.8
37.50759,1675.54,68.75
41.51003,567.854,117.6
45.51249,443.335,109.1
49.51522,745.088,102.9
53.51744,1321.13,62.92
57.51988,1581.73,70.75
61.52234,1601.69,69.49
65.52481,1548.27,65.98
69.52744,1292.3,106.6
73.53015,1298.13,64.73
77.53264,1233.05,101
81.53505,576.762,98.98
85.53760,431.667,98.5
89.54027,966.406,105.4
93.54291,306.749,104.9
97.54554,315.442,96.23
105.55040,411.44,97.05
113.55544,260.617,98.39
