spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
AS80_Th232Medal,AS80x80,known,Th-232,single,0.010,188.94,3.5666,8.5398E+002,2261.8,3.5331E+000,7.0907E+000,,,0,0.018
AS80_Th232Medal,AS80x80,known,Ac-228,single,37.967,188.94,3.5666,8.5398E+002,5178067.9,,,,,0,40.228
AS80_Th232Medal,AS80x80,known,Th-228,single,0.188,188.94,3.5666,8.5398E+002,37310.7,,,,,0,0.290
AS80_Th232Medal,AS80x80,known,Ra-224,single,1.368,188.94,3.5666,8.5398E+002,200720.8,,,,,0,1.559
AS80_Th232Medal,AS80x80,known,Rn-220,single,0.041,188.94,3.5666,8.5398E+002,3045.0,,,,,0,0.024
AS80_Th232Medal,AS80x80,known,Po-216,single,0.001,188.94,3.5666,8.5398E+002,41.4,,,,,0,0.000
AS80_Th232Medal,AS80x80,known,Pb-212,single,17.071,188.94,3.5666,8.5398E+002,2687010.1,,,,,0,20.875
AS80_Th232Medal,AS80x80,known,Bi-212,single,5.086,188.94,3.5666,8.5398E+002,612935.0,,,,,0,4.762
AS80_Th232Medal,AS80x80,known,Tl-208,single,30.421,188.94,3.5666,8.5398E+002,2310336.1,,,,,0,17.949
AS80_Th232Medal,AS80x80,known,Xray-Th,nuisance,1.674,10.81,3.5666,1.7651E+002,377177.3,,,,,0,2.930
AS80_Th232Medal,AS80x80,known,Xray-Pb,nuisance,6.172,64.21,3.5666,1.2503E+003,1462905.3,,,,,0,11.365
AS80_Th232WT20,AS80x80,unknown,Th-232,single,0.040,134.55,4.5433,8.4022E+002,16520.9,5.6942E+000,1.1415E+001,,,0,0.124
AS80_Th232WT20,AS80x80,unknown,Ac-228,single,33.979,134.55,4.5433,8.4022E+002,3495735.7,,,,,0,26.253
AS80_Th232WT20,AS80x80,unknown,Th-228,single,0.292,134.55,4.5433,8.4022E+002,107113.5,,,,,0,0.804
AS80_Th232WT20,AS80x80,unknown,Ra-224,single,1.118,134.55,4.5433,8.4022E+002,260726.8,,,,,0,1.958
AS80_Th232WT20,AS80x80,unknown,Rn-220,single,0.036,134.55,4.5433,8.4022E+002,3415.0,,,,,0,0.026
AS80_Th232WT20,AS80x80,unknown,Po-216,single,0.001,134.55,4.5433,8.4022E+002,41.9,,,,,0,0.000
AS80_Th232WT20,AS80x80,unknown,Pb-212,single,17.296,134.55,4.5433,8.4022E+002,4840628.4,,,,,0,36.353
AS80_Th232WT20,AS80x80,unknown,Bi-212,single,3.816,134.55,4.5433,8.4022E+002,302424.1,,,,,0,2.271
AS80_Th232WT20,AS80x80,unknown,Tl-208,single,25.406,134.55,4.5433,8.4022E+002,1793237.4,,,,,0,13.467
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,nuisance,0.226,15.52,4.5433,5.4715E+001,100946.9,,,,,0,0.758
AS80_Th232WT20,AS80x80,unknown,Xray-W,nuisance,2.508,60.62,4.5433,1.5983E+002,1063021.0,,,,,0,7.983
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,nuisance,0.559,18.60,4.5433,1.6792E+003,228618.7,,,,,0,1.717
AS80_Th232WT20,AS80x80,unknown,SE-2615,nuisance,4.222,38.65,4.5433,1.2549E+002,142013.5,,,,,0,1.067
AS80_Th232WT20,AS80x80,unknown,DE-2615,nuisance,5.496,50.69,4.5433,1.5083E+002,217815.4,,,,,0,1.636
AS80_Th232WT20,AS80x80,unknown,DE-1588,nuisance,2.691,14.47,4.5433,7.1228E+001,247359.3,,,,,0,1.858
AS80_Th232WT20,AS80x80,unknown,SE-1631,nuisance,0.875,6.65,4.5433,2.0648E+001,40436.2,,,,,0,0.304
AS80_Th232WT20,AS80x80,unknown,Backscatter,nuisance,1.400,7.73,4.5433,6.2125E-001,455648.0,,,,,0,3.422
AS80_Cs137_0cm,AS80x80,known,Cs-137,single,99.642,537.98,1.9926,5.2382E+003,3293131.5,3.0033E+000,6.0373E+000,,,0,100.000
AS80_Lu176,AS80x80,known,Lu-176,single,99.369,333.81,1.3960,8.5056E+002,567629.9,2.1391E+000,4.2928E+000,,,0,100.000
