spectrum,part,matrix,chi2_A,chi2_B,delta,esc_A,esc_B,changed_nuclides,shifts
AS80_Charoite,unknown,0,ERROR,ERROR,,"","",0,""
AS80_Cs137_0cm,known,1,3.9706,3.9706,0.0000,"","",0,""
AS80_K40,unknown,0,ERROR,ERROR,,"","",0,""
AS80_Lu176,known,1,1.9489,1.9489,0.0000,"","",0,""
AS80_Onyx,unknown,0,ERROR,ERROR,,"","",0,""
AS80_Th232Medal,known,1,12.7204,12.7204,0.0000,"","",0,""
AS80_Th232WT20,unknown,0,20.6416,20.6416,0.0000,"Esc-NaI 0.559% z=18.60","Esc-NaI 0.559% z=18.60",0,""
AS80_Th232_v2,unknown,0,ERROR,ERROR,,"","",0,""
AS80_UGlass,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_Am241,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_BrazilNuts,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_Charoite,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_Charoite_v2,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_Cs137,unknown,0,28.4941,28.4941,0.0000,"","",0,""
ASN16_Cs137_10cm,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_Granite,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_Lu176,known,1,3.7535,3.7535,0.0000,"","",0,""
ASN16_Lu176_P0,known,1,0.4079,0.4089,0.0010,"Esc-CsI 1.794% z=4.38","",1,"Lu-176 98.158→99.952"
ASN16_Th232,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_Th232_Am241,unknown,0,ERROR,ERROR,,"","",0,""
ASN16_UGlass,unknown,0,ERROR,ERROR,,"","",0,""
G1S16_Am241_P25,known,1,1.5801,1.5801,0.0000,"","",0,""
G1S16_Am241_P5,known,1,2.6969,2.6969,0.0000,"","",0,""
G1S16_Ba133_P25,known,1,2.6759,2.6752,-0.0007,"","",0,""
G1S16_Ba133_P5,known,1,11.5114,11.5116,0.0002,"","",0,""
G1S16_Cd109_P25,known,1,1.3454,1.3458,0.0004,"","",0,""
G1S16_Cd109_P5,known,1,3.5634,3.5826,0.0192,"","",0,""
G1S16_Ce139_P25,known,1,1.1909,1.1903,-0.0006,"","",0,""
G1S16_Ce139_P5,known,1,3.2848,3.2744,-0.0104,"Esc-NaI 0.753% z=7.55","",1,"Ce-139 98.933→99.687"
G1S16_Co57_P5,known,1,1.0066,1.0076,0.0010,"","",0,""
G1S16_Co60_P25,known,1,1.7567,1.7567,0.0000,"","",0,""
G1S16_Co60_P5,known,1,9.6069,9.6069,0.0000,"","",0,""
G1S16_Cs137_P25,known,1,1.9586,1.9586,0.0000,"","",0,""
G1S16_Cs137_P5,known,1,8.2573,8.2573,0.0000,"","",0,""
G1S16_Eu152_P25,known,1,3.4751,3.4288,-0.0463,"Esc-NaI 0.411% z=3.59","",1,"Eu-152 99.587→99.998"
G1S16_Eu152_P5,known,1,14.3702,13.9796,-0.3906,"Esc-NaI 1.491% z=8.68","",1,"Eu-152 98.506→99.997"
G1S16_Mn54_P25,known,1,1.5796,1.5796,0.0000,"","",0,""
G1S16_Mn54_P5,known,1,2.8640,2.8640,0.0000,"","",0,""
G1S16_Na22_P25,known,1,4.3704,4.3704,0.0000,"","",0,""
G1S16_Na22_P5,known,1,13.7339,13.7339,0.0000,"","",0,""
G1S16_Th228_P25,known,1,1.1852,1.1853,0.0001,"","",0,""
G1S16_Th228_P5,known,1,4.4665,4.4704,0.0039,"","",0,""
G1S16_Y88_P25,known,1,1.0705,1.0705,0.0000,"","",0,""
G1S16_Y88_P5,known,1,1.3388,1.3388,0.0000,"","",0,""
G1S24_Am241_P5,known,1,5.8041,5.8041,0.0000,"","",0,""
G1S24_Ba133_P5,known,1,17.3922,17.3908,-0.0014,"","",0,""
G1S24_Bi207_P5,known,1,21.3528,23.3534,2.0006,"Esc-NaI 1.781% z=17.66","",1,"Bi-207 98.060→99.843"
G1S24_Cd109_P5,known,1,3.2547,3.2200,-0.0347,"","",1,"Cd-109 98.391→98.425"
G1S24_Co60_P5,known,1,11.7012,11.7012,0.0000,"","",0,""
G1S24_Cs137_P25,known,1,3.1723,3.1723,0.0000,"","",0,""
G1S24_Cs137_P5,known,1,13.9427,13.9427,0.0000,"","",0,""
G1S24_Eu152_P5,known,1,31.2534,31.2279,-0.0255,"Esc-NaI 1.376% z=15.55","",1,"Eu-152 98.616→99.993"
G1S24_Na22_P25,known,1,6.3098,6.3098,0.0000,"","",0,""
G1S24_Na22_P5,known,1,36.2417,36.2417,0.0000,"","",0,""
G1S24_Th228_P25,known,1,4.4229,4.4219,-0.0010,"","",0,""
G1S24_Th228_P5,known,1,20.7451,20.7445,-0.0006,"","",0,""
G1S24_Y88_P25,known,1,2.0739,2.0739,0.0000,"","",0,""
G1S24_Y88_P5,known,1,8.1553,8.1553,0.0000,"","",0,""
G1S24_Zn65_P5,known,1,1.1497,1.1497,0.0000,"","",0,""
