section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,52742.322903428576,,,,,,,,,,,,,
meta,chi2ndf,,,12.595806149200419,,,,,,,,,,,,,
meta,chi2ndf_pois,,,81.326870473291066,,,,,,,,,,,,,
meta,model_residual,,,0.18550050461043249,,,,,,,,,,,,,
meta,gain,,,1.0295988559707629,,,,,,,,,,,,,
meta,offset_channels,,,-0.89107208072057464,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Ac-228,Single,1,686.01165973046636,108.39577141728611,6.8612158737108437,13.782664781938179,4080338.8130379422,34.865856543910304,,Th-232,,,,,,
component,Pb-212,Single,1,1076.1381786171576,172.07856955809342,5.9335666817234616,11.896428389723896,3380254.5160426293,24.08830977657475,,Th-232,,,,,,
component,Ra-224,Single,1,1076.1381786171576,172.07856955809342,5.9335666817234616,11.896428389723896,252560.78729559062,1.9379398292849954,,Th-232,,,,,Pb-212,
component,Bi-212,Single,1,599.51718854708042,25.087539517762643,34.180615489173185,68.683427706582862,294409.55710480938,3.4725809603410744,,Th-232,,,,,,
component,Tl-208,Single,1,862.19541768165709,125.52632214411189,6.3661640505504131,12.796980814368954,2326788.1910173204,35.635312889888866,,Th-232,,,,,,
limit,Th-232,Single,0,0,,6220.9371398283747,12483.049295631818,,,,Th-232,7.423185247404,30627.34377814909,0,0.67894101696111231,,Pb-212
limit,Ac-228,Single,1,686.01165973046636,,6.8612158737108437,13.782664781938179,,,,Th-232,145.35600000000002,81978.114014751816,0,0.73313922089676042,,
limit,Th-228,Single,0,0,,666.38388314676308,1335.3327506393537,,,,Th-232,10.105904793021921,58226.394819731111,0,0.62163461298437217,,Pb-212
limit,Rn-220,Single,0,0,,2756.9504659785885,5535.6057703722463,,,,Th-232,0.114,19758.315286424968,0,0.3166227597689395,,Pb-212
limit,Po-216,Single,0,0,,204061.13951364008,410300.4418262114,,,,Th-232,0.001920532684989,19874.971186439168,0,0.78319970412048989,,Pb-212
limit,Pb-212,Single,1,1076.1381786171576,,5.9335666817234616,11.896428389723896,,,,Th-232,95.4808434613717,40247.798100937616,0,0.45740281942622796,,
limit,Bi-212,Single,1,599.51718854708042,,34.180615489173185,68.683427706582862,,,,Th-232,19.710290382119197,33728.903720910006,0,0.50153628134589934,,
limit,Tl-208,Single,1,862.19541768165709,,6.3661640505504131,12.796980814368954,,,,Th-232,237.97700000000003,34534.936313640828,0,0.71429359123959335,,
limit,Ra-224,Single,1,1076.1381786171576,,5.9335666817234616,11.896428389723896,,,,Th-232,4.9110716456426715,2791.9586815536722,0,0.45740281942622796,Pb-212,
