section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,6964,,,,,,,,,,,,,
meta,chi2ndf,,,1.1319249150507962,,,,,,,,,,,,,
meta,chi2ndf_pois,,,6.6932659925983815,,,,,,,,,,,,,
meta,model_residual,,,0.5897952005195799,,,,,,,,,,,,,
meta,gain,,,1.0096431369253598,,,,,,,,,,,,,
meta,offset_channels,,,-19.702458881101176,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Pb-214,Single,1,136.08083134492429,99.048778327045227,1.6851616110336589,3.3868528775053757,71501.946263022284,45.733063775918261,,Ra-226,,,,,,
component,Bi-214,Single,1,141.47180586294948,60.022390186965595,2.7932405827199127,5.6374634293457913,32011.320431450375,40.916892890395921,,Ra-226,,,,,,
component,Pb-212,Single,1,10.826217572777033,12.845813044864839,1.3360779494277619,2.6833333159601471,6721.75083935783,4.2494992946986869,,Th-232,,,,,,
component,Ra-224,Single,1,10.826217572777033,12.845813044864839,1.3360779494277619,2.6833333159601471,320.07703399094379,0.22757360888845796,,Th-232,,,,,Pb-212,
component,Tl-208,Single,1,12.123660031416316,5.7233861837721527,3.3333818224068574,6.79835647906351,2419.9089803818797,2.790166886170319,,Th-232,,,,,,
component,Esc-CsI,Nuisance,1,774.86963871670309,14.716906231641092,,,11107.616603049404,6.0828035439283674,,,,,,,,
limit,Ra-226,Single,0,0,,15.004127873986791,30.148054749838408,,,,Ra-226,5.133635718208,1044.1211648177477,0,0.0521044292142665,,
limit,Rn-222,Single,0,0,,1338.5317202118008,2706.3510776093221,,,,Ra-226,0.0783042308748,526.61996317510011,0,0.3574320112361592,,Pb-214
limit,Pb-214,Single,1,136.08083134492429,,1.6851616110336589,3.3868528775053757,,,,Ra-226,94.505653357680131,1779.5788727534425,0,0.36096946023796739,,
limit,Bi-214,Single,1,141.47180586294948,,2.7932405827199127,5.6374634293457913,,,,Ra-226,122.71895281633157,1275.6085720160729,0,0.69824884599286507,,
limit,Pb-210,Single,0,0,,33.462402753117161,67.23227293558638,,,,Ra-226,26.91627,1766.0457576049141,0,0.84292119805700061,,
limit,Po-214,Single,0,0,,13398.882697396291,27174.344680022608,,,,Ra-226,0.010353,390.45241199950317,0,0.38225294385107167,,Pb-214
limit,Th-232,Single,0,0,,295.65190454571456,593.62598610725763,,,,Th-232,7.423185247404,1315.2555842434635,0,0.37371954226783843,,Pb-212
limit,Ac-228,Single,0,0,,3.8841754564472781,7.8001090612139414,,,,Th-232,145.35600000000002,3717.9026956500156,0,0.72061959842827161,,
limit,Th-228,Single,0,0,,91.839652201461718,184.18991940070157,,,,Th-232,10.105904793021921,2624.071288352633,0,0.58146030983296826,,Pb-212
limit,Rn-220,Single,0,0,,1073.4099510370777,2170.8323066952689,,,,Th-232,0.114,412.57667073636048,0,0.49158798854434327,,Pb-212
limit,Po-216,Single,0,0,,79604.8279990182,161482.98924630453,,,,Th-232,0.001920532684989,402.8067554097002,0,0.37478533646752743,,Pb-212
limit,Pb-212,Single,1,10.826217572777033,,1.3360779494277619,2.6833333159601471,,,,Th-232,95.4808434613717,1750.5858937660946,0,0.279483570954388,,
limit,Bi-212,Single,0,0,,24.963418456476138,50.58890312725373,,,,Th-232,19.710290382119197,2018.0226185734703,0,0.70456003334741679,,Pb-212
limit,Tl-208,Single,1,12.123660031416316,,3.3333818224068574,6.79835647906351,,,,Th-232,237.97700000000003,1356.9667784227136,0,0.598601592532827,,
limit,Po-210,Single,0,0,,13398.882697396291,27174.344680022608,,,,Ra-226,0.0010412013754128,36.865182641969483,0,0.38225294385107167,Po-214,
limit,Ra-224,Single,1,10.826217572777033,,1.3360779494277619,2.6833333159601471,,,,Th-232,4.9110716456426715,79.326915198736344,0,0.279483570954388,Pb-212,
