section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,52742.322903428576,,,,,,,,,,,,,
meta,chi2ndf,,,4.78755393881295,,,,,,,,,,,,,
meta,chi2ndf_pois,,,34.500638620076494,,,,,,,,,,,,,
meta,model_residual,,,0.12569885230891772,,,,,,,,,,,,,
meta,gain,,,1.0062720773636014,,,,,,,,,,,,,
meta,offset_channels,,,-7.3635168261268626,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Ac-228,Single,1,843.85229219513963,266.76293246967629,3.6522706943669512,7.3190577033767976,5748967.223944135,33.087970543494833,,Th-232,,,,,,
component,Th-228,Single,1,1871.4679253177749,18.684111061843726,139.59222085789145,279.50490019128944,200304.41954677852,0.96565059292328859,,Th-232,,,,,,
component,Pb-212,Single,1,865.497504494223,302.67844691658155,2.9045309826076253,5.8159052547823071,4486909.1890691761,24.90170107141962,,Th-232,,,,,,
component,Ra-224,Single,1,865.497504494223,302.67844691658155,2.9045309826076253,5.8159052547823071,266730.85915002646,1.6538730046145482,,Th-232,,,,,Pb-212,
component,Bi-212,Single,1,947.17472326829363,71.0336412666068,19.435890390533185,38.977711808958965,500782.05660401023,3.861899211230039,,Th-232,,,,,,
component,Tl-208,Single,1,879.6864250879587,255.33632821539891,3.6872063244336304,7.3931986679872059,2511692.0792009872,24.893279069674371,,Th-232,,,,,,
component,Ra-226,Single,1,316.56057804480048,19.753291207930264,25.565083734043334,51.21785337558174,102309.0692098123,0.5718533320433532,,Ra-226,,,,,,
component,Pb-214,Single,1,136.98529377772681,67.243333232518935,3.0241312413899473,6.0604440535049937,787198.28267480573,4.3003184467753375,,Ra-226,,,,,,
component,Bi-214,Single,1,120.77212461673675,55.317085110342362,3.2817738353599504,6.5785743712047857,482304.95638219564,4.8906432696918,,Ra-226,,,,,,
component,Xray-Th,Nuisance,1,28.623751416928389,11.250189144611207,,,185769.74021055936,0.8728114581328088,,,,,,,,
limit,Th-232,Single,0,0,,732.8432877186026,1469.0878889157402,,,,Th-232,7.423185247404,15229.068521472213,0,0.66110382069315865,,Pb-212
limit,Ac-228,Single,1,843.85229219513963,,3.6522706943669512,7.3190577033767976,,,,Th-232,145.35600000000002,49863.018962018643,0,0.7589452558215577,,
limit,Th-228,Single,1,1871.4679253177749,,139.59222085789145,279.50490019128944,,,,Th-232,10.105904793021921,29915.589808353325,0,0.550224114558165,,
limit,Rn-220,Single,0,0,,1257.0010800967725,2519.5775321678566,,,,Th-232,0.114,9590.8689053516118,0,0.43125587151393885,,Pb-212
limit,Po-216,Single,0,0,,87554.687689715138,175610.20811735283,,,,Th-232,0.001920532684989,8942.64513049886,0,0.5663411670220857,,Pb-212
limit,Pb-212,Single,1,865.497504494223,,2.9045309826076253,5.8159052547823071,,,,Th-232,95.4808434613717,32020.065985224312,0,0.51598927297786612,,
limit,Bi-212,Single,1,947.17472326829363,,19.435890390533185,38.977711808958965,,,,Th-232,19.710290382119197,20607.959864106102,0,0.55398093541551918,,
limit,Tl-208,Single,1,879.6864250879587,,3.6872063244336304,7.3931986679872059,,,,Th-232,237.97700000000003,21109.156632132785,0,0.71264765089437287,,
limit,Ra-226,Single,1,316.56057804480048,,25.565083734043334,51.21785337558174,,,,Ra-226,5.133635718208,16553.074732630877,0,0.49260114589277193,,
limit,Rn-222,Single,0,0,,2107.9497825823246,4224.9741837600959,,,,Ra-226,0.0783042308748,12924.004379155682,0,0.64651569238489071,,Pb-214
limit,Pb-214,Single,1,136.98529377772681,,3.0241312413899473,6.0604440535049937,,,,Ra-226,94.505653357680131,34826.885569971804,0,0.61867291851443729,,
limit,Bi-214,Single,1,120.77212461673675,,3.2817738353599504,6.5785743712047857,,,,Ra-226,122.71895281633157,26271.617190058558,0,0.7140759850284697,,
limit,Pb-210,Single,0,0,,66.108519867962244,132.70736689790158,,,,Ra-226,26.91627,8173.537797154233,0,0.35566673272764493,,Pb-214
limit,Po-214,Single,0,0,,14177.280110426647,28433.890507229324,,,,Ra-226,0.010353,8604.2788167131275,0,0.53568835299749351,,Pb-214
limit,Ra-224,Single,1,865.497504494223,,2.9045309826076253,5.8159052547823071,,,,Th-232,4.9110716456426715,1792.3056902674957,0,0.51598927297786612,Pb-212,
limit,Po-210,Single,0,0,,14177.280110426647,28433.890507229324,,,,Ra-226,0.0010412013754128,786.47289782925043,0,0.53568835299749351,Po-214,
