section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,52742.322903428576,,,,,,,,,,,,,
meta,chi2ndf,,,5.3208066428542162,,,,,,,,,,,,,
meta,chi2ndf_pois,,,55.84397238822816,,,,,,,,,,,,,
meta,model_residual,,,0.16079088747153814,,,,,,,,,,,,,
meta,gain,,,1.0046965240284869,,,,,,,,,,,,,
meta,offset_channels,,,-16.639834122551292,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Th-232,Single,1,880.52932378467,348.91075318455279,2.4440066139836407,4.8976671275663994,3084.3761860822178,0.015130991549188047,Th-232,Th-232,,,,,,
component,Ac-228,Single,1,880.52932378467,348.91075318455279,,,5646772.1652274476,36.460365859680159,Th-232,Th-232,,,,,,
component,Th-228,Single,1,880.52932378467,348.91075318455279,,,48420.696338921669,0.26052007394928561,Th-232,Th-232,,,,,,
component,Ra-224,Single,1,880.52932378467,348.91075318455279,,,229678.28837426429,1.5979908531687783,Th-232,Th-232,,,,,,
component,Rn-220,Single,1,880.52932378467,348.91075318455279,,,3275.4918787450356,0.039284641441785104,Th-232,Th-232,,,,,,
component,Po-216,Single,1,880.52932378467,348.91075318455279,,,43.288434307152947,0.00064313108389246418,Th-232,Th-232,,,,,,
component,Pb-212,Single,1,880.52932378467,348.91075318455279,,,3155380.104070039,20.343473158342775,Th-232,Th-232,,,,,,
component,Bi-212,Single,1,880.52932378467,348.91075318455279,,,736236.91452060337,5.1767419434519724,Th-232,Th-232,,,,,,
component,Tl-208,Single,1,880.52932378467,348.91075318455279,,,2463957.8780291905,27.34410212647094,Th-232,Th-232,,,,,,
component,Ra-226,Single,1,113.70706562336211,62.383532437174878,2.7605992938300203,5.5305448450683743,27612.475138347923,0.17123678180168361,Ra-226,Ra-226,,,,,,
component,Rn-222,Single,1,113.70706562336211,62.383532437174878,,,332.73683385524532,0.0035401290368911459,Ra-226,Ra-226,,,,,,
component,Pb-214,Single,1,113.70706562336211,62.383532437174878,,,519470.50600274373,3.4406322260278617,Ra-226,Ra-226,,,,,,
component,Bi-214,Single,1,113.70706562336211,62.383532437174878,,,443937.66976439493,5.1164851532408715,Ra-226,Ra-226,,,,,,
component,Pb-210,Single,1,113.70706562336211,62.383532437174878,,,6770.6161330439072,0.029366086345695132,Ra-226,Ra-226,,,,,,
component,Po-214,Single,1,113.70706562336211,62.383532437174878,,,27.896179875092088,0.00044166798329882097,Ra-226,Ra-226,,,,,,
component,Po-210,Single,1,113.70706562336211,62.383532437174878,,,3.0565006226686759,4.5176424940525444E-05,Ra-226,Ra-226,,,,,,
limit,Th-232,Chain,1,880.52932378467,,2.4440066139836407,4.8976671275663994,,,,Th-232,237.97700000000003,78033.501141427085,0,0.88321963253268321,,
limit,Ra-226,Chain,1,113.70706562336211,,2.7605992938300203,5.5305448450683743,,,,Ra-226,122.71895281633157,62518.17614389566,0,0.78602685631827107,,
