section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,23492.18009942857,,,,,,,,,,,,,
meta,chi2ndf,,,1.6432419106176492,,,,,,,,,,,,,
meta,chi2ndf_pois,,,1.7869916369168202,,,,,,,,,,,,,
meta,model_residual,,,0.13252281835994459,,,,,,,,,,,,,
meta,gain,,,1.0052615073443099,,,,,,,,,,,,,
meta,offset_channels,,,-16.071450450149143,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Th-232,Single,1,798.77201475070081,163.98359255883798,6.2269927620387815,12.485434729285187,166.47884899805044,0.014204966749244824,Th-232,Th-232,,,,,,
component,Ac-228,Single,1,798.77201475070081,163.98359255883798,,,292003.14428886643,37.007941727078766,Th-232,Th-232,,,,,,
component,Th-228,Single,1,798.77201475070081,163.98359255883798,,,2530.8431238832372,0.24046691268898049,Th-232,Th-232,,,,,,
component,Ra-224,Single,1,798.77201475070081,163.98359255883798,,,11013.460263799665,1.3939951957974233,Th-232,Th-232,,,,,,
component,Rn-220,Single,1,798.77201475070081,163.98359255883798,,,174.4579178876063,0.038537295756020495,Th-232,Th-232,,,,,,
component,Po-216,Single,1,798.77201475070081,163.98359255883798,,,2.4316524694354102,0.00066401454462341222,Th-232,Th-232,,,,,,
component,Pb-212,Single,1,798.77201475070081,163.98359255883798,,,156891.33927344606,18.150776318439902,Th-232,Th-232,,,,,,
component,Bi-212,Single,1,798.77201475070081,163.98359255883798,,,30172.974622900227,4.4986101839909853,Th-232,Th-232,,,,,,
component,Tl-208,Single,1,798.77201475070081,163.98359255883798,,,149103.20744895886,28.897840048660278,Th-232,Th-232,,,,,,
component,Ra-226,Single,1,115.44776698849307,20.793864079381741,8.85673163807335,17.755819020987222,1486.2355207459714,0.16459108125664371,Ra-226,Ra-226,,,,,,
component,Rn-222,Single,1,115.44776698849307,20.793864079381741,,,19.829001974957759,0.0038375394278966752,Ra-226,Ra-226,,,,,,
component,Pb-214,Single,1,115.44776698849307,20.793864079381741,,,27235.409925008636,3.5099073550189055,Ra-226,Ra-226,,,,,,
component,Bi-214,Single,1,115.44776698849307,20.793864079381741,,,29780.6374569387,6.06684637213541,Ra-226,Ra-226,,,,,,
component,Pb-210,Single,1,115.44776698849307,20.793864079381741,,,148.3535599950082,0.011218829991588537,Ra-226,Ra-226,,,,,,
component,Po-214,Single,1,115.44776698849307,20.793864079381741,,,1.7490930968918788,0.00051013073507928533,Ra-226,Ra-226,,,,,,
component,Po-210,Single,1,115.44776698849307,20.793864079381741,,,0.191228609287823,5.2027728265870835E-05,Ra-226,Ra-226,,,,,,
limit,Th-232,Chain,1,798.77201475070081,,6.2269927620387815,12.485434729285187,,,,Th-232,237.97700000000003,11013.834896190556,0,0.6929522684038345,,
limit,Ra-226,Chain,1,115.44776698849307,,8.85673163807335,17.755819020987222,,,,Ra-226,122.71895281633157,11409.102507608961,0,0.69742588681128836,,
