section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,23492.18009942857,,,,,,,,,,,,,
meta,chi2ndf,,,1.8395475431782955,,,,,,,,,,,,,
meta,chi2ndf_pois,,,2.4297502527448205,,,,,,,,,,,,,
meta,model_residual,,,0.17861234899509271,,,,,,,,,,,,,
meta,gain,,,1.0082871746835562,,,,,,,,,,,,,
meta,offset_channels,,,-38.01261599120096,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Th-232,Single,1,796.66977280761012,126.793946935696,7.8465693573981774,15.745971539721161,68.624950476033661,0.006130426154159067,Th-232,Th-232,,,,,,
component,Ac-228,Single,1,796.66977280761012,126.793946935696,,,264898.46756629995,34.057495446073411,Th-232,Th-232,,,,,,
component,Th-228,Single,1,796.66977280761012,126.793946935696,,,1518.032305393436,0.1496469319708022,Th-232,Th-232,,,,,,
component,Ra-224,Single,1,796.66977280761012,126.793946935696,,,9071.3155235591,1.1689463655146877,Th-232,Th-232,,,,,,
component,Rn-220,Single,1,796.66977280761012,126.793946935696,,,162.32954974777681,0.036397833848289832,Th-232,Th-232,,,,,,
component,Po-216,Single,1,796.66977280761012,126.793946935696,,,2.2831498824638157,0.00063661634619288437,Th-232,Th-232,,,,,,
component,Pb-212,Single,1,796.66977280761012,126.793946935696,,,118061.45664106563,14.272732473051686,Th-232,Th-232,,,,,,
component,Bi-212,Single,1,796.66977280761012,126.793946935696,,,27614.3118474175,4.2374776432639667,Th-232,Th-232,,,,,,
component,Tl-208,Single,1,796.66977280761012,126.793946935696,,,140801.25531787128,27.447031199119138,Th-232,Th-232,,,,,,
component,Ra-226,Single,1,212.57663930408765,35.410753857420659,9.2082153416265857,18.475117716487024,2040.5313042561636,0.23060334236485461,Ra-226,Ra-226,,,,,,
component,Rn-222,Single,1,212.57663930408765,35.410753857420659,,,33.555416366271871,0.0066671881170045945,Ra-226,Ra-226,,,,,,
component,Pb-214,Single,1,212.57663930408765,35.410753857420659,,,42555.694739350642,5.6624525278500606,Ra-226,Ra-226,,,,,,
component,Bi-214,Single,1,212.57663930408765,35.410753857420659,,,51869.858478547394,10.700515496009585,Ra-226,Ra-226,,,,,,
component,Pb-210,Single,1,212.57663930408765,35.410753857420659,,,79.224465883236348,0.0062721433885614547,Ra-226,Ra-226,,,,,,
component,Po-214,Single,1,212.57663930408765,35.410753857420659,,,3.0531651236384767,0.00090452030675395667,Ra-226,Ra-226,,,,,,
component,Po-210,Single,1,212.57663930408765,35.410753857420659,,,0.33200633864323292,9.2123465589232829E-05,Ra-226,Ra-226,,,,,,
component,Xray-Th,Nuisance,1,277.51832016058808,10.8294828278712,,,23299.249030514344,2.0159977231552713,,,,,,,,
limit,Th-232,Chain,1,796.66977280761012,,7.8465693573981774,15.745971539721161,,,,Th-232,237.97700000000003,12317.222603437369,0,0.73709917103851952,,
limit,Ra-226,Chain,1,212.57663930408765,,9.2082153416265857,18.475117716487024,,,,Ra-226,122.71895281633157,10811.410214041283,0,0.642536088903919,,
