spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,live,key
contact52k,contact,2.8,ring10,asis,766.907,255.392,57.3043,19.5693,12.13,87.5655,0.192569,-0.0264561,-0.0412933,-0.103582,-0.14898,-0.0547549,33.5836,1.0298,-1.65448,52742.3,contact52k__AS80_p67_contact_r28__asis
contact52k,contact,3.3,ring10,asis,783.663,236.661,59.0876,19.1558,12.8868,97.9477,0.203802,-0.0313041,-0.0403703,-0.0965259,-0.144493,-0.0567033,32.7452,1.02976,-0.545694,52742.3,contact52k__AS80_p67_contact_r33__asis
contact52k,contact,3.8,ring10,asis,804.659,213.871,55.4639,17.5873,13.2398,102.217,0.208243,-0.0322303,-0.0397854,-0.0946148,-0.135517,-0.0417812,31.9135,1.03056,-9.05217,52742.3,contact52k__AS80_p67_contact_r38__asis
contact52k,contact,4.2,ring10,asis,816.55,203.868,55.1084,17.1028,13.43,104.532,0.210614,-0.0360871,-0.0408329,-0.0939539,-0.135246,-0.0374531,31.5152,1.03054,-8.94794,52742.3,contact52k__AS80_p67_contact_r42__asis
contact52k,contact,4.345,ring10,asis,841.69,190.093,55.3897,16.6842,13.7263,103.728,0.2098,-0.0479188,-0.0413831,-0.0893243,-0.122316,-0.00981872,31.6245,1.03038,-8.7824,52742.3,contact52k__AS80_p67_contact_p13__asis
contact_cal0809,contact,2.8,ring10,asis,897.112,226.209,130.976,33.9858,2.5334,3.98378,0.144106,0.000208202,-0.00548305,-0.0220028,-0.0510383,-0.0304228,14.3524,1.00303,0,3546.9,contact_cal0809__AS80_p67_contact_r28__asis
contact_cal0809,contact,3.3,ring10,asis,912.786,202.737,138.287,33.1331,2.81703,5.44583,0.175895,-0.0118969,-0.000722831,-0.0144716,-0.0451733,-0.0327911,13.384,1.00425,-3.22694,3546.9,contact_cal0809__AS80_p67_contact_r33__asis
contact_cal0809,contact,3.8,ring10,asis,928.87,193.721,131.206,30.0949,3.0095,6.65807,0.198434,-0.016573,-0.00224647,-0.0184727,-0.0379736,-0.0160031,13.1124,1.00234,11.6322,3546.9,contact_cal0809__AS80_p67_contact_r38__asis
contact_cal0809,contact,4.2,ring10,asis,935.899,183.305,122.576,26.9347,3.2109,7.38514,0.210811,-0.0186917,-0.00943795,-0.0245802,-0.0438719,-0.0165176,13.5737,1.0068,-16.8291,3546.9,contact_cal0809__AS80_p67_contact_r42__asis
contact_cal0809,contact,4.345,ring10,asis,955.841,181.986,122.242,26.1981,3.24674,7.66975,0.21547,-0.0441448,-0.00850511,-0.0232125,-0.0336169,0.00932939,14.1711,1.00675,-16.9594,3546.9,contact_cal0809__AS80_p67_contact_p13__asis
