spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,live,key
contact52k,contact,2.8,ring10,kf2,832.337,366.045,115.506,70.2565,4.61585,41.6707,0.138462,0.0078149,-0.00190524,0.00189057,-0.0385427,-0.0663882,22.0691,1.0063,-7.77428,52742.3,contact52k__AS80_p67_contact_r28__kf2
contact52k,contact,3.3,ring10,kf2,840.023,335.229,127.464,72.2108,5.08303,49.0173,0.150461,0.00298052,-0.00231669,0.00311517,-0.0316004,-0.0735976,21.3654,1.0054,-6.54029,52742.3,contact52k__AS80_p67_contact_r33__kf2
contact52k,contact,3.8,ring10,kf2,866.464,349.002,110.9,62.1708,5.25376,54.5999,0.158957,-0.00403046,-0.000411444,0.000360359,-0.0186516,-0.0477728,20.4976,1.00475,-16.6287,52742.3,contact52k__AS80_p67_contact_r38__kf2
contact52k,contact,4.2,ring10,kf2,880.529,348.911,113.707,62.3835,5.32081,55.844,0.160791,-0.00706038,-0.000388777,0.00026403,-0.0159186,-0.0412142,19.7783,1.0047,-16.6398,52742.3,contact52k__AS80_p67_contact_r42__kf2
contact52k,contact,4.345,ring10,kf2,909.278,357.244,116.617,62.0815,5.36621,57.3332,0.162955,-0.0127839,2.58161e-05,-0.00019732,-0.00695286,-0.0117952,19.7287,1.00464,-16.6405,52742.3,contact52k__AS80_p67_contact_p13__kf2
contact_cal0809,contact,2.8,ring10,kf2,860.773,180.641,144.064,25.1427,2.47974,9.57587,0.240223,-0.0416491,-0.0171818,-0.0394672,0.00108338,-0.038432,13.4288,1.00469,-5.06906,3546.9,contact_cal0809__AS80_p67_contact_r28__kf2
contact_cal0809,contact,3.3,ring10,kf2,891.255,196.486,108.614,18.2539,2.53599,9.79193,0.243245,-0.0241891,-0.0129036,-0.0398566,0.010272,-0.0293499,14.0326,1.00463,-13.8249,3546.9,contact_cal0809__AS80_p67_contact_r33__kf2
contact_cal0809,contact,3.8,ring10,kf2,900.616,189.583,108.813,17.8242,2.58443,9.89455,0.24466,-0.0318076,-0.014218,-0.041524,0.0140864,-0.0194036,13.8263,1.00464,-13.9335,3546.9,contact_cal0809__AS80_p67_contact_r38__kf2
contact_cal0809,contact,4.2,ring10,kf2,911.853,183.617,109.903,17.4421,2.67569,10.0619,0.246952,-0.0375097,-0.0149969,-0.0417299,0.0160891,-0.0139176,13.4204,1.0047,-14.1595,3546.9,contact_cal0809__AS80_p67_contact_r42__kf2
contact_cal0809,contact,4.345,ring10,kf2,917.35,179.765,106.833,16.5039,2.69909,10.1848,0.24862,-0.0588631,-0.0176851,-0.0445349,0.0165707,-0.00258499,15.3351,1.0046,-14.3977,3546.9,contact_cal0809__AS80_p67_contact_p13__kf2
edge93,edge93,2.8,ring10,kf2,674.126,99.4189,118.177,16.6794,3.00886,23.7317,0.51353,0.00608587,0.061127,-0.129326,-0.0244646,-0.0502072,15.0381,1.00086,25.3373,23492.2,edge93__AS80_p67_edge93_r28__kf2
edge93,edge93,3.3,ring05,kf2,703.052,97.8987,118.792,18.0809,2.98929,23.7058,0.513301,-0.0263541,0.0686161,-0.120566,-0.0214603,-0.0354809,13.9696,1.00068,25.3116,23492.2,edge93__AS80_p67_edge93_r33_ring05__kf2
edge93,edge93,3.3,ring10,kf2,716.787,96.6553,120.294,17.7941,3.00096,23.7282,0.513522,-0.0306921,0.0670078,-0.122662,-0.0214135,-0.0335589,13.6369,1.00062,25.3057,23492.2,edge93__AS80_p67_edge93_r33__kf2
edge93,edge93,3.3,ring20,kf2,736.928,94.1845,123.524,17.4137,3.0286,23.7832,0.514143,-0.0413785,0.0591656,-0.124186,-0.0224479,-0.0311804,13.6676,1.00059,25.8383,23492.2,edge93__AS80_p67_edge93_r33_ring20__kf2
edge93,edge93,3.8,ring10,kf2,745.714,75.6118,123.349,16.7031,3.01979,23.7831,0.514111,-0.0551201,0.0673214,-0.121041,-0.0200386,-0.0274958,13.5877,1.00065,25.3046,23492.2,edge93__AS80_p67_edge93_r38__kf2
edge93,edge93,4.2,ring10,kf2,760.829,72.8157,126.212,16.1745,3.14283,24.1177,0.517911,-0.0717897,0.0587674,-0.120106,-0.0204274,-0.0274988,13.9856,1.00058,25.6317,23492.2,edge93__AS80_p67_edge93_r42__kf2
edge93,edge93,4.345,ring10,kf2,808.813,74.2514,128.904,15.9364,3.03243,23.8111,0.514427,-0.0937928,0.0285232,-0.111773,-0.0159274,-0.00701036,13.74,1.00022,26.3189,23492.2,edge93__AS80_p67_edge93_p13__kf2
face81,face81,2.8,ring10,kf2,604.568,98.6642,,,3.08468,30.2268,0.288397,-0.0494551,-0.00184274,-0.0131903,-0.0585246,-0.0946102,64.3836,1.01058,0,57251.4,face81__AS80_p67_face81_r28__kf2
face81,face81,3.3,ring10,kf2,616.583,94.5124,,,3.1484,30.4843,0.289668,-0.0484568,-0.00295132,-0.0121111,-0.0563017,-0.084871,63.9521,1.01052,0,57251.4,face81__AS80_p67_face81_r33__kf2
face81,face81,3.8,ring10,kf2,614.359,96.7117,,,3.05722,30.7471,0.290981,-0.0413194,-0.00558278,-0.0109613,-0.0507021,-0.0881284,64.5659,1.01059,0,57251.4,face81__AS80_p67_face81_r38__kf2
face81,face81,4.2,ring10,kf2,621.924,91.5694,,,3.19331,30.8401,0.291413,-0.0505307,-0.00328347,-0.0123601,-0.0557159,-0.0850534,64.1073,1.01058,0,57251.4,face81__AS80_p67_face81_r42__kf2
face81,face81,4.345,ring10,kf2,617.441,101.089,,,2.88998,30.0469,0.287516,-0.0282845,-0.00808115,-0.0108868,-0.0433009,-0.0902832,66.0151,1.01061,0,57251.4,face81__AS80_p67_face81_p13__kf2
