spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S24_Cs137_P25,G1S24,known,Cs-137,single,94.822,270.49,1.7811,7.9997E+004,386489.7,1.0905E+002,2.2043E+002,,,0,100.000
G1S24_Na22_P25,G1S24,known,Na-22,single,28.080,227.87,2.5119,1.2478E+005,298354.3,2.1571E+002,4.3715E+002,,,0,17.166
G1S24_Na22_P25,G1S24,known,Ann-511,nuisance,64.339,294.67,2.5119,2.5800E+005,1439652.0,,,,,0,82.834
G1S24_Th228_P25,G1S24,known,Th-228,single,0.784,239.17,2.1028,2.7131E+004,11836.4,7.7627E+001,1.5606E+002,,,0,1.183
G1S24_Th228_P25,G1S24,known,Ra-224,single,2.515,239.17,2.1028,2.7131E+004,30852.3,,,,,0,3.083
G1S24_Th228_P25,G1S24,known,Rn-220,single,0.056,239.17,2.1028,2.7131E+004,384.4,,,,,0,0.038
G1S24_Th228_P25,G1S24,known,Po-216,single,0.001,239.17,2.1028,2.7131E+004,5.2,,,,,0,0.001
G1S24_Th228_P25,G1S24,known,Pb-212,single,42.131,239.17,2.1028,2.7131E+004,569446.3,,,,,0,56.907
G1S24_Th228_P25,G1S24,known,Bi-212,single,7.523,239.17,2.1028,2.7131E+004,80657.6,,,,,0,8.060
G1S24_Th228_P25,G1S24,known,Tl-208,single,39.725,239.17,2.1028,2.7131E+004,307474.8,,,,,0,30.727
G1S24_Y88_P25,G1S24,known,Y-88,single,93.085,216.12,1.4401,2.6738E+004,132792.9,4.8812E+001,9.9078E+001,,,0,97.192
G1S24_Y88_P25,G1S24,known,Ann-511,nuisance,1.536,12.35,1.4401,7.5368E+002,3837.1,,,,,0,2.808
G1S24_Am241_P5,G1S24,known,Am-241,single,97.411,202.67,2.4092,7.7315E+004,3175659.5,4.5830E+001,9.2383E+001,,,0,100.000
G1S24_Ba133_P5,G1S24,known,Ba-133,single,96.664,135.63,4.1702,1.0811E+004,7036930.7,2.3328E+001,4.7022E+001,,,0,100.000
G1S24_Bi207_P5,G1S24,known,Bi-207,single,93.377,278.97,4.8325,6.3553E+004,9622609.7,4.7507E+001,9.6249E+001,,,0,99.884
G1S24_Bi207_P5,G1S24,known,Ann-511,nuisance,0.146,3.00,4.8325,2.6934E+002,11204.5,,,,,0,0.116
G1S24_Cd109_P5,G1S24,known,Cd-109,single,89.141,45.14,1.7944,1.2545E+003,44615.1,3.9111E+000,8.1640E+000,,,0,100.000
G1S24_Co60_P5,G1S24,known,Co-60,single,95.366,312.40,3.4207,3.8765E+004,1483713.7,4.7684E+001,9.6252E+001,,,0,100.000
G1S24_Cs137_P5,G1S24,known,Cs-137,single,94.887,296.14,3.7340,7.0228E+004,2401790.4,2.8471E+001,5.8464E+001,,,0,100.000
G1S24_Cs137_P5,G1S24,known,pile-up,nuisance,0.111,4.59,3.7340,2.5078E+000,0.0,,,,,0,0.000
G1S24_Eu152_P5,G1S24,known,Eu-152,single,95.538,230.99,5.5882,9.4231E+004,35789452.4,1.6762E+002,3.3708E+002,,,0,100.000
G1S24_Na22_P5,G1S24,known,Na-22,single,27.032,123.54,6.0201,1.0464E+005,1734681.0,3.3155E+002,6.7259E+002,,,0,15.524
G1S24_Na22_P5,G1S24,known,Ann-511,nuisance,66.976,171.36,6.0201,2.2670E+005,9439824.5,,,,,0,84.476
G1S24_Na22_P5,G1S24,known,pile-up,nuisance,0.524,3.79,6.0201,6.0204E+001,0.0,,,,,0,0.000
G1S24_Th228_P5,G1S24,known,Th-228,single,0.973,337.47,4.5546,7.1394E+004,341100.3,9.1094E+001,1.8291E+002,,,0,1.345
G1S24_Th228_P5,G1S24,known,Ra-224,single,2.661,337.47,4.5546,7.1394E+004,788272.5,,,,,0,3.108
G1S24_Th228_P5,G1S24,known,Rn-220,single,0.050,337.47,4.5546,7.1394E+004,8548.4,,,,,0,0.034
G1S24_Th228_P5,G1S24,known,Po-216,single,0.001,337.47,4.5546,7.1394E+004,114.4,,,,,0,0.000
G1S24_Th228_P5,G1S24,known,Pb-212,single,47.729,337.47,4.5546,7.1394E+004,15375397.5,,,,,0,60.621
G1S24_Th228_P5,G1S24,known,Bi-212,single,7.408,337.47,4.5546,7.1394E+004,2089219.4,,,,,0,8.237
G1S24_Th228_P5,G1S24,known,Tl-208,single,35.250,337.47,4.5546,7.1394E+004,6760455.3,,,,,0,26.655
G1S24_Y88_P5,G1S24,known,Y-88,single,93.668,302.75,2.8558,2.3652E+004,1124273.4,2.2279E+001,4.5174E+001,,,0,97.670
G1S24_Y88_P5,G1S24,known,Ann-511,nuisance,1.303,16.28,2.8558,5.2450E+002,26818.6,,,,,0,2.330
G1S24_Zn65_P5,G1S24,known,Zn-65,single,87.734,86.24,1.0722,6.9183E+002,7685.1,4.8015E+000,9.8213E+000,,,0,86.815
G1S24_Zn65_P5,G1S24,known,Ann-511,nuisance,7.294,17.59,1.0722,2.4422E+001,1167.1,,,,,0,13.185
