spectrum,det,part,matrix_applied,grey_below_floor,grey_above_lines,grey_pct,spread_floor_kev,spread_floor_ch,residual_floor_kev,residual_floor_ch,first_ch,last_ch,stack_total,missing_pct,excess_pct
G1S24_Cs137_P25,G1S24,known,1,49612.5,31.7,5.178,100.0,37,30.0,12,0,1023,958663.7,3.215,2.444
G1S24_Na22_P25,G1S24,known,1,362447.5,23.5,7.581,100.0,40,30.0,15,0,1023,4781198.6,2.338,1.865
G1S24_Th228_P25,G1S24,known,1,115739.0,0.0,7.264,100.0,38,30.0,13,0,1023,1593317.5,2.986,3.097
G1S24_Y88_P25,G1S24,known,1,27603.6,0.0,5.379,100.0,37,30.0,12,0,1023,513153.6,2.459,2.358
G1S24_Am241_P5,G1S24,known,1,79875.9,4551.2,2.589,100.0,39,30.0,15,0,1023,3260434.6,10.327,2.232
G1S24_Ba133_P5,G1S24,known,1,277626.2,1213.4,3.336,100.0,39,30.0,14,0,1023,8357884.9,13.890,5.612
G1S24_Bi207_P5,G1S24,known,1,959046.8,30.7,6.477,100.0,36,30.0,11,0,1023,14807952.9,5.133,3.786
G1S24_Cd109_P5,G1S24,known,1,4653.6,789.6,10.859,100.0,38,30.0,13,0,1023,50127.9,64.329,6.756
G1S24_Co60_P5,G1S24,known,1,240690.0,16.3,4.634,100.0,36,30.0,10,0,1023,5193876.0,5.094,2.781
G1S24_Cs137_P5,G1S24,known,1,260251.6,0.0,5.002,100.0,38,30.0,13,0,1023,5202913.5,8.186,3.932
G1S24_Eu152_P5,G1S24,known,1,1982527.0,3244.5,4.462,100.0,38,30.0,13,0,1023,44503124.8,5.353,6.055
G1S24_Na22_P5,G1S24,known,1,1499316.5,0.0,5.469,100.0,31,30.0,5,0,1023,27416039.5,6.627,4.010
G1S24_Th228_P5,G1S24,known,1,2155568.8,0.0,5.928,100.0,41,30.0,17,6,1023,36364422.6,3.558,2.742
G1S24_Y88_P5,G1S24,known,1,198369.7,0.0,5.029,100.0,43,30.0,19,8,1023,3944376.1,3.764,2.763
G1S24_Zn65_P5,G1S24,known,1,1448.4,59.4,4.972,100.0,38,30.0,13,0,1023,30327.5,8.223,8.089
