spectrum,det,part,component,kind,detected,decay_s,dt_decay_s,mda_decay_s,degenerate,collinearity,mda_peak_counts,total_yield_pct
G1S24_Cs137_P25,G1S24,known,Cs-137,single,1,7.9997E+004,1.0905E+002,2.2043E+002,0,0.3752,1065.0,93.0229
G1S24_Na22_P25,G1S24,known,Na-22,single,1,1.2478E+005,2.1571E+002,4.3715E+002,0,0.4101,1045.2,100.0808
G1S24_Th228_P25,G1S24,known,Th-228,chain,1,2.7131E+004,7.7627E+001,1.5606E+002,0,0.5285,6354.3,237.9770
G1S24_Y88_P25,G1S24,known,Y-88,single,1,2.6738E+004,4.8812E+001,9.9078E+001,0,0.5910,492.1,256.3332
G1S24_Am241_P5,G1S24,known,Am-241,single,1,7.7315E+004,4.5830E+001,9.2383E+001,0,0.0727,3794.6,74.8095
G1S24_Ba133_P5,G1S24,known,Ba-133,single,1,1.0811E+004,2.3328E+001,4.7022E+001,0,0.6679,30607.8,264.8544
G1S24_Bi207_P5,G1S24,known,Bi-207,single,1,6.3553E+004,4.7507E+001,9.6249E+001,0,0.4882,14573.2,288.3569
G1S24_Cd109_P5,G1S24,known,Cd-109,single,1,1.2545E+003,3.9111E+000,8.1640E+000,0,0.0084,290.3,116.3035
G1S24_Co60_P5,G1S24,known,Co-60,single,1,3.8765E+004,4.7684E+001,9.6252E+001,0,0.5905,3684.0,199.8440
G1S24_Cs137_P5,G1S24,known,Cs-137,single,1,7.0228E+004,2.8471E+001,5.8464E+001,0,0.2155,1999.4,93.0229
G1S24_Eu152_P5,G1S24,known,Eu-152,single,1,9.4231E+004,1.6762E+002,3.3708E+002,0,0.7541,128024.4,242.9866
G1S24_Na22_P5,G1S24,known,Na-22,single,1,1.0464E+005,3.3155E+002,6.7259E+002,0,0.7072,11150.4,100.0808
G1S24_Th228_P5,G1S24,known,Th-228,chain,1,7.1394E+004,9.1094E+001,1.8291E+002,0,0.6786,71229.6,237.9770
G1S24_Y88_P5,G1S24,known,Y-88,single,1,2.3652E+004,2.2279E+001,4.5174E+001,0,0.6259,2147.3,256.3332
G1S24_Zn65_P5,G1S24,known,Zn-65,single,1,6.9183E+002,4.8015E+000,9.8213E+000,0,0.3914,109.1,90.7876
