spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
AS80_Th232_v2,AS80x80,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,21,10,6,0,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 2, линий 111; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1588, DE-1588, SE-1631, DE-1631",0,0,0,-1,0,0.000,,,0.0000,
AS80_UGlass,AS80x80,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,14,5,8,0,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 3, линий 206; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 6; вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,-1,0,0.000,,,0.0000,
AS80_Charoite,AS80x80,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,14,13,6,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 4, линий 82; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-1764, DE-1764, SE-2204, DE-2204, SE-2448, DE-2448",0,0,0,-1,0,0.000,,,0.0000,
AS80_Th232Medal,AS80x80,known,12.7204,3.5666,1.029976,-4.729,0,0,0,1,"НАЙДЕНА, применена",1,1,1,21,14,1640,1641,,0,,72.4427,,17.496,sample,"распад 1, атомных 6, линий 123; полоса сведена ПОЛОМ ПО КРИВОЙ 30.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание); вылет от линий состава: SE-2615, DE-2615, SE-1588, DE-1588, SE-1631, DE-1631",1,0,0,3,2,-1.664,"опор 2; усиление 1.02998, ноль -1.66 кэВ (-4.729 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -15.23 кэВ калибровки, свет -6.77 кэВ (по съёмке: опор 5 из 16 (77.2…584.7 кэВ), нуль света кан 18.46), растяжение 1.00323 по 2614.5 кэВ",NaI:Tl,1.0000,line
AS80_Onyx,AS80x80,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,16,13,9,0,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 3, атомных 3, линий 176; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1764, DE-1764, SE-2204, DE-2204",0,0,0,-1,0,0.000,,,0.0000,
AS80_K40,AS80x80,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,16,5,8,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 1, линий 5; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: нет данных для Z=11; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-1461, DE-1461",0,0,0,-1,0,0.000,,,0.0000,
AS80_Th232WT20,AS80x80,unknown,20.6416,4.5433,1.000000,0.000,0,0,0,0,файла нет,0,1,1,19,12,138,125,,0,,204.4014,,22.318,sample,"распад 1, атомных 4, линий 120; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; вылет: нет данных для Z=11; вылет: нет данных для Z=11; вылет от линий состава: SE-2615, DE-2615, SE-1588, DE-1588, SE-1631, DE-1631",0,0,0,8,0,0.000,привязки нет: без матрицы отклика синего канала нет,,0.0000,
AS80_Cs137_0cm,AS80x80,known,3.9706,1.9926,0.988774,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,2,236,234,,0,,92.0215,,33.059,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.98877, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.01 кэВ калибровки, свет 2.12 кэВ (по съёмке: опор 2 из 2 (34.5…662.0 кэВ), нуль света кан -5.80), растяжение 1.01080 по 661.7 кэВ",NaI:Tl,1.0000,line
AS80_Lu176,AS80x80,known,1.9489,1.3960,0.989575,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,4,226,234,,0,,31.8245,,55.242,sample,"распад 1, атомных 3, линий 16; полоса сведена ПОЛОМ ПО КРИВОЙ 30.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание); аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,0.000,"опор 2; усиление 0.98957, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.62 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 2 из 3, нет плеча (204.8…308.4 кэВ)), растяжение 1.02484 по 306.8 кэВ",NaI:Tl,1.0000,line
﻿spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
