section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,6964,,,,,,,,,,,,,
meta,chi2ndf,,,1.206122060658473,,,,,,,,,,,,,
meta,chi2ndf_pois,,,6.6530097455918087,,,,,,,,,,,,,
meta,model_residual,,,0.58773992747856629,,,,,,,,,,,,,
meta,gain,,,1.0092093075907334,,,,,,,,,,,,,
meta,offset_channels,,,-14.143358582985478,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Rn-222,Single,1,144.14405269516459,131.05068331381258,1.2123739920670211,2.4371069316199652,28.082359531013186,0.024666853263910007,Rn-222,Rn-222,,,,,,
component,Pb-214,Single,1,144.14405269516459,131.05068331381258,,,77027.2375127777,39.710571902157227,Rn-222,Rn-222,,,,,,
component,Bi-214,Single,1,144.14405269516459,131.05068331381258,,,32628.514473634183,35.49054821116281,Rn-222,Rn-222,,,,,,
component,Po-214,Single,1,144.14405269516459,131.05068331381258,,,1.4239426626818421,0.0027177563985507176,Rn-222,Rn-222,,,,,,
limit,Rn-222,Chain,1,144.14405269516459,,1.2123739920670211,2.4371069316199652,,,,Rn-222,122.71895281633157,2195.7821919232424,0,0.50607814604064294,,
untied_tail,Rn-222,,,,,,,7630.9826544376465,,,,,,,,,
grey,below_floor,,,,,,,51812.627599612606,24.740727247771453,,,,,,,,
grey,above_lines,,,,,,,64.435148786651951,0.030768029246060608,,,,,,,,
grey,spread_floor,,,100,,,,281,,,,,,,,,
grey,residual_floor,,,30,,,,96,,,,,,,,,
grey,residual_missing,,,0.12849329627790734,,,,,,,,,,,,,
grey,residual_excess,,,0.14357793483997791,,,,,,,,,,,,,
