зазор, мм | ε(0 мм)      ±МК | ε(50 мм)     ±МК | ε/ε(g=0) 0 мм | ε/ε(g=0) 50 мм | изм/ожид 0 мм: BGdiff / Covell / FSA | изм/ожид 50 мм: BGdiff / Covell / FSA
        0 | 1.2597e-02  1.9% | 1.7267e-04  1.8% |         1.000 |          1.000 | 0.448 / 0.423 / 0.443 | 1.095 / 1.013 / 1.050
        1 | 9.6557e-03  2.2% | 1.6802e-04  1.9% |         0.767 |          0.973 | 0.585 / 0.551 / 0.578 | 1.125 / 1.041 / 1.079
        2 | 7.3879e-03  2.5% | 1.6273e-04  2.0% |         0.586 |          0.942 | 0.764 / 0.720 / 0.756 | 1.162 / 1.074 / 1.114
        3 | 6.1020e-03  2.8% | 1.5825e-04  2.0% |         0.484 |          0.917 | 0.925 / 0.872 / 0.915 | 1.195 / 1.105 / 1.145
        4 | 4.7945e-03  3.2% | 1.4792e-04  2.2% |         0.381 |          0.857 | 1.178 / 1.110 / 1.164 | 1.278 / 1.182 / 1.225
        5 | 3.8841e-03  3.5% | 1.4170e-04  2.3% |         0.308 |          0.821 | 1.454 / 1.370 / 1.437 | 1.334 / 1.234 / 1.279
        6 | 3.4467e-03  3.7% | 1.3560e-04  2.5% |         0.274 |          0.785 | 1.638 / 1.544 / 1.620 | 1.394 / 1.289 / 1.336
        7 | 2.8209e-03  4.1% | 1.2998e-04  2.6% |         0.224 |          0.753 | 2.002 / 1.887 / 1.979 | 1.455 / 1.345 / 1.394
        8 | 2.6367e-03  4.3% | 1.2720e-04  2.7% |         0.209 |          0.737 | 2.142 / 2.019 / 2.117 | 1.487 / 1.375 / 1.425
       10 | 2.0386e-03  4.8% | 1.2261e-04  2.9% |         0.162 |          0.710 | 2.770 / 2.611 / 2.739 | 1.542 / 1.426 / 1.478
       12 | 1.6146e-03  5.4% | 1.1418e-04  3.2% |         0.128 |          0.661 | 3.497 / 3.297 / 3.458 | 1.656 / 1.531 / 1.587
       15 | 1.2229e-03  6.3% | 1.0358e-04  3.7% |         0.097 |          0.600 | 4.617 / 4.352 / 4.565 | 1.826 / 1.688 / 1.750
       20 | 8.3048e-04  7.6% | 9.2755e-05  4.3% |         0.066 |          0.537 | 6.799 / 6.409 / 6.722 | 2.039 / 1.885 / 1.954
