pair,band_kev,fit,model,missing_fit,excess_fit,grey,top_layer,top_counts
AS80_Th232_disk / infer_eq,0-30,24985.290,21804.252,3858.267,677.229,11599.212,Ac-228,6862.252
AS80_Th232_disk / infer_eq,30-100,362721.411,360783.268,15771.901,13833.758,93427.980,Ac-228,39116.678
AS80_Th232_disk / infer_eq,100-300,626674.995,611502.265,32527.882,17355.152,0.000,Ac-228,209098.511
AS80_Th232_disk / infer_eq,300-700,355475.081,348429.218,20683.125,13637.262,0.000,Ac-228,175943.295
AS80_Th232_disk / infer_eq,700-1500,184293.379,188202.780,16249.415,20158.816,0.000,Ac-228,113589.141
AS80_Th232_disk / infer_eq,1500-3000,66612.611,71033.454,7869.507,12290.350,0.000,Ac-228,5694.724
ASN16_Cs137_10cm / sample_nomatrix,0-30,2214.781,2048.289,470.657,304.165,0.000,Cs-137,1229.626
ASN16_Cs137_10cm / sample_nomatrix,30-100,5701.342,5571.859,903.632,774.149,0.000,Cs-137,4065.321
ASN16_Cs137_10cm / sample_nomatrix,100-300,18074.477,17966.356,2344.372,2236.251,0.000,Cs-137,12137.642
ASN16_Cs137_10cm / sample_nomatrix,300-700,14757.119,15014.719,1947.940,2205.540,0.000,Cs-137,15014.719
ASN16_Cs137_10cm / sample_nomatrix,700-1500,-64.660,107.319,863.462,1035.441,9.437,Cs-137,97.882
ASN16_Cs137_10cm / sample_nomatrix,1500-3000,-39.229,5.954,360.330,405.513,5.954,Cs-137,0.000
ASN16_Cs137_house / infer_eq,0-30,18782108.433,20479610.028,933884.595,2631386.190,1935789.327,Cs-137,15897866.897
ASN16_Cs137_house / infer_eq,30-100,39908714.671,39382074.749,809493.940,282854.018,13794222.173,Cs-137,23951195.310
ASN16_Cs137_house / infer_eq,100-300,73014238.898,72215756.914,1561193.271,762711.287,0.000,Cs-137,65662868.491
ASN16_Cs137_house / infer_eq,300-700,116281598.656,112696807.912,5183164.412,1598373.668,0.000,Cs-137,112742277.626
ASN16_Cs137_house / infer_eq,700-1500,1230439.962,1140853.249,136524.268,46937.555,0.000,Cs-137,396077.491
ASN16_Cs137_house / infer_eq,1500-3000,2302.835,4834.068,4601.999,7133.232,0.000,Cs-137,0.000
ASN16_Radon_filter2 / chain_eq,0-30,14800.348,11741.276,6601.773,3542.701,11665.877,Ac-228,28.182
ASN16_Radon_filter2 / chain_eq,30-100,29373.950,27446.636,7415.236,5487.922,26476.962,Ac-228,201.292
ASN16_Radon_filter2 / chain_eq,100-300,-4426.973,7611.156,2735.589,14773.718,0.000,Ac-228,2922.437
ASN16_Radon_filter2 / chain_eq,300-700,-1534.314,1250.511,1608.797,4393.622,0.000,Ac-228,628.353
ASN16_Radon_filter2 / chain_eq,700-1500,-747.028,270.935,1758.845,2776.808,0.000,Ac-228,137.856
ASN16_Radon_filter2 / chain_eq,1500-3000,1049.230,1033.677,1480.948,1465.395,0.000,Ac-228,10.029
ASN16_Radon_filter2 / chain_noeq,0-30,14800.348,11706.087,6612.128,3517.867,11514.266,Pb-212,177.431
ASN16_Radon_filter2 / chain_noeq,30-100,29373.950,28155.959,6196.449,4978.458,23577.382,Pb-212,4509.655
ASN16_Radon_filter2 / chain_noeq,100-300,-4426.973,8874.293,1182.288,14483.554,0.000,Pb-212,8154.609
ASN16_Radon_filter2 / chain_noeq,300-700,-1534.314,996.216,1685.561,4216.091,662.388,Pb-212,333.828
ASN16_Radon_filter2 / chain_noeq,700-1500,-747.028,74.233,1842.513,2663.774,74.233,Pb-212,0.000
ASN16_Radon_filter2 / chain_noeq,1500-3000,1049.230,1031.759,1483.685,1466.214,1031.759,Pb-212,0.000
G1S24_Rn222Coal_eq01 / sample_eq,0-30,2967.975,2491.784,537.044,60.853,2114.739,Bi-214,0.000
G1S24_Rn222Coal_eq01 / sample_eq,30-100,39618.304,38868.014,4760.903,4010.613,11206.012,Bi-214,3008.231
G1S24_Rn222Coal_eq01 / sample_eq,100-300,65246.457,65063.681,2043.077,1860.301,0.000,Bi-214,25036.511
G1S24_Rn222Coal_eq01 / sample_eq,300-700,54134.177,53904.724,1889.357,1659.904,0.000,Bi-214,32511.149
G1S24_Rn222Coal_eq01 / sample_eq,700-1500,21811.826,21573.458,1573.033,1334.665,0.000,Bi-214,19735.663
G1S24_Rn222Coal_eq01 / sample_eq,1500-3000,6082.210,6169.080,891.284,978.154,0.000,Bi-214,4664.096
G1S24_Rn222Coal_eq01 / sample_noeq,0-30,2967.975,2912.841,147.542,92.408,2878.090,Bi-214,0.000
G1S24_Rn222Coal_eq01 / sample_noeq,30-100,39618.304,38117.294,2944.392,1443.382,13970.692,Bi-214,3185.334
G1S24_Rn222Coal_eq01 / sample_noeq,100-300,65246.457,65084.005,1194.554,1032.102,0.000,Bi-214,26649.570
G1S24_Rn222Coal_eq01 / sample_noeq,300-700,54134.177,54006.357,1895.392,1767.572,0.000,Bi-214,33212.826
G1S24_Rn222Coal_eq01 / sample_noeq,700-1500,21811.826,21609.249,1542.875,1340.298,0.000,Bi-214,20349.796
G1S24_Rn222Coal_eq01 / sample_noeq,1500-3000,6082.210,6152.209,894.606,964.605,0.000,Bi-214,4925.459
