ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ac-228,Tl-208,Bi-212,Ra-224,Th-228,Th-232,Rn-220
0,-5.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.782,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.406,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-4.030,2.714,0.000,0.000,0.000,2.714,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,-3.654,2.703,0.000,0.000,0.000,2.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,-3.278,4.584,0.000,0.000,0.000,4.584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,-2.902,4.506,0.000,0.000,0.000,4.506,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,-2.526,4.674,0.000,0.000,0.000,4.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,-2.150,6.840,0.000,0.000,0.000,6.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,-1.774,8.627,0.000,0.000,0.000,8.627,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,-1.398,12.752,0.000,0.000,0.000,12.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,-1.022,9.535,0.000,0.000,0.000,9.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,-0.646,10.405,0.000,0.000,0.000,10.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-0.269,11.449,0.000,0.000,0.000,11.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.107,8.656,0.000,0.000,0.000,8.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.483,9.619,0.000,0.000,0.000,9.619,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.859,7.486,0.000,0.000,0.000,7.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,1.235,15.521,0.000,0.000,0.000,15.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,1.611,15.170,17.195,8.959,0.000,15.170,8.236,6.182,5.821,3.548,1.093,0.460,0.072,0.012,0.008
21,1.988,8.486,19.786,8.751,0.000,8.486,11.035,7.126,6.699,4.100,1.222,0.536,0.080,0.013,0.009
22,2.364,13.589,23.107,8.542,0.000,13.589,14.565,8.334,7.824,4.806,1.393,0.633,0.092,0.014,0.011
23,2.740,17.234,27.273,8.334,0.000,17.234,18.939,9.847,9.236,5.690,1.612,0.754,0.106,0.016,0.013
24,3.116,17.467,32.393,8.126,0.000,17.467,24.268,11.703,10.970,6.773,1.890,0.902,0.123,0.018,0.015
25,3.493,20.397,38.567,7.917,0.000,20.397,30.649,13.935,13.060,8.076,2.234,1.079,0.144,0.020,0.018
26,3.869,31.371,45.872,7.709,0.000,31.371,38.163,16.571,15.532,9.613,2.654,1.288,0.169,0.023,0.022
27,4.245,55.371,54.364,7.501,0.000,55.371,46.863,19.626,18.403,11.395,3.158,1.530,0.199,0.026,0.026
28,4.622,61.099,64.060,7.292,0.000,61.099,56.768,23.104,21.679,13.424,3.755,1.804,0.233,0.030,0.031
29,4.998,69.649,74.942,7.084,0.000,69.649,67.859,26.993,25.353,15.692,4.453,2.109,0.271,0.034,0.036
30,5.374,108.441,86.951,6.876,0.000,108.441,80.076,31.267,29.401,18.185,5.259,2.444,0.314,0.040,0.042
