ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ra-224,continuum
0,-5.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.782,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.406,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,0.000
5,-4.030,2.714,0.000,0.000,0.000,2.714,0.000,0.000,0.000,0.000
6,-3.654,2.703,0.000,0.000,0.000,2.703,0.000,0.000,0.000,0.000
7,-3.278,4.584,0.000,0.000,0.000,4.584,0.000,0.000,0.000,0.000
8,-2.902,4.506,0.000,0.000,0.000,4.506,0.000,0.000,0.000,0.000
9,-2.526,4.674,0.000,0.000,0.000,4.674,0.000,0.000,0.000,0.000
10,-2.150,6.840,0.000,0.000,0.000,6.840,0.000,0.000,0.000,0.000
11,-1.774,8.627,0.000,0.000,0.000,8.627,0.000,0.000,0.000,0.000
12,-1.398,12.752,0.000,0.000,0.000,12.752,0.000,0.000,0.000,0.000
13,-1.022,9.535,0.000,0.000,0.000,9.535,0.000,0.000,0.000,0.000
14,-0.646,10.405,0.000,0.000,0.000,10.405,0.000,0.000,0.000,0.000
15,-0.269,11.449,0.000,0.000,0.000,11.449,0.000,0.000,0.000,0.000
16,0.107,8.656,0.000,0.000,0.000,8.656,0.000,0.000,0.000,0.000
17,0.483,9.619,0.000,0.000,0.000,9.619,0.000,0.000,0.000,0.000
18,0.859,7.486,0.000,0.000,0.000,7.486,0.000,0.000,0.000,0.000
19,1.235,15.521,0.000,0.000,0.000,15.521,0.000,0.000,0.000,0.000
20,1.611,15.170,65.962,65.962,0.000,15.170,0.000,62.726,3.235,0.000
21,1.988,8.486,69.271,69.271,0.000,8.486,0.000,65.874,3.398,0.000
22,2.364,13.589,72.564,72.564,0.000,13.589,0.000,69.005,3.559,0.000
23,2.740,17.234,75.840,75.840,0.000,17.234,0.000,72.120,3.720,0.000
24,3.116,17.467,79.100,79.100,0.000,17.467,0.000,75.220,3.880,0.000
25,3.493,20.397,82.344,82.344,0.000,20.397,0.000,78.305,4.039,0.000
26,3.869,31.371,85.573,85.573,0.000,31.371,0.000,81.376,4.197,0.000
27,4.245,55.371,88.789,88.789,0.000,55.371,0.000,84.434,4.355,0.000
28,4.622,61.099,91.993,91.993,0.000,61.099,0.000,87.481,4.512,0.000
29,4.998,69.649,95.186,95.186,0.000,69.649,0.000,90.518,4.669,0.000
30,5.374,108.441,98.371,98.371,0.000,108.441,0.000,93.546,4.825,0.000
31,5.751,143.000,101.547,101.547,0.000,143.000,0.000,96.566,4.981,0.000
32,6.127,168.172,104.716,104.716,0.000,168.172,0.000,99.580,5.136,0.000
33,6.504,188.075,107.880,107.880,0.000,188.075,0.000,102.588,5.291,0.000
34,6.880,201.229,111.039,111.039,0.000,201.229,0.000,105.593,5.446,0.000
35,7.257,225.078,114.195,114.195,0.000,225.078,0.000,108.594,5.601,0.000
36,7.633,223.098,117.348,117.348,0.000,223.098,0.000,111.592,5.756,0.000
37,8.010,278.279,120.500,120.500,0.000,278.279,0.000,114.590,5.910,0.000
38,8.386,271.052,123.651,123.651,0.000,271.052,0.000,117.586,6.065,0.000
39,8.763,291.282,126.802,126.802,0.000,291.282,0.000,120.583,6.219,0.000
40,9.139,308.314,129.954,129.954,0.000,308.314,0.000,123.580,6.374,0.000
41,9.516,362.285,133.106,133.106,0.000,362.285,0.000,126.578,6.528,0.000
42,9.892,356.225,136.260,136.260,0.000,356.225,0.000,129.577,6.683,0.000
43,10.269,406.860,139.415,139.415,0.000,406.860,0.000,132.577,6.838,0.000
44,10.646,393.774,142.570,142.570,0.000,393.774,0.000,135.578,6.993,0.000
45,11.022,406.780,145.727,145.727,0.000,406.780,0.000,138.580,7.147,0.000
46,11.399,415.743,148.884,148.884,0.000,415.743,0.000,141.582,7.302,0.000
47,11.775,452.001,152.042,152.042,0.000,452.001,0.000,144.585,7.457,0.000
48,12.152,427.996,155.199,155.199,0.000,427.996,0.000,147.587,7.612,0.000
49,12.529,444.304,158.356,158.356,0.000,444.304,0.000,150.589,7.767,0.000
50,12.906,484.024,161.511,161.511,0.000,484.024,0.000,153.590,7.922,0.000
51,13.282,410.660,164.666,164.666,0.000,410.660,0.000,156.589,8.076,0.000
52,13.659,405.629,167.818,167.818,0.000,405.629,0.000,159.587,8.231,0.000
53,14.036,429.460,170.969,170.969,0.000,429.460,0.000,162.583,8.385,0.000
54,14.413,423.450,174.118,174.118,0.000,423.450,0.000,165.578,8.540,0.000
55,14.789,389.338,177.264,177.264,0.000,389.338,0.000,168.570,8.694,0.000
56,15.166,395.294,180.408,180.408,0.000,395.294,0.000,171.560,8.848,0.000
57,15.543,393.292,183.551,183.551,0.000,393.292,0.000,174.548,9.003,0.000
58,15.920,358.071,186.691,186.691,0.000,358.071,0.000,177.534,9.157,0.000
59,16.297,351.056,189.829,189.829,0.000,351.056,0.000,180.518,9.311,0.000
60,16.674,346.802,192.965,192.965,0.000,346.802,0.000,183.501,9.464,0.000
61,17.051,320.640,196.099,196.099,0.000,320.640,0.000,186.481,9.618,0.000
62,17.427,321.609,199.233,199.233,0.000,321.609,0.000,189.461,9.772,0.000
63,17.804,311.864,202.364,202.364,0.000,311.864,0.000,192.439,9.925,0.000
64,18.181,281.150,201.011,201.011,0.000,281.150,0.000,191.152,9.859,0.000
65,18.558,269.900,199.656,199.656,0.000,269.900,0.000,189.864,9.793,0.000
66,18.935,241.875,198.301,198.301,0.000,241.875,0.000,188.575,9.726,0.000
67,19.312,223.932,196.946,196.946,0.000,223.932,0.000,187.287,9.660,0.000
68,19.689,239.478,195.591,195.591,0.000,239.478,0.000,185.998,9.593,0.000
69,20.066,170.094,194.237,194.237,0.000,170.094,0.000,184.710,9.527,0.000
70,20.443,175.780,192.883,192.883,0.000,175.780,0.000,183.423,9.460,0.000
71,20.820,172.729,191.530,191.530,0.000,172.729,0.000,182.136,9.394,0.000
72,21.198,128.035,190.179,190.179,0.000,128.035,0.000,180.851,9.328,0.000
73,21.575,108.002,188.829,188.829,0.000,108.002,0.000,179.567,9.261,0.000
74,21.952,100.691,187.480,187.480,0.000,100.691,0.000,178.285,9.195,0.000
75,22.329,79.518,186.134,186.134,0.000,79.518,0.000,177.005,9.129,0.000
76,22.706,66.217,184.790,184.790,0.000,66.217,0.000,175.726,9.063,0.000
77,23.083,79.009,183.448,183.448,0.000,79.009,0.000,174.450,8.998,0.000
78,23.460,64.778,182.108,182.108,0.000,64.778,0.000,173.176,8.932,0.000
79,23.838,40.841,180.771,180.771,0.000,40.841,0.000,171.905,8.866,0.000
80,24.215,34.252,179.436,179.436,0.000,34.252,0.000,170.636,8.801,0.000
81,24.592,40.687,178.105,178.105,0.000,40.687,0.000,169.369,8.735,0.000
82,24.969,76.108,176.776,176.776,0.000,76.108,0.000,168.105,8.670,0.000
83,25.346,40.490,175.449,175.449,0.000,40.490,0.000,166.844,8.605,0.000
84,25.724,40.753,174.126,174.126,0.000,40.753,0.000,165.586,8.540,0.000
85,26.101,54.990,172.806,172.806,0.000,54.990,0.000,164.330,8.476,0.000
86,26.478,40.579,171.488,171.488,0.000,40.579,0.000,163.077,8.411,0.000
87,26.856,37.904,170.173,170.173,0.000,37.904,0.000,161.826,8.346,0.000
88,27.233,33.382,168.861,168.861,0.000,33.382,0.000,160.579,8.282,0.000
89,27.610,46.118,167.551,167.551,0.000,46.118,0.000,159.333,8.218,0.000
90,27.988,28.477,166.244,166.244,0.000,28.477,0.000,158.090,8.154,0.000
91,28.365,10.752,164.939,164.939,0.000,10.752,0.000,156.850,8.090,0.000
92,28.743,16.365,163.637,163.637,0.000,16.365,0.000,155.611,8.026,0.000
93,29.120,46.001,162.337,162.337,0.000,46.001,0.000,154.375,7.962,0.000
94,29.497,19.043,161.040,161.040,0.000,19.043,0.000,153.142,7.899,0.000
95,29.875,28.126,159.745,159.745,0.000,28.126,0.000,151.910,7.835,0.000
96,30.252,28.990,158.453,158.453,0.000,28.990,0.000,150.681,7.772,0.000
97,30.630,10.806,157.163,157.163,0.000,10.806,0.000,149.454,7.708,0.000
98,31.007,37.180,155.876,155.876,0.000,37.180,0.000,148.230,7.645,0.000
99,31.385,17.282,154.592,154.592,0.000,17.282,0.000,147.010,7.582,0.000
100,31.763,6.828,153.312,153.312,0.000,6.828,0.000,145.792,7.519,0.000
101,32.140,25.761,152.036,152.036,0.000,25.761,0.000,144.579,7.457,0.000
102,32.518,25.492,150.766,150.766,0.000,25.492,0.000,143.371,7.395,0.000
103,32.895,43.650,149.501,149.501,0.000,43.650,0.000,142.168,7.333,0.000
104,33.273,24.576,148.243,148.243,0.000,24.576,0.000,140.972,7.271,0.000
105,33.651,19.205,146.993,146.993,0.000,19.205,0.000,139.784,7.210,0.000
106,34.028,14.839,145.753,145.753,0.000,14.839,0.000,138.604,7.149,0.000
107,34.406,29.546,144.524,144.524,0.000,29.546,0.000,137.436,7.088,0.000
108,34.783,28.818,143.308,143.308,0.000,28.818,0.000,136.279,7.029,0.000
109,35.161,28.455,142.106,142.106,0.000,28.455,0.000,135.136,6.970,0.000
110,35.539,55.045,140.920,140.920,0.000,55.045,0.000,134.008,6.912,0.000
111,35.917,60.828,139.753,139.753,0.000,60.828,0.000,132.898,6.854,0.000
112,36.294,72.396,138.606,138.606,0.000,72.396,0.000,131.808,6.798,0.000
113,36.672,61.174,137.482,137.482,0.000,61.174,0.000,130.739,6.743,0.000
114,37.050,0.000,136.382,136.382,0.000,-12.714,0.000,129.693,6.689,0.000
115,37.428,64.202,135.309,135.309,0.000,64.202,0.000,128.672,6.636,0.000
116,37.806,33.848,134.264,134.264,0.000,33.848,0.000,127.678,6.585,0.000
117,38.183,56.633,133.248,133.248,0.000,56.633,0.000,126.713,6.535,0.000
118,38.561,72.058,132.264,132.264,0.000,72.058,0.000,125.777,6.487,0.000
119,38.939,67.373,131.311,131.311,0.000,67.373,0.000,124.871,6.440,0.000
120,39.317,59.629,130.390,130.390,0.000,59.629,0.000,123.995,6.395,0.000
121,39.695,95.422,129.501,129.500,0.000,95.422,0.000,123.149,6.352,0.000
122,40.073,78.009,128.642,128.641,0.000,78.009,0.000,122.332,6.309,0.000
123,40.451,126.887,127.811,127.810,0.000,126.887,0.000,121.542,6.269,0.000
124,40.829,87.902,127.007,127.005,0.000,87.902,0.000,120.777,6.229,0.000
125,41.207,70.895,126.224,126.223,0.000,70.895,0.000,120.034,6.191,0.000
126,41.585,88.751,125.460,125.458,0.000,88.751,0.000,119.307,6.153,0.000
127,41.963,98.748,124.709,124.706,0.000,98.748,0.000,118.593,6.116,0.000
128,42.341,115.813,123.965,123.960,0.000,115.813,0.000,117.885,6.080,0.000
129,42.719,123.219,123.220,123.214,0.000,123.219,0.000,117.177,6.043,0.000
130,43.097,140.568,122.468,122.459,0.000,140.568,0.000,116.462,6.006,0.000
131,43.475,76.833,121.701,121.689,0.000,76.833,0.000,115.732,5.968,0.000
132,43.853,129.887,120.910,120.894,0.000,129.887,0.000,114.981,5.930,0.000
133,44.231,105.843,120.087,120.066,0.000,105.843,0.000,114.198,5.889,0.000
134,44.609,138.383,119.224,119.196,0.000,138.383,0.000,113.378,5.846,0.000
135,44.987,135.223,118.313,118.277,0.000,135.223,0.000,112.512,5.801,0.000
136,45.365,108.885,117.347,117.300,0.000,108.885,0.000,111.594,5.753,0.000
137,45.743,100.982,116.319,116.258,0.000,100.982,0.000,110.617,5.702,0.000
138,46.122,114.215,115.224,115.146,0.000,114.215,0.000,109.576,5.648,0.000
139,46.500,138.469,114.057,113.958,0.000,138.469,0.000,108.467,5.590,0.000
140,46.878,99.743,112.815,112.692,0.000,99.743,0.000,107.288,5.527,0.000
141,47.256,110.842,111.498,111.344,0.000,110.842,0.000,106.036,5.461,0.000
142,47.634,160.346,110.104,109.913,0.000,160.346,0.000,104.713,5.391,0.000
143,48.013,127.845,110.578,110.343,0.000,127.845,0.000,105.165,5.413,0.000
144,48.391,123.964,110.980,110.693,0.000,123.964,0.000,105.550,5.430,0.000
145,48.769,134.082,111.315,110.967,0.000,134.082,0.000,105.871,5.444,0.000
146,49.147,167.392,111.589,111.170,0.000,167.392,0.000,106.135,5.454,0.000
147,49.526,134.671,111.808,111.307,0.000,134.671,0.000,106.347,5.461,0.000
148,49.904,158.983,111.980,111.386,0.000,158.983,0.000,106.514,5.465,0.000
149,50.283,161.109,112.113,111.413,0.000,161.109,0.000,106.646,5.467,0.000
150,50.661,132.820,112.217,111.397,0.000,132.820,0.000,106.749,5.467,0.000
151,51.039,128.274,112.299,111.346,0.000,128.274,0.000,106.833,5.465,0.000
152,51.418,185.966,112.368,111.268,0.000,185.966,0.000,106.906,5.462,0.000
153,51.796,177.828,112.434,111.172,0.000,177.828,0.000,106.975,5.459,0.000
154,52.175,177.644,112.504,111.065,0.000,177.644,0.000,107.049,5.455,0.000
155,52.553,166.764,112.585,110.955,0.000,166.764,0.000,107.134,5.451,0.000
156,52.931,180.924,112.683,110.849,0.000,180.924,0.000,107.236,5.447,0.000
157,53.310,183.599,112.804,110.753,0.000,183.599,0.000,107.360,5.445,0.000
158,53.688,150.490,112.953,110.672,0.000,150.490,0.000,107.511,5.443,0.000
159,54.067,177.499,113.134,110.613,0.000,177.499,0.000,107.691,5.443,0.000
160,54.445,160.424,113.348,110.578,0.000,160.424,0.000,107.904,5.444,0.000
161,54.824,187.457,113.597,110.571,0.000,187.457,0.000,108.151,5.447,0.000
162,55.203,181.185,113.883,110.594,0.000,181.185,0.000,108.432,5.452,0.000
163,55.581,165.207,114.206,110.650,0.000,165.207,0.000,108.747,5.459,0.000
164,55.960,204.100,114.563,110.740,0.000,204.100,0.000,109.096,5.468,0.000
165,56.338,137.476,114.956,110.865,0.000,137.476,0.000,109.477,5.479,0.000
166,56.717,122.881,115.381,111.024,0.000,122.881,0.000,109.888,5.492,0.000
167,57.096,141.186,115.837,111.217,0.000,141.186,0.000,110.329,5.508,0.000
168,57.474,223.132,116.322,111.445,0.000,223.132,0.000,110.796,5.526,0.000
169,57.853,208.794,116.834,111.705,0.000,208.794,0.000,111.288,5.546,0.000
170,58.232,159.173,117.371,111.998,0.000,159.173,0.000,111.802,5.568,0.000
171,58.610,142.795,117.930,112.321,0.000,142.795,0.000,112.337,5.592,0.000
172,58.989,147.503,118.510,112.673,0.000,147.503,0.000,112.891,5.618,0.000
173,59.368,238.858,119.109,113.052,0.000,238.858,0.000,113.463,5.646,0.000
174,59.747,177.395,119.726,113.456,0.000,177.395,0.000,114.050,5.675,0.000
175,60.125,220.217,120.360,113.884,0.000,220.217,0.000,114.653,5.706,0.000
176,60.504,232.322,121.011,114.334,0.000,232.322,0.000,115.272,5.739,0.000
177,60.883,176.871,121.679,114.804,0.000,176.871,0.000,115.906,5.773,0.000
178,61.262,168.417,122.364,115.292,0.000,168.417,0.000,116.556,5.808,0.000
179,61.641,146.503,123.067,115.796,0.000,146.503,0.000,117.224,5.843,0.000
180,62.020,189.466,123.791,116.315,0.000,189.466,0.000,117.911,5.880,0.000
181,62.398,189.016,124.537,116.847,0.000,189.016,0.000,118.620,5.918,0.000
182,62.777,167.576,125.309,117.390,0.000,167.576,0.000,119.353,5.956,0.000
183,63.156,200.799,126.109,117.944,0.000,200.799,0.000,120.115,5.994,0.000
184,63.535,206.261,126.944,118.506,0.000,206.261,0.000,120.911,6.033,0.000
185,63.914,212.080,127.817,119.076,0.000,212.080,0.000,121.744,6.072,0.000
186,64.293,213.056,128.734,119.652,0.000,213.056,0.000,122.623,6.112,0.000
187,64.672,187.086,129.704,120.233,0.000,187.086,0.000,123.552,6.152,0.000
188,65.051,190.047,130.732,120.820,0.000,190.047,0.000,124.540,6.191,0.000
189,65.430,204.460,131.828,121.410,0.000,204.460,0.000,125.596,6.231,0.000
190,65.809,208.223,133.000,122.003,0.000,208.223,0.000,126.729,6.271,0.000
191,66.188,209.459,134.259,122.599,0.000,209.459,0.000,127.948,6.312,0.000
192,66.567,216.721,135.616,123.197,0.000,216.721,0.000,129.264,6.352,0.000
193,66.946,198.986,137.080,123.797,0.000,198.986,0.000,130.687,6.393,0.000
194,67.325,209.378,138.663,124.398,0.000,209.378,0.000,132.229,6.434,0.000
195,67.704,238.437,140.377,125.000,0.000,238.437,0.000,133.902,6.475,0.000
196,68.084,211.988,142.232,125.604,0.000,211.988,0.000,135.715,6.518,0.000
197,68.463,231.754,144.240,126.207,0.000,231.754,0.000,137.679,6.560,0.000
198,68.842,227.972,146.408,126.812,0.000,227.972,0.000,139.804,6.604,0.000
199,69.221,196.826,148.747,127.416,0.000,196.826,0.000,142.098,6.649,0.000
200,69.600,234.825,151.263,128.021,0.000,234.825,0.000,144.567,6.696,0.000
201,69.979,258.961,153.960,128.627,0.000,258.961,0.000,147.217,6.743,0.000
202,70.359,225.502,156.841,129.232,0.000,225.502,0.000,150.048,6.793,0.000
203,70.738,229.885,159.906,129.838,0.000,229.885,0.000,153.061,6.845,0.000
204,71.117,213.664,163.152,130.443,0.000,213.664,0.000,156.252,6.899,0.000
205,71.496,274.958,166.570,131.049,0.000,274.958,0.000,159.614,6.957,0.000
206,71.876,297.348,170.152,131.655,0.000,297.348,0.000,163.135,7.017,0.000
207,72.255,263.912,173.882,132.260,0.000,263.912,0.000,166.802,7.080,0.000
208,72.634,285.421,177.742,132.866,0.000,285.421,0.000,170.595,7.147,0.000
209,73.014,177.895,181.710,133.472,0.000,177.895,0.000,174.492,7.219,0.000
210,73.393,283.551,185.761,134.078,0.000,283.551,0.000,178.466,7.295,0.000
211,73.772,281.088,189.863,134.684,0.000,281.088,0.000,182.488,7.375,0.000
212,74.152,294.375,193.986,135.290,0.000,294.375,0.000,186.525,7.461,0.000
213,74.531,290.300,198.094,135.895,0.000,290.300,0.000,190.541,7.552,0.000
214,74.911,340.173,202.148,136.501,0.000,340.173,0.000,194.499,7.650,0.000
215,75.290,292.247,206.112,137.107,0.000,292.247,0.000,198.359,7.753,0.000
216,75.669,355.490,209.943,137.713,0.000,355.490,0.000,202.081,7.863,0.000
217,76.049,393.137,213.605,138.319,0.000,393.137,0.000,205.626,7.979,0.000
218,76.428,324.902,217.056,138.925,0.000,324.902,0.000,208.954,8.102,0.000
219,76.808,293.707,220.262,139.531,0.000,293.707,0.000,212.030,8.232,0.000
220,77.187,301.551,223.187,140.136,0.000,301.551,0.000,214.818,8.369,0.000
221,77.567,284.302,225.801,140.742,0.000,284.302,0.000,217.288,8.513,0.000
222,77.946,306.642,228.078,141.348,0.000,306.642,0.000,219.414,8.664,0.000
223,78.326,255.049,229.996,141.954,0.000,255.049,0.000,221.175,8.821,0.000
224,78.706,336.056,231.539,142.560,0.000,336.056,0.000,222.555,8.984,0.000
225,79.085,292.207,232.697,143.166,0.000,292.207,0.000,223.544,9.153,0.000
