spectrum,part,chi2ndf_a,chi2ndf_b,tail_b,placement,grey_below_a,grey_below_b,grey_b_zero,missing_a,missing_b,shares_a_to_b
AS80_Cs137_0cm,known,3.9706,3.9706,85288.1,layer,381434.7,0.0,1,4.228,4.228,"Cs-137 94.804->99.642"
ASN16_Lu176,known,3.7535,3.7535,135548.0,layer,283605.5,0.0,1,6.285,6.285,"Lu-176 90.993->94.370; Xray-Lu 2.112->5.319; pile-up 0.305->0.310"
ASN16_Lu176_P0,known,0.4089,0.4089,1053.9,layer,2312.3,0.0,1,13.285,13.285,"Lu-176 93.320->99.952"
G1S16_Co57_P5,known,1.0076,1.0076,330.0,layer,978.1,0.0,1,20.875,20.875,"Co-57 85.608->97.752"
G1S16_Co60_P5,known,9.6069,9.6069,4809.4,layer,153633.6,0.0,1,5.305,5.305,"Co-60 94.598->100.000"
G1S16_Cs137_P5,known,8.2573,8.2573,1.7,layer,263155.9,0.0,1,3.990,3.990,"Cs-137 94.561->99.893; pile-up 0.102->0.107"
G1S16_Eu152_P25,known,3.4288,3.4288,1.2,layer,65764.3,0.0,1,4.696,4.696,"Eu-152 92.377->99.998"
G1S16_Eu152_P5,known,13.9796,13.9796,0.5,layer,324127.3,0.0,1,7.093,7.093,"Eu-152 93.435->99.997"
G1S16_Mn54_P25,known,1.5796,1.5796,92.8,layer,13544.8,0.0,1,3.291,3.291,"Mn-54 92.633->99.994"
G1S16_Mn54_P5,known,2.8640,2.8640,30750.5,layer,45963.0,0.0,1,3.471,3.471,"Mn-54 92.805->99.933"
G1S16_Y88_P5,known,1.3388,1.3388,348.1,layer,2846.4,0.0,1,6.445,6.445,"Ann-511 1.511->1.594; Y-88 92.833->98.406"
G1S24_Y88_P5,known,8.1913,8.1913,33357.9,layer,231753.4,0.0,1,3.289,3.289,"Ann-511 1.290->1.362; Y-88 92.883->98.638"
G1S24_Zn65_P5,known,1.0691,1.0691,34.7,layer,1522.0,0.0,1,7.594,7.594,"Ann-511 7.327->7.716; Zn-65 87.452->92.073"
свод: спектров в обоих плечах 59, χ²/ndf сдвинулся у 0 (ожидание 0); спектров с хвостом у Б 13; χ²/ndf сдвинулся у 0; серый слой ниже порога у Б нулевой у 13 из 13; «не описано» то же у 13 из 13
