spectrum,part,component,share_a,share_b,delta,grey_below_a,grey_pct_a,grey_pct_b,tail_b
AS80_Cs137_0cm,known,Cs-137,94.804,99.642,+4.838,381434.7,5.196,0.358,85288.1
AS80_Lu176,known,Lu-176,94.667,99.369,+4.702,40971.9,5.333,0.631,
AS80_Th232Medal,known,Ac-228,35.521,37.967,+2.446,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Bi-212,4.822,5.086,+0.264,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Pb-212,15.721,17.071,+1.350,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Ra-224,1.256,1.368,+0.112,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Rn-220,0.039,0.041,+0.002,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Th-228,0.174,0.188,+0.014,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Tl-208,28.672,30.421,+1.749,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Xray-Pb,5.901,6.172,+0.271,1576513.1,6.356,0.000,
AS80_Th232Medal,known,Xray-Th,1.528,1.674,+0.146,1576513.1,6.356,0.000,
ASN16_Lu176,known,Lu-176,90.993,94.370,+3.377,283605.5,6.590,0.000,
ASN16_Lu176,known,Xray-Lu,2.112,5.319,+3.207,283605.5,6.590,0.000,135548.0
ASN16_Lu176,known,pile-up,0.305,0.310,+0.005,283605.5,6.590,0.000,
ASN16_Lu176_P0,known,Lu-176,93.320,99.952,+6.632,2312.3,6.680,0.048,1053.9
G1S16_Am241_P25,known,Am-241,96.481,99.975,+3.494,3217.0,3.519,0.025,
G1S16_Am241_P5,known,Am-241,97.900,99.874,+1.974,12733.7,2.100,0.126,
G1S16_Ba133_P25,known,Ba-133,97.403,99.995,+2.592,9546.6,2.597,0.005,
G1S16_Ba133_P5,known,Ba-133,98.176,99.990,+1.814,82727.8,1.824,0.010,
G1S16_Cd109_P25,known,Cd-109,92.652,99.777,+7.125,1152.2,7.348,0.223,
G1S16_Cd109_P5,known,Cd-109,95.908,99.878,+3.970,8844.8,4.092,0.122,
G1S16_Ce139_P25,known,Ce-139,93.720,99.384,+5.664,1062.0,6.280,0.616,
G1S16_Ce139_P5,known,Ce-139,93.120,99.687,+6.567,15870.5,6.880,0.313,
G1S16_Co57_P5,known,Co-57,85.608,97.752,+12.144,978.1,14.392,2.248,330.0
G1S16_Co60_P25,known,Co-60,94.993,99.999,+5.006,21505.7,5.007,0.000,
G1S16_Co60_P5,known,Co-60,94.598,100.000,+5.402,153633.6,5.402,0.000,4809.4
G1S16_Cs137_P25,known,Cs-137,94.972,99.999,+5.027,22759.0,5.028,0.000,
G1S16_Cs137_P5,known,Cs-137,94.561,99.893,+5.332,263155.9,5.337,0.000,1.7
G1S16_Cs137_P5,known,pile-up,0.102,0.107,+0.005,263155.9,5.337,0.000,
G1S16_Eu152_P25,known,Eu-152,92.377,99.998,+7.621,65764.3,7.623,0.000,1.2
G1S16_Eu152_P5,known,Eu-152,93.435,99.997,+6.562,324127.3,6.565,0.000,0.5
G1S16_Mn54_P25,known,Mn-54,92.633,99.994,+7.361,13544.8,7.367,0.006,92.8
