spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S24_Cs137_P25,G1S24,known,3.1721,1.7810,1.004872,-0.647,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,2,39,47,,0,,17.2364,,13.820,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.953,"опор 2; усиление 1.00487, ноль -1.95 кэВ (-0.647 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.38 кэВ калибровки, свет -2.19 кэВ (по съёмке: опор 2 из 2 (35.2…662.0 кэВ), нуль света кан 0.76), растяжение 1.00028 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S24_Na22_P25,G1S24,known,6.2950,2.5090,0.998604,-1.376,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,5,63,63,,0,,17.6746,,5.999,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,-4.123,"опор 2; усиление 0.99860, ноль -4.12 кэВ (-1.376 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.46 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.00664 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S24_Th228_P25,G1S24,known,4.3815,2.0932,1.005860,-1.467,0,0,0,1,"НАЙДЕНА, применена",1,1,1,15,8,124,125,,0,,8.3644,,7.492,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,7,-4.421,"опор 7; усиление 1.00586, ноль -4.42 кэВ (-1.467 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -3.44 кэВ калибровки, свет -5.85 кэВ (по съёмке: опор 4 из 12 (80.2…584.6 кэВ), нуль света кан 2.02), растяжение 0.99908 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S24_Y88_P25,G1S24,known,2.0815,1.4427,1.004946,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,10,5,78,78,,0,,2.3636,,5.660,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,2,2,0.000,"опор 2; усиление 1.00495, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.60 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00141 по 1836.1 кэВ",NaI:Tl,1.0000,line
G1S24_Am241_P5,G1S24,known,5.8363,2.4158,0.891821,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,4,3,27,16,,0,,302.3724,,29.980,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.89182, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -14.71 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 1, нехватка), растяжение 1.24707 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S24_Ba133_P5,G1S24,known,17.4241,4.1742,1.000435,-0.681,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,3,76,63,,0,,614.2488,,26.840,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-2.014,"опор 3; усиление 1.00043, ноль -2.01 кэВ (-0.681 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.40 кэВ калибровки, свет -2.36 кэВ (по съёмке: опор 4 из 6 (32.4…358.1 кэВ), нуль света кан 0.84), растяжение 1.01047 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S24_Bi207_P5,G1S24,known,23.3207,4.8291,0.994348,-0.225,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,8,99,109,,0,,278.0833,,13.702,sample,"распад 1, атомных 2, линий 20; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1770, DE-1770, SE-1460, DE-1460",1,0,0,2,4,-0.657,"опор 4; усиление 0.99435, ноль -0.66 кэВ (-0.225 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 1.27 кэВ калибровки, свет -5.04 кэВ (по съёмке: опор 2 из 4 (77.1…570.8 кэВ), нуль света кан 1.74), растяжение 0.99644 по 1770.2 кэВ",NaI:Tl,1.0000,line
G1S24_Cd109_P5,G1S24,known,3.2101,1.7917,0.999093,-0.508,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,30,31,,0,,18.3984,,54.387,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.524,"опор 2; усиление 0.99909, ноль -1.52 кэВ (-0.508 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.70 кэВ калибровки, свет -1.66 кэВ (по съёмке: опор 2 из 2 (24.0…91.7 кэВ), нуль света кан 0.61), растяжение 1.05622 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S24_Co60_P5,G1S24,known,11.8924,3.4485,1.003065,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,7,67,63,,0,,103.3189,,13.973,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00307, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 5.17 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 0.99612 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S24_Cs137_P5,G1S24,known,13.9477,3.7347,0.998213,-0.597,0,0,0,1,"НАЙДЕНА, применена",1,1,1,7,2,38,31,,0,,193.3743,,19.037,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.743,"опор 2; усиление 0.99821, ноль -1.74 кэВ (-0.597 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.95 кэВ калибровки, свет -2.34 кэВ (по съёмке: опор 2 из 2 (34.5…662.0 кэВ), нуль света кан 0.81), растяжение 1.00092 по 661.7 кэВ",NaI:Tl,1.0000,line
