True coincidence factor calculation results.

Decay branch(es):
 Eu-152   EC  Sm-152 (13.5077 y) - 72.08%
Eu-152   B-  Gd-152 (13.5077 y) - 27.92%

Date: 15/09/2026
Time: 18:21:18

Calculation settings:
cp.xrays = true
cp.annihilation = true
cp.angular = true
cp.angle_optimize = false
cp.calc_full_eff = false
cp.calc_spectrum = false
cp.calc_coincidence = true
cp.calc_scattered = true
cp.calc_effc = false
cp.calc_electron_ttb = true
cp.threads_number = 1

DetectorType = SCINTILLATOR
DS_CrystalDiameter = 6.3 cm
DS_CrystalHeight = 6.3 cm
DS_CrystalFrontReflectorThickness = 0.13 cm
DS_CrystalSideReflectorThickness = 0.1 cm
DS_CrystalFrontCladdingThickness = 0.18 cm
DS_CrystalSideCladdingThickness = 0.2 cm
DS_DetectorFrontPackagingThickness = 0 cm
DS_DetectorSidePackagingThickness = 0 cm
DS_DetectorFrontCapThickness = 0 cm
DS_DetectorSideCapThickness = 0 cm
DS_DetectorMountingThickness = 0.2 cm

DS_nCrystalElements = 2
DS_ZCrystal[0] = 11
DS_ZCrystal[1] = 53
DS_FractionTypeCrystal = MASS
DS_FractionsCrystal[0] = 0.153373
DS_FractionsCrystal[1] = 0.846627
DS_RoCrystal = 3.667
DS_nCrystalCladdingElements = 1
DS_ZCrystalCladding[0] = 13
DS_FractionTypeCrystalCladding = MASS
DS_FractionsCrystalCladding[0] = 1
DS_RoCrystalCladding = 2.7
DS_nCrystalReflectorElements = 2
DS_ZCrystalReflector[0] = 6
DS_ZCrystalReflector[1] = 9
DS_FractionTypeReflector = MASS
DS_FractionsCrystalReflector[0] = 0.240183
DS_FractionsCrystalReflector[1] = 0.759817
DS_RoCrystalReflector = 2.25
DS_nDetectorCapElements = 1
DS_ZDetectorCap[0] = 13
DS_FractionTypeDetectorCap = MASS
DS_FractionsDetectorCap[0] = 1
DS_RoDetectorCap = 2.7
DS_nDetectorPackagingElements = 1
DS_ZDetectorPackaging[0] = 13
DS_FractionTypeDetectorPackaging = MASS
DS_FractionsDetectorPackaging[0] = 1
DS_RoDetectorPackaging = 2.7

SourceType = POINT
pdistance = 5 cm
prho = 0 cm


Number of simulated decays: 20000000

Results:
-----------------------------------------------------------------------------------
##	E, MeV	I	dI(%)	CF	dCF(%)	Eff	dEff(%)	Areas	AreasCoi
-----------------------------------------------------------------------------------
1	0.039097	5.4244e-05	3.0000	2.25581	43.82	4.471e-02	20.80	48.50	21.50
2	0.039522	2.1376e-01	3.0000	1.08631	0.36	3.799e-02	0.25	162400.00	149497.50
3	0.040118	3.8734e-01	3.0000	1.08386	0.27	3.824e-02	0.18	296248.00	273328.00
4	0.041864	7.5780e-07	3.0000	0.00000	0.00	0.000e+00	0.00	0.00	2.00
5	0.042309	2.4737e-03	3.0000	1.02576	3.21	3.984e-02	2.26	1971.00	1921.50
6	0.042996	4.4582e-03	3.0000	1.04385	2.36	4.138e-02	1.65	3689.50	3534.50
7	0.045294	3.7850e-02	3.0000	1.08991	0.81	4.230e-02	0.56	32021.50	29380.00
8	0.045414	7.3290e-02	3.0000	1.08902	0.58	4.262e-02	0.40	62468.50	57362.00
9	0.045741	1.0849e-03	3.0000	1.05941	4.79	4.150e-02	3.34	900.50	850.00
10	0.046578	2.4189e-02	3.0000	1.09059	1.00	4.364e-02	0.69	21111.00	19357.50
11	0.046705	9.1612e-03	3.0000	1.09760	1.63	4.287e-02	1.13	7855.50	7157.00
12	0.048551	4.4213e-04	3.0000	1.03841	7.24	4.433e-02	5.07	392.00	377.50
13	0.048695	8.5564e-04	3.0000	0.94709	5.22	4.184e-02	3.74	716.00	756.00
14	0.049038	1.3476e-05	3.0000	0.68571	41.66	4.452e-02	32.27	12.00	17.50
15	0.049959	2.8614e-04	3.0000	1.06379	9.02	4.517e-02	6.28	258.50	243.00
16	0.050099	1.1076e-04	3.0000	0.96610	15.23	3.860e-02	10.86	85.50	88.50
17	0.118970	5.3181e-06	20.0036	5.00000	526.12	2.350e-02	163.71	2.50	0.00
18	0.121782	2.8531e-01	0.5320	1.08691	0.26	5.523e-02	0.18	315145.00	289945.00
19	0.125680	5.1319e-05	3.6467	1.02247	21.44	4.433e-02	14.95	45.50	44.50
20	0.137560	7.4453e-06	17.8612	1.70588	49.20	9.738e-02	26.93	14.50	8.50
21	0.148000	2.0475e-04	5.2086	1.11719	9.94	5.238e-02	6.84	214.50	192.00
22	0.150130	9.0407e-06	8.8317	1.05556	54.48	5.254e-02	36.08	9.50	9.00
23	0.172100	4.2546e-06	50.0000	0.83333	119.44	2.938e-02	87.18	2.50	3.00
24	0.174800	1.3827e-05	13.4615	1.39130	43.54	5.786e-02	27.24	16.00	11.50
