node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,6.658,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,6.866,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,9.969,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,10.330,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,11.136,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,11.846,0,0,0.000,0,0.000,0.57487684950645979,0.0677271480945763,0.010728562481944466,0.012364328035971229,0.57469364304849269,0.066791955940641565,0.010496086819317622,0.012138810143851753,1.1677883420715803E-29,1.1974143257989541E-29,3000000
6,6.590,3000000,100.000,12.547,0,0,0.000,0,0.000,0.57401399185853419,0.060627486820228609,0.00662922276863672,0.014022431844347108,0.57558725789118181,0.063424910738083054,0.0065803356854251911,0.013905596393386111,2.9722764698929731E-26,3.0320406227430526E-26,3000000
7,6.900,3000000,100.000,13.440,0,0,0.000,0,0.000,0.54222389817636585,0.0087161354144032963,0.028012180091022448,0.055017273061523854,0.542926931566168,0.0098962164536015376,0.027734210121169372,0.054438219230962467,2.2840230159761783E-23,2.3164907801491954E-23,3000000
8,7.098,3000000,100.000,14.775,0,0,0.000,0,0.000,0.56923869088747581,0.065162833455636573,0.0057849793233386692,0.0087702163173848519,0.56888238989842976,0.065043383349683778,0.0057269986748436563,0.0086917109127284016,7.4875294592737055E-22,7.5913543749645366E-22,3000000
9,7.126,3000000,100.000,14.485,0,0,0.000,0,0.000,0.56771722022345172,0.051504432449805244,0.00793928089606867,0.013399800996851662,0.56716064218757589,0.050596088219809217,0.0078784712479202674,0.013267632669606027,2.6841473340035146E-22,2.7204533820489909E-22,3000000
10,7.225,3000000,100.000,14.594,0,0,0.000,0,0.000,0.56841267656071881,0.062791711721175369,0.0080810383568157632,0.013991503077758172,0.56783447854163682,0.061961148617079659,0.0079921802066866641,0.013812372018390298,1.2958230551387286E-21,1.3154145598112017E-21,3000000
11,7.566,3000000,100.000,15.094,0,0,0.000,0,0.000,0.55216355061250155,0.029591565507127205,0.007219503265217724,0.011889241463203718,0.5513390355899549,0.028044319287665744,0.0071703417488793129,0.011819542292700587,2.1137655469051522E-19,2.1342683361239627E-19,3000000
12,7.922,3000000,100.000,14.531,0,0,0.000,0,0.000,0.5607869849054995,0.051322419374171875,0.0063520404863310126,0.010867785998671322,0.5617515364278951,0.052433416155073527,0.0062879014208487424,0.010769906902041397,1.7549799443484083E-17,1.7799347245942271E-17,3000000
13,8.295,3000000,100.000,15.142,0,0,0.000,0,0.000,0.56118615958690055,0.058408916479590338,0.0076440307989897715,0.011346308523240544,0.56062661842629979,0.058166066185054995,0.0076023210508693161,0.011273301564219722,9.36909312758142E-16,9.4457485655665311E-16,3000000
14,8.686,3000000,100.000,15.735,0,0,0.000,0,0.000,0.54337805918458948,0.04633227201600601,0.0053206129586600634,0.0086202487398477842,0.543592657124658,0.04640231386578697,0.0052917175259848447,0.0085618130976347351,3.1188307597779943E-14,3.1570841797391507E-14,3000000
