node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,6.385,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,6.800,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,12.455,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,12.194,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,12.524,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,12.706,0,0,0.000,0,0.000,0.57639485624218179,0.056620290565590474,0.0046096341943003081,0.0083314650530104169,0.57648327138233568,0.056230979520107506,0.0045532626218745724,0.0082292999987895535,2.3171782055403216E-29,2.3623059292828317E-29,3000000
6,6.590,3000000,100.000,12.968,0,0,0.000,0,0.000,0.56350357999419043,0.055824245558898943,0.01342001854615062,0.012721606071064135,0.563832519217585,0.055973018974322948,0.013177941610579226,0.012508651059513523,5.759150033800317E-26,5.87184683666012E-26,3000000
7,6.900,3000000,100.000,14.600,0,0,0.000,0,0.000,0.56841552208160406,0.062009355093636982,0.0071222526577087667,0.0097136935104091219,0.56847689282229008,0.061986557759041244,0.00699817518328491,0.0095527623121082934,3.90021737321573E-23,3.9758641952472281E-23,3000000
8,7.098,3000000,100.000,15.395,0,0,0.000,0,0.000,0.57640701004829975,0.077315454662883573,0.0043156228507993727,0.0086258623047200129,0.57633941809824618,0.077175001564928944,0.0042595040967188932,0.0085095328000030536,1.4630346033748405E-21,1.4857172088808649E-21,3000000
9,7.126,3000000,100.000,15.493,0,0,0.000,0,0.000,0.56568235360075569,0.04968963749384276,0.0056976880168238819,0.0099049551398847167,0.56563172299803643,0.049511862880185858,0.0056479505116873926,0.0098264379379984935,5.1393442909443581E-22,5.2060488213450514E-22,3000000
10,7.225,3000000,100.000,15.396,0,0,0.000,0,0.000,0.56126558817182415,0.047075971673613812,0.0055383211617108345,0.0092625371004721613,0.56064524869421717,0.046049600466528867,0.0054908496928315941,0.00918208764726939,2.6676349265385236E-21,2.7022421925497091E-21,3000000
11,7.566,3000000,100.000,16.681,0,0,0.000,0,0.000,0.561973919969837,0.045410458056959722,0.0048313062730502686,0.0080899583426407452,0.56158135905081363,0.045261460229027835,0.0048222275812285723,0.0080821212642096536,4.0531892031433519E-19,4.0993882430538E-19,3000000
12,7.922,3000000,100.000,16.768,0,0,0.000,0,0.000,0.55858286767868792,0.0576384601202065,0.0047002692737348022,0.0078398243315330081,0.5586306522667841,0.057405346716086811,0.0046602095538380989,0.0077820876927457419,3.4476181576795909E-17,3.48745295705721E-17,3000000
13,8.295,3000000,100.000,17.538,0,0,0.000,0,0.000,0.55761200654610465,0.05313287610333297,0.0040621776750139034,0.0066308707711518018,0.55692337545324655,0.052187912144172656,0.0040395133181355819,0.0065873634379598782,1.9253150713703524E-15,1.9467654362571421E-15,3000000
14,8.686,3000000,100.000,18.469,0,0,0.000,0,0.000,0.54965611678373683,0.050279112082554311,0.0037992176439452774,0.0062941890998127279,0.54991983463419569,0.050923253135108579,0.0037784155803233,0.0062579308065082821,6.226298132225525E-14,6.2911708669750913E-14,3000000
15,9.095,3000000,100.000,19.507,0,0,0.000,0,0.000,0.54593953131187645,0.055814744432948336,0.003442692088464584,0.0054520483165234413,0.54587995534505751,0.055437152412488207,0.003416520404185254,0.0054061120610768123,1.3437000185843719E-12,1.3599623728301414E-12,3000000
16,9.523,3000000,100.000,20.705,0,0,0.000,0,0.000,0.53189737638181678,0.048244927672471058,0.00642030618410152,0.0062770410096572478,0.53161678417660752,0.0478476876373188,0.0063566891008283175,0.00622086748827989,2.1441478765366833E-11,2.1670869793450803E-11,3000000
17,9.972,3000000,100.000,20.830,0,0,0.000,0,0.000,0.546305064299682,0.0770284261250145,0.011852318818969306,0.022694873981616293,0.546493539150653,0.077316301578160593,0.011742091322288593,0.022484055843968606,2.4941994236065993E-10,2.517239887457897E-10,3000000
