node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,11.806,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,11.980,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,13.351,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,13.462,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,13.435,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,13.436,0,0,0.000,0,0.000,0.58895327594351743,0.07213139295475951,0.011563607126839952,0.020435855750560967,0.591174570438391,0.074532173889858069,0.011448539857895531,0.020367871403090702,3.7634337709605816E-30,3.8826518151274681E-30,3000000
6,6.590,3000000,100.000,13.998,0,0,0.000,0,0.000,0.5208884288125557,-0.0039049213597297482,0.036465382549939376,0.032147656874802366,0.52376948196255646,0.00066650698271407947,0.036028555719300859,0.031964249530097862,1.0662432543910953E-26,1.0859460622333448E-26,3000000
7,6.900,3000000,100.000,14.743,0,0,0.000,0,0.000,0.56850512404099007,0.050188167872077749,0.0067570775236586757,0.011616764352853519,0.56870368887878364,0.050506034049889459,0.0067003163430650993,0.011527692661958827,6.4232118177288812E-24,6.4947302398667166E-24,3000000
8,7.225,3000000,100.000,14.982,0,0,0.000,0,0.000,0.80148364201575673,0.41493317703761584,2.5982413200835716E-05,4.0286838883017535E-05,0.80148329210948477,0.41493266138928664,2.6332239714162641E-05,4.0802212569339416E-05,1.8450445544552531E-17,1.8450468563009966E-17,3000000
9,7.566,3000000,100.000,15.476,0,0,0.000,0,0.000,0.55870106073738268,0.04224019078327429,0.0052787650118611253,0.0088147184898156178,0.55924190640262184,0.042715803750504218,0.0052274091985146376,0.0087593494622482532,3.1765638318198473E-19,3.2309126864827036E-19,3000000
