node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,14.058,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,14.516,0,0,0.000,0,0.000,0.98280287928757759,0.94365909063008147,0.0061728026528393935,0.020091776999190458,0.98280287928757759,0.94365909063008147,0.0061728026528393935,0.020091776999190458,7.9687617509807E-34,7.9687617509807E-34,3000000
2,5.482,3000000,100.000,15.043,0,0,0.000,0,0.000,0.94709426807011277,0.83835646993741675,0.013812319030776942,0.039188361453025275,0.94737977377364413,0.83909126797503963,0.013560260858358795,0.038473619637152116,6.7553520180470514E-30,6.8884636532068177E-30,3000000
3,5.740,3000000,100.000,14.431,0,0,0.000,0,0.000,0.94986203213783338,0.866247787651465,0.050935492140334764,0.13149296305489075,0.94990425152069224,0.86631656122441014,0.050800523591325,0.13116068000384873,2.9885281466809552E-26,2.9954463022244109E-26,3000000
4,6.011,3000000,100.000,14.236,0,0,0.000,0,0.000,0.9674863218230576,0.8979710535657992,0.015815099307933532,0.049430557117301141,0.96753581924845855,0.89811170621223746,0.015699437294089652,0.049069418762170462,4.0358020268780815E-24,4.0653586658495017E-24,3000000
5,6.294,3000000,100.000,14.132,0,0,0.000,0,0.000,0.90828833686044541,0.73168103822787089,0.021121004349680162,0.057994723368179846,0.90956033837431882,0.7352603286500653,0.020891830767548178,0.057449419613260784,4.203302111583162E-22,4.2823427576976232E-22,3000000
6,6.590,3000000,100.000,14.146,0,0,0.000,0,0.000,0.950997246685292,0.85406015503121313,0.014042007979030279,0.038349417303573829,0.95128633829133724,0.85480425402579463,0.013839906463858702,0.037796708513869931,3.02880457479385E-20,3.0746200533627253E-20,3000000
7,6.900,3000000,100.000,14.699,0,0,0.000,0,0.000,0.95122748866719431,0.87770814677322584,0.011834301883018003,0.018993962502300184,0.92778345056807332,0.8095063712049273,0.023811064703523736,0.063913966928666147,1.751756591002995E-18,2.0161899313304289E-18,3000000
8,7.225,3000000,100.000,14.839,0,0,0.000,0,0.000,0.95966528386947769,0.88019006711284875,0.011056476793409504,0.029242208368721979,0.95996589648877706,0.88097896564358624,0.010873081288093672,0.028757667710930707,5.8768894501669657E-17,5.9808484761949691E-17,3000000
9,7.566,3000000,100.000,14.992,0,0,0.000,0,0.000,0.93399113529204869,0.81378225281724825,0.014597737887015698,0.03631054719947726,0.934332419637355,0.814544974271432,0.014393194200084584,0.03579971349149981,1.7152728241585937E-15,1.741152483969642E-15,3000000
10,7.922,3000000,100.000,16.400,0,0,0.000,0,0.000,0.90812250794620131,0.75635618058132037,0.042381482971442987,0.098776927526145031,0.90810012638505433,0.75702702858822224,0.04217272912227759,0.098354188765784209,2.9589776139510151E-14,2.9735930112301452E-14,3000000
11,8.295,3000000,100.000,16.077,0,0,0.000,0,0.000,0.92708449437482265,0.797962133950746,0.016104622240823502,0.041261693746578329,0.92627361843755662,0.79601823931015114,0.015852305357931092,0.040595013453569952,3.04030353286729E-13,3.0941191716908931E-13,3000000
12,8.686,3000000,100.000,16.170,0,0,0.000,0,0.000,0.93241566142576549,0.806837164470309,0.012661757638583697,0.0323132412271564,0.9325832493635553,0.80717519032329388,0.012489356907208775,0.031879144398599291,3.1074050125309324E-12,3.1546439800130334E-12,3000000
13,9.095,3000000,100.000,16.995,0,0,0.000,0,0.000,0.9555922366836237,0.87567048330029751,0.0074422661110072237,0.017262572690369748,0.95574586911894388,0.875975591379265,0.0073692493019045339,0.017093424650985241,1.7084767936412652E-11,1.7259902081447262E-11,3000000
14,9.523,3000000,100.000,15.829,0,0,0.000,0,0.000,0.95593192665603355,0.868917672637409,0.0045546717898301654,0.012523811436485508,0.95609334310397831,0.86931043341015546,0.00450668756785825,0.012392338479335886,1.1102396905458037E-10,1.1230086237804869E-10,3000000
15,9.972,3000000,100.000,16.805,0,0,0.000,0,0.000,0.93039818028242427,0.80878718469411148,0.0082548275451921581,0.020695387392039112,0.9307916651895336,0.809743981379238,0.0081798303376376339,0.020509910871300763,5.60530475485968E-10,5.6647269155649749E-10,3000000
16,10.441,3000000,100.000,16.849,0,0,0.000,0,0.000,0.931041672783371,0.80765532617136027,0.0088011588506265465,0.022391989132186815,0.93132972758766086,0.80849047173912447,0.0087290096432702542,0.022213168020961668,2.1693662204262305E-09,2.1897179661767749E-09,3000000
