contact52k__AS80_p67_contact_r28__asis                   код 0       4 с  chi2/ndf 12.130, невязка модели 19.3 %, суммирование да
contact52k__AS80_p67_contact_r28__noeqasis               код 0       7 с  chi2/ndf 10.238, невязка модели 12.7 %, суммирование да
contact52k__AS80_p67_contact_r28__eq                     код 0      10 с  chi2/ndf 6.202, невязка модели 17.7 %, суммирование да
contact_cal0809__AS80_p67_contact_r28__asis              код 0      13 с  chi2/ndf 1.456, невязка модели 9.0 %, суммирование да
contact_cal0809__AS80_p67_contact_r28__noeqasis          код 0      16 с  chi2/ndf 1.334, невязка модели 7.4 %, суммирование да
contact_cal0809__AS80_p67_contact_r28__eq                код 0      20 с  chi2/ndf 1.448, невязка модели 8.6 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r28__asis           код 0      23 с  chi2/ndf 3.054, невязка модели 25.9 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r28__noeqasis       код 0      26 с  chi2/ndf 2.745, невязка модели 24.7 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r28__eq             код 0      29 с  chi2/ndf 1.625, невязка модели 22.8 %, суммирование да
edge93__AS80_p67_edge93_r28__asis                        код 0      32 с  chi2/ndf 1.137, невязка модели 6.3 %, суммирование да
edge93__AS80_p67_edge93_r28__noeqasis                    код 0      35 с  chi2/ndf 1.138, невязка модели 6.3 %, суммирование да
edge93__AS80_p67_edge93_r28__eq                          код 0      38 с  chi2/ndf 1.184, невязка модели 54.2 %, суммирование да
edge93_s1__AS80_p67_edge93_r28__asis                     код 0      41 с  chi2/ndf 4.253, невязка модели 64.0 %, суммирование да
edge93_s1__AS80_p67_edge93_r28__noeqasis                 код 0      44 с  chi2/ndf 4.219, невязка модели 64.1 %, суммирование да
edge93_s1__AS80_p67_edge93_r28__eq                       код 0      47 с  chi2/ndf 1.410, невязка модели 54.4 %, суммирование да
edge1709__AS80_p67_edge93_r28__asis                      код 0      50 с  chi2/ndf 1.480, невязка модели 7.0 %, суммирование да
edge1709__AS80_p67_edge93_r28__noeqasis                  код 0      54 с  chi2/ndf 1.519, невязка модели 7.1 %, суммирование да
edge1709__AS80_p67_edge93_r28__eq                        код 0      57 с  chi2/ndf 1.454, невязка модели 6.7 %, суммирование да
edge1709_s1__AS80_p67_edge93_r28__asis                   код 0      59 с  chi2/ndf 7.519, невязка модели 47.5 %, суммирование да
edge1709_s1__AS80_p67_edge93_r28__noeqasis               код 0      62 с  chi2/ndf 7.399, невязка модели 47.6 %, суммирование да
edge1709_s1__AS80_p67_edge93_r28__eq                     код 0      65 с  chi2/ndf 1.668, невязка модели 8.2 %, суммирование да
contact52k__AS80_p67_contact_r33__asis                   код 0      68 с  chi2/ndf 12.887, невязка модели 20.4 %, суммирование да
contact52k__AS80_p67_contact_r33__noeqasis               код 0      71 с  chi2/ndf 11.233, невязка модели 15.0 %, суммирование да
contact52k__AS80_p67_contact_r33__eq                     код 0      75 с  chi2/ndf 6.833, невязка модели 18.8 %, суммирование да
contact_cal0809__AS80_p67_contact_r33__asis              код 0      78 с  chi2/ndf 1.724, невязка модели 13.4 %, суммирование да
contact_cal0809__AS80_p67_contact_r33__noeqasis          код 0      81 с  chi2/ndf 1.526, невязка модели 10.8 %, суммирование да
contact_cal0809__AS80_p67_contact_r33__eq                код 0      84 с  chi2/ndf 1.759, невязка модели 13.5 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r33__asis           код 0      87 с  chi2/ndf 3.272, невязка модели 27.5 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r33__noeqasis       код 0      90 с  chi2/ndf 3.059, невязка модели 26.5 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r33__eq             код 0      93 с  chi2/ndf 1.897, невязка модели 24.9 %, суммирование да
edge93__AS80_p67_edge93_r33__asis                        код 0      97 с  chi2/ndf 1.180, невязка модели 7.5 %, суммирование да
edge93__AS80_p67_edge93_r33__noeqasis                    код 0     100 с  chi2/ndf 1.160, невязка модели 7.0 %, суммирование да
edge93__AS80_p67_edge93_r33__eq                          код 0     103 с  chi2/ndf 1.233, невязка модели 54.3 %, суммирование да
edge93_s1__AS80_p67_edge93_r33__asis                     код 0     105 с  chi2/ndf 4.350, невязка модели 64.1 %, суммирование да
edge93_s1__AS80_p67_edge93_r33__noeqasis                 код 0     109 с  chi2/ndf 4.281, невязка модели 64.2 %, суммирование да
