spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact52k,contact,3.3,Al1.0,asis,783.797,236.801,58.0483,18.8375,783.797,783.797,783.797,58.0483,58.0483,12.8909,98.2847,0.204156,-0.0311411,-0.040555,-0.0980674,-0.145471,-0.0586733,33.0716,1.02981,-0.630715,-1093.54,4891.77,17.3072,52742.3,contact52k__AS80_p88_contact_r33_al__asis
contact52k,contact,2.8,Fe1.0,asis,766.907,255.392,57.3043,19.5693,766.907,766.907,766.907,57.3043,57.3043,12.13,87.5655,0.192569,-0.0264561,-0.0412933,-0.103582,-0.14898,-0.0547549,33.5836,1.0298,-1.65448,-1015.89,4505.13,17.1489,52742.3,contact52k__AS80_p67_contact_r28__asis
contact52k,contact,3.3,Fe1.0,asis,783.663,236.661,59.0876,19.1558,783.663,783.663,783.663,59.0876,59.0876,12.8868,97.9477,0.203802,-0.0313041,-0.0403703,-0.0965259,-0.144493,-0.0567033,32.7452,1.02976,-0.545694,-806.477,5118.33,17.2954,52742.3,contact52k__AS80_p67_contact_r33__asis
contact52k,contact,3.8,Fe1.0,asis,804.659,213.871,55.4639,17.5873,804.659,804.659,804.659,55.4639,55.4639,13.2398,102.217,0.208243,-0.0322303,-0.0397854,-0.0946148,-0.135517,-0.0417812,31.9135,1.03056,-9.05217,-778.004,5042.46,17.3193,52742.3,contact52k__AS80_p67_contact_r38__asis
contact52k,contact,4.2,Fe1.0,asis,816.55,203.868,55.1084,17.1028,816.55,816.55,816.55,55.1084,55.1084,13.43,104.532,0.210614,-0.0360871,-0.0408329,-0.0939539,-0.135246,-0.0374531,31.5152,1.03054,-8.94794,-634.648,4978.96,17.3866,52742.3,contact52k__AS80_p67_contact_r42__asis
contact52k,contact,4.345,Fe1.0,asis,841.69,190.093,55.3897,16.6842,841.69,841.69,841.69,55.3897,55.3897,13.7263,103.728,0.2098,-0.0479188,-0.0413831,-0.0893243,-0.122316,-0.00981872,31.6245,1.03038,-8.7824,-156.809,5559.26,17.5565,52742.3,contact52k__AS80_p67_contact_p13__asis
contact_cal0809,contact,3.3,Al1.0,asis,943.232,272.296,148.744,45.6351,943.232,943.232,943.232,148.744,148.744,1.71779,3.55447,0.133398,-0.00145312,0.0107754,0.00519944,0.0360257,0.0416498,10.4438,1.00675,-13.1643,-53.58,54.087,18.4474,3546.9,contact_cal0809__AS80_p88_contact_r33_al__asis
contact_cal0809,contact,2.8,Fe1.0,asis,914.449,302.703,148.333,50.2517,914.449,914.449,914.449,148.333,148.333,1.45589,2.16668,0.0901517,-3.48552e-05,0.0088576,-0.00315883,0.0225867,0.0451794,11.6909,1.00686,-11.0002,-66.647,21.799,18.3536,3546.9,contact_cal0809__AS80_p67_contact_r28__asis
contact_cal0809,contact,3.3,Fe1.0,asis,942.263,271.762,149.235,45.6599,942.263,942.263,942.263,149.235,149.235,1.72361,3.58877,0.134291,-0.00139264,0.010593,0.00603229,0.0364979,0.0444202,10.1247,1.00674,-13.1258,-28.388,68.398,18.4468,3546.9,contact_cal0809__AS80_p67_contact_r33__asis
contact_cal0809,contact,3.8,Fe1.0,asis,964.441,252.272,138.713,39.4413,964.441,964.441,964.441,138.713,138.713,1.95082,4.86995,0.164195,-0.0023382,0.00573159,0.00209803,0.0476076,0.0599941,9.44753,1.008,-26.9205,-8.896,69.329,18.5313,3546.9,contact_cal0809__AS80_p67_contact_r38__asis
contact_cal0809,contact,4.2,Fe1.0,asis,977.399,238.131,141.574,38.0567,977.399,977.399,977.399,141.574,141.574,2.12086,5.53407,0.177727,-0.00358634,0.00541497,0.00289723,0.0491094,0.0621456,8.97485,1.00799,-27.1713,-9.147,58.976,18.5335,3546.9,contact_cal0809__AS80_p67_contact_r42__asis
contact_cal0809,contact,4.345,Fe1.0,asis,1010.22,229.612,141.253,36.9899,1010.22,1010.22,1010.22,141.253,141.253,2.14661,5.69209,0.180765,-0.0256421,0.0095283,0.00870435,0.0661581,0.0925126,8.8144,1.00792,-27.485,34.764,72.359,18.6931,3546.9,contact_cal0809__AS80_p67_contact_p13__asis
contact_cal0809_s1,contact,3.3,Al1.0,asis,912.897,188.642,130.275,30.5922,912.897,912.897,912.897,130.275,130.275,3.26859,12.3133,0.274555,-0.0118337,-0.00400835,-0.0206835,-0.0518461,-0.0229143,14.3443,1.00431,-3.22581,2590.66,-4467.31,36.1729,3546.9,contact_cal0809_s1__AS80_p88_contact_r33_al__asis
