спектр               геом        ρ кольцо пл       |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль |    r1394    r1461  b1-2M
contact52k           contact  3.30 Al1.0  asis     |    783.8  236.8     58.0   18.8 |  12.891  98.28  20.4% |   -3.1%   -4.1%   -9.8%  -14.5%   -5.9% |  33.1% |  1.0298   -0.63 |    -1094     4892  17.3%
contact52k           contact  2.80 Fe1.0  asis     |    766.9  255.4     57.3   19.6 |  12.130  87.57  19.3% |   -2.6%   -4.1%  -10.4%  -14.9%   -5.5% |  33.6% |  1.0298   -1.65 |    -1016     4505  17.1%
contact52k           contact  3.30 Fe1.0  asis     |    783.7  236.7     59.1   19.2 |  12.887  97.95  20.4% |   -3.1%   -4.0%   -9.7%  -14.4%   -5.7% |  32.7% |  1.0298   -0.55 |     -806     5118  17.3%
contact52k           contact  3.80 Fe1.0  asis     |    804.7  213.9     55.5   17.6 |  13.240 102.22  20.8% |   -3.2%   -4.0%   -9.5%  -13.6%   -4.2% |  31.9% |  1.0306   -9.05 |     -778     5042  17.3%
contact52k           contact  4.20 Fe1.0  asis     |    816.6  203.9     55.1   17.1 |  13.430 104.53  21.1% |   -3.6%   -4.1%   -9.4%  -13.5%   -3.7% |  31.5% |  1.0305   -8.95 |     -635     4979  17.4%
contact52k           contact  4.34 Fe1.0  asis     |    841.7  190.1     55.4   16.7 |  13.726 103.73  21.0% |   -4.8%   -4.1%   -8.9%  -12.2%   -1.0% |  31.6% |  1.0304   -8.78 |     -157     5559  17.6%
contact_cal0809      contact  3.30 Al1.0  asis     |    943.2  272.3    148.7   45.6 |   1.718   3.55  13.3% |   -0.1%   +1.1%   +0.5%   +3.6%   +4.2% |  10.4% |  1.0067  -13.16 |      -54       54  18.4%
contact_cal0809      contact  2.80 Fe1.0  asis     |    914.4  302.7    148.3   50.3 |   1.456   2.17   9.0% |   -0.0%   +0.9%   -0.3%   +2.3%   +4.5% |  11.7% |  1.0069  -11.00 |      -67       22  18.4%
contact_cal0809      contact  3.30 Fe1.0  asis     |    942.3  271.8    149.2   45.7 |   1.724   3.59  13.4% |   -0.1%   +1.1%   +0.6%   +3.6%   +4.4% |  10.1% |  1.0067  -13.13 |      -28       68  18.4%
contact_cal0809      contact  3.80 Fe1.0  asis     |    964.4  252.3    138.7   39.4 |   1.951   4.87  16.4% |   -0.2%   +0.6%   +0.2%   +4.8%   +6.0% |   9.4% |  1.0080  -26.92 |       -9       69  18.5%
contact_cal0809      contact  4.20 Fe1.0  asis     |    977.4  238.1    141.6   38.1 |   2.121   5.53  17.8% |   -0.4%   +0.5%   +0.3%   +4.9%   +6.2% |   9.0% |  1.0080  -27.17 |       -9       59  18.5%
