spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact52k,contact,3.3,Al1.0,asis,783.797,236.801,58.0483,18.8375,783.797,783.797,783.797,58.0483,58.0483,12.8909,98.2847,0.204156,-0.0311411,-0.040555,-0.0980674,-0.145471,-0.0586733,33.0716,1.02981,-0.630715,-1093.54,4891.77,17.3072,52742.3,contact52k__AS80_p88_contact_r33_al__asis
contact52k,contact,2.8,Fe1.0,asis,766.907,255.392,57.3043,19.5693,766.907,766.907,766.907,57.3043,57.3043,12.13,87.5655,0.192569,-0.0264561,-0.0412933,-0.103582,-0.14898,-0.0547549,33.5836,1.0298,-1.65448,-1015.89,4505.13,17.1489,52742.3,contact52k__AS80_p67_contact_r28__asis
contact52k,contact,3.3,Fe1.0,asis,783.663,236.661,59.0876,19.1558,783.663,783.663,783.663,59.0876,59.0876,12.8868,97.9477,0.203802,-0.0313041,-0.0403703,-0.0965259,-0.144493,-0.0567033,32.7452,1.02976,-0.545694,-806.477,5118.33,17.2954,52742.3,contact52k__AS80_p67_contact_r33__asis
contact52k,contact,3.8,Fe1.0,asis,804.659,213.871,55.4639,17.5873,804.659,804.659,804.659,55.4639,55.4639,13.2398,102.217,0.208243,-0.0322303,-0.0397854,-0.0946148,-0.135517,-0.0417812,31.9135,1.03056,-9.05217,-778.004,5042.46,17.3193,52742.3,contact52k__AS80_p67_contact_r38__asis
contact52k,contact,4.2,Fe1.0,asis,816.55,203.868,55.1084,17.1028,816.55,816.55,816.55,55.1084,55.1084,13.43,104.532,0.210614,-0.0360871,-0.0408329,-0.0939539,-0.135246,-0.0374531,31.5152,1.03054,-8.94794,-634.648,4978.96,17.3866,52742.3,contact52k__AS80_p67_contact_r42__asis
contact52k,contact,4.345,Fe1.0,asis,841.69,190.093,55.3897,16.6842,841.69,841.69,841.69,55.3897,55.3897,13.7263,103.728,0.2098,-0.0479188,-0.0413831,-0.0893243,-0.122316,-0.00981872,31.6245,1.03038,-8.7824,-156.809,5559.26,17.5565,52742.3,contact52k__AS80_p67_contact_p13__asis
contact_cal0809,contact,3.3,Al1.0,asis,912.897,188.642,130.275,30.5922,912.897,912.897,912.897,130.275,130.275,3.26859,12.3133,0.274555,-0.0118337,-0.00400835,-0.0206835,-0.0518461,-0.0229143,14.3443,1.00431,-3.22581,2590.66,-4467.31,36.1729,3546.9,contact_cal0809__AS80_p88_contact_r33_al__asis
contact_cal0809,contact,2.8,Fe1.0,asis,894.034,203.504,115.989,27.3797,894.034,894.034,894.034,115.989,115.989,3.05448,11.0398,0.258624,0.000982412,-0.0134039,-0.0321282,-0.0628937,-0.0199428,15.5708,1.00434,0,2600.46,-4503.71,35.9507,3546.9,contact_cal0809__AS80_p67_contact_r28__asis
contact_cal0809,contact,3.3,Fe1.0,asis,911.549,188.36,131.272,30.7684,911.549,911.549,911.549,131.272,131.272,3.27177,12.3508,0.275009,-0.0120444,-0.00406317,-0.0197855,-0.0513249,-0.0207045,14.0289,1.00426,-3.18372,2612.63,-4454.84,36.1985,3546.9,contact_cal0809__AS80_p67_contact_r33__asis
contact_cal0809,contact,3.8,Fe1.0,asis,927.498,180.883,123.017,27.7632,927.498,927.498,927.498,123.017,123.017,3.46411,13.5555,0.289239,-0.0166183,-0.00605457,-0.0243223,-0.0444388,-0.0038483,13.839,1.00235,11.5977,2637.64,-4441.68,36.3026,3546.9,contact_cal0809__AS80_p67_contact_r38__asis
contact_cal0809,contact,4.2,Fe1.0,asis,934.934,171.836,115.264,25.0618,934.934,934.934,934.934,115.264,115.264,3.66977,14.2753,0.297432,-0.0186857,-0.0127955,-0.0297489,-0.0501881,-0.00396311,14.2009,1.00682,-16.8663,2645.52,-4451.22,36.4392,3546.9,contact_cal0809__AS80_p67_contact_r42__asis
contact_cal0809,contact,4.345,Fe1.0,asis,953.896,172.79,114.375,24.3754,953.896,953.896,953.896,114.375,114.375,3.70397,14.5596,0.300616,-0.0445483,-0.0121512,-0.0289487,-0.0405678,0.0212409,14.8837,1.00677,-17.0513,2717.83,-4418.23,36.5998,3546.9,contact_cal0809__AS80_p67_contact_p13__asis
contact_cal0809_bg0,contact,3.3,Al1.0,asis,914.157,203.016,137.601,33.0306,914.157,914.157,914.157,137.601,137.601,2.81485,5.40525,0.17509,-0.0117075,-0.000475893,-0.0152183,-0.0456434,-0.0349434,13.6782,1.00429,-3.27045,-582.511,180.356,27.3274,3546.9,contact_cal0809_bg0__AS80_p88_contact_r33_al__asis
