spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact52k,contact,3.3,Al1.0,noeqasis,,,,,665.26,899.353,839.748,118.295,,11.205,53.2855,0.149637,0.0122013,-0.0452231,-0.0862451,-0.172308,-0.0129346,34.6442,1.02821,2.93364,401.908,6000.65,16.9135,52742.3,contact52k__AS80_p88_contact_r33_al__noeqasis
contact52k,contact,2.8,Fe1.0,noeqasis,,,204.113,8.8258,667.967,863.855,832.748,121.737,,10.2378,38.7768,0.127174,0.00621949,-0.0423429,-0.0880626,-0.171146,-0.00164934,34.5554,1.02924,0,172.18,5507.91,16.9772,52742.3,contact52k__AS80_p67_contact_r28__noeqasis
contact52k,contact,3.3,Fe1.0,noeqasis,,,,,662.93,898.084,836.718,118.211,,11.2331,53.8455,0.150437,0.012229,-0.0460035,-0.0858304,-0.172647,-0.0130181,34.5668,1.02838,2.90851,671.614,6205.14,16.9918,52742.3,contact52k__AS80_p67_contact_r33__noeqasis
contact52k,contact,3.8,Fe1.0,noeqasis,,,,,668.219,910.778,844.052,129.091,,11.6918,64.8527,0.165375,0.00321307,-0.0484931,-0.088776,-0.172254,-0.00848319,34.6544,1.02976,-2.91359,446.403,5946.4,17.1271,52742.3,contact52k__AS80_p67_contact_r38__noeqasis
contact52k,contact,4.2,Fe1.0,noeqasis,,,,,671.722,931.326,848.452,130.86,,11.8835,70.3654,0.172367,0.000179447,-0.0505681,-0.0909506,-0.173742,-0.0101085,34.5691,1.02979,-2.90327,437.919,5762.53,17.0601,52742.3,contact52k__AS80_p67_contact_r42__noeqasis
contact52k,contact,4.345,Fe1.0,noeqasis,,,,,666.107,1001.43,840.565,132.519,,12.0789,75.2888,0.178381,0.00167488,-0.0571207,-0.0993196,-0.173967,-0.00420808,35.8221,1.02972,-3.12736,740.572,6196.15,17.0379,52742.3,contact52k__AS80_p67_contact_p13__noeqasis
contact_cal0809,contact,3.3,Al1.0,noeqasis,,,656.105,11.4879,750.551,1017.82,893.63,192.751,54.4814,3.05442,11.5395,0.2649,0.017554,-0.00547817,-0.0482244,-0.123211,-0.0423805,20.5755,1.00498,0,2651.28,-4631.89,34.3255,3546.9,contact_cal0809__AS80_p88_contact_r33_al__noeqasis
contact_cal0809,contact,2.8,Fe1.0,noeqasis,,,631.205,12.4308,750.93,966.868,885.749,175.604,54.4794,2.74452,10.1937,0.247395,0.013761,-0.00988773,-0.049671,-0.121812,-0.027681,20.6467,1.00423,0,2667.03,-4642.05,34.1789,3546.9,contact_cal0809__AS80_p67_contact_r28__noeqasis
contact_cal0809,contact,3.3,Fe1.0,noeqasis,,,652.817,11.4052,749.247,1017.38,890.892,193.795,55.8592,3.05895,11.5678,0.265256,0.0176147,-0.00543965,-0.0477249,-0.122886,-0.0416808,20.3123,1.00498,0,2673.29,-4618.59,34.3564,3546.9,contact_cal0809__AS80_p67_contact_r33__noeqasis
contact_cal0809,contact,3.8,Fe1.0,noeqasis,,,,,744.532,1012.17,898.808,187.203,45.5739,3.30878,12.9763,0.282403,0.023775,-0.0172302,-0.0532942,-0.125536,-0.0333294,21.7554,1.00589,-11.2483,2677.71,-4621.97,34.2714,3546.9,contact_cal0809__AS80_p67_contact_r38__noeqasis
