keV,response
0.000,2.14000000E-005
1.000,7.06500000E-005
2.000,8.23500000E-005
3.000,8.15500000E-005
4.000,8.25000000E-005
5.000,9.16500000E-005
6.000,9.65000000E-005
7.000,1.00450000E-004
8.000,9.65500000E-005
9.000,9.96000000E-005
10.000,9.60000000E-005
11.000,9.87500000E-005
12.000,9.79000000E-005
13.000,9.37500000E-005
14.000,9.42500000E-005
15.000,9.86000000E-005
16.000,9.37500000E-005
17.000,9.83000000E-005
18.000,9.82500000E-005
19.000,9.68500000E-005
20.000,9.70500000E-005
21.000,1.00100000E-004
22.000,9.92000000E-005
23.000,1.00000000E-004
24.000,9.88000000E-005
25.000,9.88500000E-005
26.000,1.01400000E-004
27.000,9.65500000E-005
28.000,9.55000000E-005
29.000,9.32000000E-005
30.000,9.54000000E-005
31.000,9.20000000E-005
32.000,9.22000000E-005
33.000,9.82000000E-005
34.000,9.33500000E-005
35.000,9.76500000E-005
36.000,9.86500000E-005
37.000,9.85500000E-005
38.000,9.48000000E-005
39.000,1.00150000E-004
40.000,9.85500000E-005
41.000,9.47500000E-005
42.000,9.66500000E-005
43.000,9.52500000E-005
44.000,9.73000000E-005
45.000,9.30500000E-005
46.000,9.81500000E-005
47.000,1.00350000E-004
48.000,9.76500000E-005
49.000,9.43500000E-005
50.000,9.50000000E-005
51.000,9.55500000E-005
52.000,9.57500000E-005
53.000,9.13000000E-005
54.000,9.26000000E-005
55.000,9.25500000E-005
56.000,9.41000000E-005
57.000,9.50000000E-005
58.000,9.28500000E-005
59.000,8.77000000E-005
60.000,9.31500000E-005
61.000,9.62000000E-005
62.000,9.42000000E-005
63.000,9.23000000E-005
64.000,9.14500000E-005
65.000,8.71500000E-005
66.000,9.30500000E-005
67.000,9.18500000E-005
68.000,9.07500000E-005
69.000,9.40000000E-005
70.000,9.26500000E-005
71.000,9.19500000E-005
72.000,9.39000000E-005
73.000,9.00500000E-005
74.000,8.81500000E-005
75.000,9.11500000E-005
76.000,8.95000000E-005
77.000,8.99500000E-005
78.000,8.86000000E-005
79.000,8.83500000E-005
80.000,9.06000000E-005
81.000,9.02500000E-005
82.000,8.77000000E-005
83.000,9.13000000E-005
84.000,8.98000000E-005
85.000,9.24500000E-005
86.000,8.99500000E-005
87.000,8.94000000E-005
88.000,8.92000000E-005
89.000,8.92500000E-005
90.000,8.94000000E-005
91.000,8.78000000E-005
92.000,8.88500000E-005
93.000,8.86000000E-005
94.000,8.65000000E-005
95.000,9.35000000E-005
96.000,8.97500000E-005
97.000,8.58000000E-005
98.000,8.63000000E-005
99.000,8.58000000E-005
100.000,9.45000000E-005
101.000,8.87500000E-005
102.000,8.81000000E-005
103.000,9.09500000E-005
104.000,9.12000000E-005
105.000,8.78500000E-005
106.000,8.57000000E-005
107.000,8.45000000E-005
108.000,8.69500000E-005
109.000,8.72000000E-005
110.000,8.64000000E-005
111.000,8.60000000E-005
112.000,8.87000000E-005
113.000,8.80500000E-005
114.000,8.52500000E-005
115.000,8.53000000E-005
116.000,8.69000000E-005
117.000,8.61000000E-005
118.000,8.59500000E-005
119.000,9.05000000E-005
120.000,8.69000000E-005
121.000,9.02500000E-005
122.000,8.78000000E-005
123.000,8.45000000E-005
124.000,8.77500000E-005
125.000,8.72500000E-005
126.000,8.34000000E-005
127.000,8.71000000E-005
128.000,8.46500000E-005
129.000,8.80500000E-005
130.000,8.67500000E-005
131.000,8.35500000E-005
132.000,8.57500000E-005
133.000,8.68000000E-005
134.000,9.00000000E-005
135.000,8.33000000E-005
136.000,8.61000000E-005
137.000,8.65500000E-005
138.000,8.66500000E-005
139.000,8.06500000E-005
140.000,8.71000000E-005
141.000,8.59000000E-005
142.000,8.10000000E-005
143.000,8.10000000E-005
144.000,8.27000000E-005
145.000,8.34500000E-005
146.000,8.51500000E-005
147.000,8.48000000E-005
148.000,8.64500000E-005
149.000,8.46500000E-005
150.000,8.27500000E-005
151.000,8.84500000E-005
152.000,8.31000000E-005
153.000,7.83500000E-005
154.000,8.58500000E-005
155.000,8.13000000E-005
156.000,8.25000000E-005
157.000,8.15500000E-005
158.000,8.41500000E-005
159.000,8.41500000E-005
160.000,8.19000000E-005
161.000,7.86500000E-005
162.000,8.22500000E-005
163.000,8.50500000E-005
164.000,8.02000000E-005
165.000,8.20500000E-005
166.000,8.53000000E-005
167.000,8.15500000E-005
168.000,8.19000000E-005
169.000,7.95000000E-005
170.000,8.44500000E-005
171.000,8.07500000E-005
172.000,8.16500000E-005
173.000,7.84500000E-005
174.000,8.63500000E-005
175.000,8.28500000E-005
176.000,7.84500000E-005
177.000,8.09000000E-005
178.000,7.78500000E-005
179.000,8.15500000E-005
180.000,8.08500000E-005
181.000,7.96000000E-005
182.000,8.10000000E-005
183.000,7.72000000E-005
184.000,7.62000000E-005
185.000,8.07000000E-005
186.000,7.98000000E-005
187.000,8.07500000E-005
188.000,7.92500000E-005
189.000,8.53000000E-005
190.000,8.26000000E-005
191.000,8.35000000E-005
192.000,8.59000000E-005
193.000,8.59500000E-005
194.000,8.33500000E-005
195.000,8.37500000E-005
196.000,8.58500000E-005
197.000,8.29500000E-005
198.000,8.59000000E-005
199.000,8.64500000E-005
200.000,8.45000000E-005
201.000,8.63500000E-005
202.000,8.57500000E-005
203.000,8.89500000E-005
204.000,8.94500000E-005
205.000,8.82000000E-005
206.000,8.72000000E-005
207.000,8.41000000E-005
208.000,8.27500000E-005
209.000,8.97500000E-005
210.000,8.40000000E-005
211.000,8.76500000E-005
212.000,8.64500000E-005
213.000,8.69000000E-005
214.000,8.97000000E-005
215.000,8.57500000E-005
216.000,8.71500000E-005
217.000,8.59500000E-005
218.000,8.46000000E-005
219.000,8.45000000E-005
220.000,8.82500000E-005
221.000,8.54500000E-005
222.000,8.60000000E-005
223.000,8.43000000E-005
224.000,8.43500000E-005
225.000,8.36500000E-005
226.000,8.88000000E-005
227.000,8.47000000E-005
228.000,8.36000000E-005
229.000,8.50000000E-005
230.000,8.66000000E-005
231.000,8.48000000E-005
232.000,8.73000000E-005
233.000,8.45500000E-005
234.000,8.37000000E-005
235.000,8.61000000E-005
236.000,8.12500000E-005
237.000,8.31000000E-005
238.000,8.34500000E-005
239.000,8.62000000E-005
240.000,8.73500000E-005
241.000,8.27500000E-005
242.000,8.45000000E-005
243.000,8.39500000E-005
244.000,8.46500000E-005
245.000,8.18000000E-005
246.000,8.36000000E-005
247.000,8.07000000E-005
248.000,7.80000000E-005
249.000,8.49500000E-005
250.000,8.25500000E-005
251.000,8.36000000E-005
252.000,8.03000000E-005
253.000,7.94500000E-005
254.000,8.07000000E-005
255.000,7.96000000E-005
256.000,8.11500000E-005
257.000,8.10500000E-005
258.000,7.72500000E-005
259.000,7.74500000E-005
260.000,8.29500000E-005
261.000,8.22000000E-005
262.000,8.02000000E-005
263.000,7.98500000E-005
264.000,7.94500000E-005
265.000,8.21500000E-005
266.000,8.00500000E-005
267.000,8.15500000E-005
268.000,7.97500000E-005
269.000,7.95500000E-005
270.000,8.06500000E-005
271.000,8.01500000E-005
272.000,8.24500000E-005
273.000,7.29000000E-005
274.000,7.77000000E-005
275.000,7.79000000E-005
276.000,7.84500000E-005
277.000,7.58500000E-005
278.000,7.79000000E-005
279.000,7.50000000E-005
280.000,7.87000000E-005
281.000,7.68000000E-005
282.000,7.60500000E-005
283.000,8.13500000E-005
284.000,7.42500000E-005
285.000,7.61000000E-005
286.000,7.76000000E-005
287.000,7.56500000E-005
288.000,7.92500000E-005
289.000,7.52000000E-005
290.000,7.95500000E-005
291.000,7.72000000E-005
292.000,7.71000000E-005
293.000,7.35000000E-005
294.000,7.37000000E-005
295.000,7.92500000E-005
296.000,7.47500000E-005
297.000,7.21000000E-005
298.000,7.60000000E-005
299.000,7.61000000E-005
300.000,7.35000000E-005
301.000,7.53000000E-005
302.000,7.62000000E-005
303.000,7.46000000E-005
304.000,7.85000000E-005
305.000,7.42500000E-005
306.000,7.28500000E-005
307.000,7.36500000E-005
308.000,7.22500000E-005
309.000,7.82500000E-005
310.000,7.49500000E-005
311.000,7.66000000E-005
312.000,7.52000000E-005
313.000,7.54500000E-005
314.000,7.46500000E-005
315.000,7.55500000E-005
316.000,7.54500000E-005
317.000,7.35000000E-005
318.000,7.68000000E-005
319.000,7.12500000E-005
320.000,7.52500000E-005
321.000,7.46500000E-005
322.000,7.44500000E-005
323.000,7.27500000E-005
324.000,7.46000000E-005
325.000,7.41500000E-005
326.000,7.17500000E-005
327.000,6.99500000E-005
328.000,7.39000000E-005
329.000,7.41500000E-005
330.000,7.43500000E-005
331.000,7.46000000E-005
332.000,7.28000000E-005
333.000,7.44500000E-005
334.000,7.39000000E-005
335.000,7.42500000E-005
336.000,7.37000000E-005
337.000,7.50000000E-005
338.000,7.28500000E-005
339.000,6.98500000E-005
340.000,7.68000000E-005
341.000,7.46000000E-005
342.000,7.31500000E-005
343.000,7.18000000E-005
344.000,6.97000000E-005
345.000,7.23500000E-005
346.000,7.72500000E-005
347.000,7.65500000E-005
348.000,7.30500000E-005
349.000,7.50000000E-005
350.000,7.35000000E-005
351.000,7.84500000E-005
352.000,7.48500000E-005
353.000,7.80000000E-005
354.000,7.08500000E-005
355.000,7.45000000E-005
356.000,7.62000000E-005
357.000,7.40500000E-005
358.000,7.46500000E-005
359.000,7.38000000E-005
360.000,7.34500000E-005
361.000,7.78500000E-005
362.000,7.63500000E-005
363.000,7.07500000E-005
364.000,7.12000000E-005
365.000,7.45500000E-005
366.000,7.54000000E-005
367.000,7.29000000E-005
368.000,7.50000000E-005
369.000,7.61000000E-005
370.000,7.66000000E-005
371.000,7.27500000E-005
372.000,7.37500000E-005
373.000,7.70500000E-005
374.000,7.33000000E-005
375.000,7.71000000E-005
376.000,7.57000000E-005
377.000,7.71500000E-005
378.000,7.51000000E-005
379.000,7.61000000E-005
380.000,7.34500000E-005
381.000,7.66000000E-005
382.000,7.43500000E-005
383.000,7.70500000E-005
384.000,7.70500000E-005
385.000,7.54000000E-005
386.000,7.80500000E-005
387.000,7.72500000E-005
388.000,7.48500000E-005
389.000,7.84500000E-005
390.000,7.29000000E-005
391.000,7.55000000E-005
392.000,7.87000000E-005
393.000,7.90000000E-005
394.000,7.38000000E-005
395.000,7.66000000E-005
396.000,7.47500000E-005
397.000,7.92000000E-005
398.000,7.72000000E-005
399.000,7.70000000E-005
400.000,7.99500000E-005
401.000,7.81000000E-005
402.000,7.98500000E-005
403.000,7.64000000E-005
404.000,7.91500000E-005
405.000,7.68000000E-005
406.000,8.31500000E-005
407.000,7.99000000E-005
408.000,8.03000000E-005
409.000,7.91000000E-005
410.000,7.81000000E-005
411.000,8.03000000E-005
412.000,8.12500000E-005
413.000,8.03000000E-005
414.000,7.60500000E-005
415.000,7.98500000E-005
416.000,8.16500000E-005
417.000,7.41500000E-005
418.000,8.19500000E-005
419.000,8.17000000E-005
420.000,8.17500000E-005
421.000,8.29500000E-005
422.000,7.98500000E-005
423.000,8.27500000E-005
424.000,7.86000000E-005
425.000,8.17500000E-005
426.000,8.92500000E-005
427.000,8.21500000E-005
428.000,8.19000000E-005
429.000,8.62500000E-005
430.000,7.66500000E-005
431.000,7.75500000E-005
432.000,8.56000000E-005
433.000,8.48000000E-005
434.000,8.35500000E-005
435.000,8.48500000E-005
436.000,8.29000000E-005
437.000,8.32000000E-005
438.000,8.82500000E-005
439.000,8.07500000E-005
440.000,8.51500000E-005
441.000,8.54500000E-005
442.000,8.69000000E-005
443.000,8.48000000E-005
444.000,9.13000000E-005
445.000,8.77500000E-005
446.000,8.76500000E-005
447.000,8.82000000E-005
448.000,8.59000000E-005
449.000,8.68500000E-005
450.000,8.44500000E-005
451.000,8.71500000E-005
452.000,8.74500000E-005
453.000,8.55500000E-005
454.000,8.88000000E-005
455.000,8.82500000E-005
456.000,9.05000000E-005
457.000,8.43500000E-005
458.000,8.71500000E-005
459.000,8.54500000E-005
460.000,8.98500000E-005
461.000,8.72000000E-005
462.000,9.08500000E-005
463.000,9.12500000E-005
464.000,9.05000000E-005
465.000,8.65500000E-005
466.000,8.58000000E-005
467.000,9.16500000E-005
468.000,8.94000000E-005
469.000,9.08500000E-005
470.000,8.77000000E-005
471.000,8.34500000E-005
472.000,8.30000000E-005
473.000,8.10500000E-005
474.000,8.03000000E-005
475.000,7.67500000E-005
476.000,7.60500000E-005
477.000,6.48500000E-005
478.000,5.46500000E-005
479.000,4.73500000E-005
480.000,4.47000000E-005
481.000,4.08500000E-005
482.000,3.46000000E-005
483.000,3.28500000E-005
484.000,3.37000000E-005
485.000,3.00500000E-005
486.000,2.82000000E-005
487.000,2.71000000E-005
488.000,2.67000000E-005
489.000,2.44500000E-005
490.000,2.45500000E-005
491.000,2.34500000E-005
492.000,2.47000000E-005
493.000,2.24000000E-005
494.000,2.02000000E-005
495.000,1.87500000E-005
496.000,1.94500000E-005
497.000,1.84500000E-005
498.000,1.82500000E-005
499.000,1.84000000E-005
500.000,1.73000000E-005
501.000,1.83000000E-005
502.000,1.63000000E-005
503.000,1.61000000E-005
504.000,1.75000000E-005
505.000,1.47500000E-005
506.000,1.47000000E-005
507.000,1.39000000E-005
508.000,1.48500000E-005
509.000,1.46500000E-005
510.000,1.34500000E-005
511.000,1.38000000E-005
512.000,1.22000000E-005
513.000,1.24000000E-005
514.000,1.32500000E-005
515.000,1.28000000E-005
516.000,1.14000000E-005
517.000,1.35000000E-005
518.000,1.14500000E-005
519.000,1.07500000E-005
520.000,1.04000000E-005
521.000,1.15500000E-005
522.000,1.06000000E-005
523.000,9.10000000E-006
524.000,1.00000000E-005
525.000,9.75000000E-006
526.000,9.70000000E-006
527.000,1.06000000E-005
528.000,8.50000000E-006
529.000,1.06500000E-005
530.000,9.10000000E-006
531.000,8.60000000E-006
532.000,9.00000000E-006
533.000,8.70000000E-006
534.000,7.95000000E-006
535.000,6.75000000E-006
536.000,8.45000000E-006
537.000,7.50000000E-006
538.000,7.15000000E-006
539.000,6.15000000E-006
540.000,7.10000000E-006
541.000,7.30000000E-006
542.000,6.70000000E-006
543.000,7.05000000E-006
544.000,6.50000000E-006
545.000,5.85000000E-006
546.000,6.40000000E-006
547.000,6.10000000E-006
548.000,5.10000000E-006
549.000,5.20000000E-006
550.000,5.65000000E-006
551.000,4.95000000E-006
552.000,5.25000000E-006
553.000,5.35000000E-006
554.000,4.85000000E-006
555.000,5.05000000E-006
556.000,5.25000000E-006
557.000,5.25000000E-006
