keV,response
0.000,3.75000000E-007
1.000,2.37500000E-006
2.000,3.87500000E-006
3.000,3.37500000E-006
4.000,5.12500000E-006
5.000,9.37500000E-006
6.000,1.21250000E-005
7.000,1.36250000E-005
8.000,1.23750000E-005
9.000,1.76250000E-005
10.000,1.46250000E-005
11.000,1.37500000E-005
12.000,1.50000000E-005
13.000,1.36250000E-005
14.000,1.47500000E-005
15.000,1.56250000E-005
16.000,1.72500000E-005
17.000,2.22500000E-005
18.000,3.37500000E-005
19.000,3.65000000E-005
20.000,3.62500000E-005
21.000,4.96250000E-005
22.000,4.98750000E-005
23.000,5.48750000E-005
24.000,2.85000000E-004
25.000,5.72500000E-005
26.000,6.48750000E-005
27.000,4.52875000E-004
28.000,7.11250000E-005
29.000,1.61937500E-003
30.000,3.60000000E-005
31.000,1.38700000E-003
32.000,8.75000000E-006
33.000,6.62500000E-006
34.000,8.12500000E-006
35.000,9.75000000E-006
36.000,6.87500000E-006
37.000,9.87500000E-006
38.000,9.12500000E-006
39.000,1.25000000E-005
40.000,1.41250000E-005
41.000,1.65000000E-005
42.000,2.23750000E-005
43.000,2.66250000E-005
44.000,2.71250000E-005
45.000,3.68750000E-005
46.000,4.12500000E-005
47.000,4.60000000E-005
48.000,6.98750000E-005
49.000,1.17375000E-004
50.000,1.56250000E-004
51.000,1.78375000E-004
52.000,2.03000000E-004
53.000,2.29375000E-004
54.000,2.53750000E-004
55.000,3.04000000E-004
56.000,3.89000000E-004
57.000,4.76625000E-004
58.000,4.89125000E-004
59.000,5.21250000E-004
60.000,2.10197736E-002
