keV,response
0.000,3.70000000E-006
1.000,2.83000000E-005
2.000,4.27000000E-005
3.000,5.06000000E-005
4.000,5.55000000E-005
5.000,8.44000000E-005
6.000,1.27500000E-004
7.000,1.33200000E-004
8.000,1.39200000E-004
9.000,1.50600000E-004
10.000,1.54800000E-004
11.000,1.37800000E-004
12.000,1.14700000E-004
13.000,1.08700000E-004
14.000,1.09700000E-004
15.000,1.17700000E-004
16.000,1.39500000E-004
17.000,1.56500000E-004
18.000,2.15700000E-004
19.000,2.67800000E-004
20.000,3.04700000E-004
21.000,3.48100000E-004
22.000,3.70600000E-004
23.000,3.69700000E-004
24.000,2.87100000E-003
25.000,3.59000000E-004
26.000,4.13500000E-004
27.000,4.64610000E-003
28.000,4.19200000E-004
29.000,1.76632000E-002
30.000,2.54000000E-004
31.000,1.48923000E-002
32.000,6.81000000E-005
33.000,6.78000000E-005
34.000,7.10000000E-005
35.000,6.50000000E-005
36.000,7.59000000E-005
37.000,8.58000000E-005
38.000,9.00000000E-005
39.000,9.07000000E-005
40.000,9.14000000E-005
41.000,1.06600000E-004
42.000,1.31000000E-004
43.000,1.53000000E-004
44.000,1.79900000E-004
45.000,1.80000000E-004
46.000,2.20700000E-004
47.000,2.92800000E-004
48.000,4.71100000E-004
49.000,8.92900000E-004
50.000,1.22000000E-003
51.000,1.35320000E-003
52.000,1.44960000E-003
53.000,1.50790000E-003
54.000,1.61290000E-003
55.000,1.91080000E-003
56.000,2.30830000E-003
57.000,2.87050000E-003
58.000,2.94670000E-003
59.000,2.87860000E-003
60.000,2.29358831E-001
