геометрия: AS80_th_disk: кристалл Sodium iodide цилиндр 80.00x80.00 мм, ро 3.667; источник — цилиндр D=40.0 H=5.0 на 0.0 мм, Ториевое стекло
грань: front, точка (0, 0, 0) см, нормаль наружу (0, 0, -1); N = 200000, зерно 20260917

ОБРАТНОЕ РАССЕЯНИЕ ОТ СЛОЁВ ОБВЯЗКИ (TransportInLayers, ключ ВКЛ): доля вернувшихся η, средняя энергия возврата ⟨T′⟩/T, средний |cos| угла возврата к нормали
  T, кэВ     θ°         η         ±    ⟨T′⟩/T   ⟨|cos|⟩
     100      0    0.1040    0.0007     0.516     0.709
     100     45    0.2371    0.0010     0.633     0.641
     300      0    0.0904    0.0006     0.472     0.713
     300     45    0.2209    0.0009     0.596     0.642
     500      0    0.0792    0.0006     0.440     0.716
     500     45    0.2094    0.0009     0.567     0.643
    1000      0    0.0563    0.0005     0.379     0.721
    1000     45    0.1802    0.0009     0.511     0.647
    2000      0    0.0243    0.0003     0.284     0.728
    2000     45    0.0988    0.0007     0.475     0.628
