геометрия: RC103_point0_p55: кристалл Cesium iodide брусок 10.0x10.0x10.0 мм, ро 4.510; источник — точка, 0.0 мм, Air, dry
грань: side, точка (0.5, 0, 0.5) см, нормаль наружу (1, 0, 0); N = 200000, зерно 20260917

ОБРАТНОЕ РАССЕЯНИЕ ОТ СЛОЁВ ОБВЯЗКИ (TransportInLayers, ключ ВКЛ): доля вернувшихся η, средняя энергия возврата ⟨T′⟩/T, средний |cos| угла возврата к нормали
  T, кэВ     θ°         η         ±    ⟨T′⟩/T   ⟨|cos|⟩
     100      0    0.0620    0.0005     0.461     0.720
     100     45    0.1889    0.0009     0.594     0.640
     100     70    0.4255    0.0011     0.741     0.499
     300      0    0.0544    0.0005     0.422     0.716
     300     45    0.1770    0.0009     0.557     0.638
     300     70    0.4152    0.0011     0.715     0.498
     500      0    0.0461    0.0005     0.389     0.719
     500     45    0.1651    0.0008     0.528     0.644
     500     70    0.4069    0.0011     0.694     0.495
    1000      0    0.0310    0.0004     0.335     0.725
    1000     45    0.1410    0.0008     0.473     0.647
    1000     70    0.3864    0.0011     0.652     0.491
