node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,5.264,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,5.540,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,8.424,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,8.486,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,8.375,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,8.602,0,0,0.000,0,0.000,0.51821126513128157,-0.1394471637678121,0.057780277808804993,0.09248790323351469,0.51821126513128157,-0.1394471637678121,0.057780277808804993,0.09248790323351469,1.0167008910345146E-34,1.0167008910345146E-34,3000000
6,6.590,3000000,100.000,8.698,0,0,0.000,0,0.000,0.31110331339621017,-0.12949976103752864,0.028411766335226758,0.032308568532246659,0.30983031839517688,-0.13098841966045693,0.027972443270644624,0.031798160050589004,7.3286533331666862E-29,7.4665833227911124E-29,3000000
7,6.900,3000000,100.000,8.972,0,0,0.000,0,0.000,0.30047636152814777,-0.12136868245990565,0.023867183694729694,0.023251068669980276,0.299009520577171,-0.12532520254353408,0.023528720805469361,0.022653783713063574,8.9745046980914861E-26,9.3339914010892662E-26,3000000
8,7.225,3000000,100.000,9.269,0,0,0.000,0,0.000,0.29790269165186,-0.13037419450489879,0.020170029284981458,0.020882419297507594,0.29656464667376392,-0.12994991890527208,0.0200277688351257,0.020666277449254825,3.833408514769355E-23,3.8956867904424457E-23,3000000
9,7.566,3000000,100.000,8.996,0,0,0.000,0,0.000,0.31304732806137692,-0.12688273262193256,0.017114731058004318,0.019149050023125506,0.31107854359505488,-0.12958911950462187,0.016884214841552517,0.019012133343787929,8.0181611387685557E-21,8.1793572819895225E-21,3000000
10,7.922,3000000,100.000,9.238,0,0,0.000,0,0.000,0.27910400204265162,-0.13908950116851551,0.014872661642918627,0.016024128583138883,0.27516498045734872,-0.14241190039099552,0.0147636058939009,0.015711226791877975,9.8282752768315884E-19,1.0023604468084388E-18,3000000
11,8.295,3000000,100.000,9.609,0,0,0.000,0,0.000,0.27540230456828146,-0.14276211624497209,0.012925374678254813,0.012090705896858457,0.27525496579871483,-0.14294262708325567,0.012855101578819476,0.012024282964871187,6.5979518158438756E-17,6.6369548399130189E-17,3000000
12,8.686,3000000,100.000,9.498,0,0,0.000,0,0.000,0.29281952751714896,-0.11343288809420893,0.012251716552945621,0.012500410914948914,0.2910229343123516,-0.11695984156764676,0.012083137873396748,0.012354639756641033,2.457608114493607E-15,2.4992032578199133E-15,3000000
13,9.095,3000000,100.000,10.110,0,0,0.000,0,0.000,0.030136467350283674,-0.20474067617444833,0.099339039124503,0.042936904177138441,0.031213173622799149,-0.20418685260610631,0.099556286659694723,0.043083186735316061,1.6013324982432676E-13,1.6080984461899247E-13,3000000
14,9.523,3000000,100.000,10.940,0,0,0.000,0,0.000,0.27304648448507374,-0.12314734809447685,0.014957840747521814,0.014698489380279277,0.27377500811071809,-0.12229825055559544,0.014870728153565617,0.014628563712416939,4.9049774892510736E-13,4.9399625593439483E-13,3000000
15,9.972,3000000,100.000,11.117,0,0,0.000,0,0.000,0.24900312996754506,-0.11091309668477907,0.013947420986789196,0.013534873368791448,0.24799474347319861,-0.11143815318239104,0.013889793863759572,0.013472797894007207,6.171820837427677E-12,6.2069932950037458E-12,3000000
16,10.441,3000000,100.000,11.518,0,0,0.000,0,0.000,0.27439180542584068,-0.079694386088145788,0.016846562772251703,0.014273738941868952,0.27408367439755982,-0.080437520702712137,0.01672395921939878,0.014167264885349584,4.2358380383585569E-11,4.273241033721524E-11,3000000
17,10.933,3000000,100.000,11.230,0,0,0.000,0,0.000,0.261270905655457,-0.07982983318610376,0.016488297927910057,0.015399243480545655,0.26008464354242256,-0.095811760850729608,0.015721446949583807,0.021358263341594987,2.5937550348896748E-10,2.7438062851611248E-10,3000000
18,11.448,3000000,100.000,14.118,0,0,0.000,0,0.000,0.27585084489551048,-0.036172080864836621,0.015154088246022121,0.013534353345185832,0.27717357745186383,-0.03472009235493298,0.015089491240937284,0.013453143927612545,1.6069287821291725E-09,1.6274590828811858E-09,3000000
19,11.987,3000000,100.000,14.018,0,0,0.000,0,0.000,0.21611998197541671,-0.079985350688418416,0.013365816152856872,0.010738571291663897,0.2154431275253724,-0.079688040511665517,0.013318274804746687,0.010698051072675413,8.07987321241965E-09,8.12501104582506E-09,3000000
20,12.552,3000000,100.000,11.975,0,0,0.000,0,0.000,0.24413781094403358,-0.061579583814556152,0.01263661802573246,0.01048168769940841,0.24483164963509577,-0.061571553526289624,0.012547086855643718,0.010405250996099666,3.2708006143750748E-08,3.3080634290347713E-08,3000000
21,13.143,3000000,100.000,11.570,1,0,100.000,0,0.000,0.22205872120050613,-0.05744668771520002,0.017041347712426758,0.010568333606331397,0.22352116309212905,-0.05724021511776687,0.016977021466077106,0.010525210347917389,1.1775563769458743E-07,1.1855756937713881E-07,3000000
22,13.762,3000000,100.000,15.174,2,0,100.000,0,0.000,0.22802282770586124,-0.040213039523972378,0.011987990303493467,0.0097142290636684312,0.22759674846040323,-0.040476577837133057,0.011934554677924872,0.0096707025899814489,3.4833035198273419E-07,3.5029279857481507E-07,3000000
23,14.410,3000000,100.000,12.510,2,0,100.000,0,0.000,0.23249971087898369,-0.025310210733203151,0.024702164469665361,0.010369224675373994,0.23276791670759786,-0.026149270450728224,0.024541996854694149,0.010324741409621243,1.0905594974998156E-06,1.0980037849098388E-06,3000000
24,15.089,3000000,100.000,12.085,11,0,100.000,0,0.000,0.24927566982801289,-0.015181684231387958,0.010921304890335033,0.00836798824676545,0.24991434625662023,-0.014693409916561002,0.010889062565964643,0.0083855897042525926,2.4395365662640896E-06,2.4539713901601751E-06,3000000
25,15.799,3000000,100.000,12.190,18,1,94.737,2,10.526,0.23726892172974892,-0.02548821637810254,0.009570856379932529,0.0084190156492424031,0.23864534146975327,-0.02486787531278923,0.00958639113068792,0.0083935971725504644,5.6454902470846689E-06,5.6920488406566886E-06,3000000
26,16.543,3000000,100.000,15.587,36,1,97.297,1,2.703,0.21948475103274365,-0.013630032235351504,0.00909988976153592,0.0078066647395408067,0.21985409710135864,-0.01324576878071629,0.009064115443110872,0.007776761644451036,1.2089150944606097E-05,1.2152188146768263E-05,3000000
27,17.323,3000000,100.000,13.116,63,2,96.923,3,4.615,0.22712825576959902,-0.012370164170397727,0.0076772255989064689,0.0061203999006623462,0.22728598047556198,-0.01281229414948298,0.0076391346054584443,0.0060946973308826308,2.2029716976736714E-05,2.2186941909146688E-05,3000000
28,18.138,3000000,100.000,13.853,130,1,99.237,3,2.290,0.23273667919032542,0.0079927693227450358,0.0064798211408913526,0.0054291939010646349,0.23340295442509618,0.00781191109554916,0.0064522870009668656,0.0054248677644097507,4.0479454742402191E-05,4.0837125645517383E-05,3000000
29,18.993,3000000,95.302,13.549,179,2,98.895,13,7.182,0.22083829381291686,0.0024406195100700528,0.005934203056088461,0.004895830835501493,0.220046429693718,0.0022417324323266105,0.0059422223404083764,0.0048905969615675267,6.9376029617154155E-05,6.9990817623150512E-05,3000000
30,19.887,3000000,97.476,17.127,330,4,98.802,21,6.287,0.21976857013683138,0.00059406603353471155,0.0054236927997157423,0.0045116355081115571,0.21863427569636895,0.00063721444892357061,0.0054185326401230052,0.0044879405353098348,0.00011652420960002752,0.00011741869666909015,3000000
