node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,6.423,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,6.709,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,9.766,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,9.857,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,11.134,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,11.910,0,0,0.000,0,0.000,0.57467229483248106,0.065484717717391935,0.010328016971034438,0.011876356558860577,0.57457431362695366,0.064622406683593314,0.010104118749833246,0.011662988503213364,1.2461175286058772E-29,1.2777146748801241E-29,3000000
6,6.590,3000000,100.000,12.267,0,0,0.000,0,0.000,0.572986445728091,0.059347594051514851,0.0068395568889950886,0.014728701020083215,0.57456484157552368,0.0621188826700267,0.0067937332742773358,0.01461034041522892,3.194933711494037E-26,3.2565338303545405E-26,3000000
7,6.900,3000000,100.000,12.711,0,0,0.000,0,0.000,0.54336924537619569,0.010538438835641623,0.027213142033377848,0.053376372664046427,0.54381234585130223,0.011311868722108253,0.026946951362174693,0.052838782534811987,2.4208069682724727E-23,2.4510893555092312E-23,3000000
8,7.098,3000000,100.000,14.472,0,0,0.000,0,0.000,0.57245556850185941,0.07095592489160657,0.0058769867028643473,0.0087788939593969571,0.571997501856125,0.0704121233379779,0.005821673187442,0.00870479586077331,8.1138860565335554E-22,8.2155321509551167E-22,3000000
9,7.126,3000000,100.000,14.665,0,0,0.000,0,0.000,0.57008042715404528,0.054253823850706484,0.0075478223207543459,0.012801310421570355,0.56945881256409947,0.053357235709010985,0.0074977969113844021,0.012689565706370797,2.8761254739503279E-22,2.9120595380701051E-22,3000000
10,7.225,3000000,100.000,14.193,0,0,0.000,0,0.000,0.5692473661512083,0.064223217032016625,0.0078438143092067029,0.013668544194720278,0.56924432902782962,0.063723385416022682,0.0077586732687081232,0.013518213787719908,1.3782862778327855E-21,1.3957574227604188E-21,3000000
