node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,11.189,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,11.648,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,12.107,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,12.090,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,12.445,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,12.505,0,0,0.000,0,0.000,0.61344151151256154,0.12219818391523643,0.01973517160301836,0.03828664999448577,0.61173067160881056,0.11737755370510486,0.019403141638425263,0.037727287999106837,7.4853803046434734E-31,7.6502256232980338E-31,3000000
6,6.590,3000000,100.000,13.063,0,0,0.000,0,0.000,0.6278198412060827,0.15163732239740133,0.0073554511883732795,0.013632810964186091,0.62927375419498544,0.15448051172670527,0.0073353145849223717,0.013623713850453145,3.5632402178105574E-27,3.6247544885421721E-27,3000000
7,6.900,3000000,100.000,13.819,0,0,0.000,0,0.000,0.64173982177408928,0.16985447491200417,0.01427982124246995,0.035505635790584009,0.64105781525108252,0.1687229980378615,0.014037397059883534,0.034936974725855212,3.1737265832466639E-24,3.2164583555515243E-24,3000000
8,7.225,3000000,100.000,15.067,0,0,0.000,0,0.000,0.66251581832223982,0.22105250013007963,0.0051715370917739751,0.0099445946757864487,0.66114067431986812,0.21802696748605696,0.005177953300501633,0.009981147480990514,1.0979547610166638E-21,1.117625483933322E-21,3000000
9,7.566,3000000,100.000,15.778,0,0,0.000,0,0.000,0.67456535322042188,0.24734547256373918,0.0044655960129515006,0.0084612951899692875,0.67493143154642388,0.24769931058953337,0.0044246378485432152,0.0083941431033774747,2.0988085427361255E-19,2.1247714936790782E-19,3000000
10,7.922,3000000,100.000,18.571,0,0,0.000,0,0.000,0.67608661570774176,0.25486399394990056,0.0061300018699688916,0.011667129856869298,0.67691623811796864,0.25620418586880445,0.0060684287118476007,0.011550732444022065,2.1394937054112609E-17,2.1682427701074604E-17,3000000
11,8.295,3000000,100.000,19.543,0,0,0.000,0,0.000,0.68750838728619368,0.286227931225385,0.0071815229623709261,0.0094345335171870277,0.68737397888880125,0.28591417958803905,0.0071032876402092222,0.0093353080768010417,1.287444552004523E-15,1.3023275919833656E-15,3000000
12,8.686,3000000,100.000,20.424,0,0,0.000,0,0.000,0.70249386073510633,0.30952868627907548,0.0024701891354280319,0.0046197711614629081,0.702281375182052,0.30918083086050224,0.0024605573482560416,0.0045988939603790694,4.9175019952127173E-14,4.9816609458934922E-14,3000000
