node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,10.797,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,11.099,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,12.739,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,12.323,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,12.530,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,12.625,0,0,0.000,0,0.000,0.58895327594351743,0.07213139295475951,0.011563607126839952,0.020435855750560967,0.591174570438391,0.074532173889858069,0.011448539857895531,0.020367871403090702,3.7634337709605816E-30,3.8826518151274681E-30,3000000
6,6.590,3000000,100.000,12.675,0,0,0.000,0,0.000,0.52056902824445139,-0.0043926747172734568,0.036379306122156417,0.032060361995915568,0.52340438325146055,0.0001019295330600425,0.035946708036342888,0.031878274008320454,1.06815307077327E-26,1.0877012505607381E-26,3000000
7,6.900,3000000,100.000,12.921,0,0,0.000,0,0.000,0.56827354098962268,0.049790162611215154,0.0067606021614142918,0.011620598183588168,0.56831132021432851,0.049770879895441031,0.0067051502257409745,0.011531641557311187,6.4105784204257524E-24,6.4793148166301542E-24,3000000
8,7.225,3000000,100.000,13.831,0,0,0.000,0,0.000,0.80148362647340821,0.414933171403298,2.5997984779613133E-05,4.029252210038212E-05,0.80148328514902711,0.41493267108114729,2.6339235078199057E-05,4.0792584284695244E-05,1.8450445366212938E-17,1.8450467668819215E-17,3000000
9,7.566,3000000,100.000,14.181,0,0,0.000,0,0.000,0.55789216464481406,0.040769681008730539,0.0052618529567534083,0.0087810645387918513,0.55842536550086275,0.041317550973978566,0.0052148317197962171,0.0087333428181750484,3.1687358004939555E-19,3.220998629635415E-19,3000000
10,7.922,3000000,100.000,14.189,0,0,0.000,0,0.000,0.5578899910662487,0.058850648098976721,0.0058342269035074777,0.0090725109126322222,0.557397833171923,0.05741138317017512,0.0057703062383010085,0.009002826652329,2.7486559533402331E-17,2.8004494667571177E-17,3000000
11,8.295,3000000,100.000,14.584,0,0,0.000,0,0.000,0.55017352829743327,0.051470282563154758,0.0049664181443717969,0.0083034246974511318,0.54940157316455052,0.050338729544980358,0.0049390385358595258,0.0082579295141886212,1.4712064437267711E-15,1.4870581457761369E-15,3000000
12,8.686,3000000,100.000,15.559,0,0,0.000,0,0.000,0.54596395606572268,0.051727679447173235,0.00442193402918359,0.0075433385828180179,0.54602700117105274,0.050980071048652729,0.0043791965215717382,0.0074696516304886586,5.0689520973096379E-14,5.141938202965527E-14,3000000
13,9.095,3000000,100.000,16.520,0,0,0.000,0,0.000,0.54119710200961013,0.044053381572948275,0.0060052095649448661,0.0070660147182983832,0.54094870737747036,0.043850919044464573,0.005962584425153951,0.0070164032984860319,1.1745584646984156E-12,1.1858591155605136E-12,3000000
14,9.523,3000000,100.000,17.531,0,0,0.000,0,0.000,0.53927582580193745,0.054587168203722357,0.0045119729415072024,0.0053698990185582661,0.539631789454707,0.054983985860154343,0.0044701303397260174,0.00534358591132096,1.7314759823406298E-11,1.7520359959848762E-11,3000000
15,9.972,3000000,100.000,18.575,0,0,0.000,0,0.000,0.53408772421054584,0.058092984728031934,0.0038464866205430988,0.0054541656160006242,0.53399496677322233,0.058063266962185452,0.0038278800292461147,0.0054264715420186743,2.0043984967059371E-10,2.021357882058027E-10,3000000
16,10.441,3000000,100.000,19.386,0,0,0.000,0,0.000,0.52841707760384682,0.057411791308243545,0.0038008409603898043,0.00521586554146632,0.528278360316073,0.057317779347022181,0.0037788206092953607,0.0051861470087844076,1.7108455450486513E-09,1.7248952007383412E-09,3000000
17,10.933,3000000,100.000,19.762,0,0,0.000,0,0.000,0.52080578838491176,0.055012139290505323,0.0029809453049154818,0.0043574118879208821,0.5206055460114356,0.055074782397954748,0.0029734296781837172,0.0043416851376068726,1.1868686047388452E-08,1.1955874268318735E-08,3000000
18,11.448,3000000,100.000,22.742,0,0,0.000,0,0.000,0.51513669822929675,0.060573157551386057,0.0070829919951017764,0.011340575284854106,0.51479138288356119,0.060418778224086978,0.0070395477490784245,0.011261617557719686,6.447163749619013E-08,6.4955578979597634E-08,3000000
19,11.987,3000000,100.000,22.815,0,0,0.000,0,0.000,0.50235815844186793,0.049774328217778017,0.0030568631664276025,0.0040896636381671176,0.50214558036695678,0.049483082024021331,0.0030396938990457914,0.0040661413512719149,2.88109772043738E-07,2.9027477129529396E-07,3000000
20,12.552,3000000,100.000,20.872,6,0,100.000,0,0.000,0.49698424448226569,0.050991679186511221,0.00717436630843163,0.012363230890244532,0.49724976068807808,0.05128109873296359,0.0071212567868117653,0.012273784312030384,1.1873215546658273E-06,1.1961878279551614E-06,3000000
21,13.143,3000000,100.000,21.578,14,0,100.000,0,0.000,0.4975052699407746,0.055137602071632263,0.0056645562195774051,0.0092802130384231941,0.49757268822204231,0.055333414528649372,0.0056326489837138756,0.0092260685199678089,4.0976459414131268E-06,4.1229092633657134E-06,3000000
22,13.762,3000000,100.000,23.307,37,0,100.000,2,5.405,0.48343629694280865,0.050377294263229642,0.0034035977727153509,0.0046918286222859531,0.48337196530425985,0.0504977590562739,0.003383871119729002,0.0046636972126854106,1.1745714356215649E-05,1.1825551757968998E-05,3000000
23,14.410,3000000,100.000,21.244,101,0,100.000,7,6.931,0.47190444918385505,0.05238071008823892,0.0029529881146654934,0.0034962363892101795,0.47138409320336438,0.052352030112533775,0.0030103006487136826,0.0034967633789024172,3.0231300247310324E-05,3.044256191205E-05,3000000
24,15.089,3000000,57.579,21.739,212,7,96.804,3,1.370,0.4725527613203887,0.0598770790527556,0.0021857231782540683,0.0027508174063938249,0.47261828010668344,0.060153613152591136,0.0021854392993271325,0.0027524700454239436,7.2830260428116659E-05,7.33444479782515E-05,3000000
25,15.799,3000000,78.065,21.762,424,3,99.297,23,5.386,0.46227548651587175,0.056501591207016248,0.0018119332980647751,0.0021203344850899094,0.46200842784193519,0.056241310450299453,0.0018054893439716278,0.0021161261586518142,0.00015765650493383974,0.00015866473358347013,3000000
26,16.543,3000000,51.763,23.634,927,7,99.251,60,6.424,0.46225851375075294,0.06049112615861791,0.001460552008099977,0.0017559567210994745,0.46179955334376627,0.0602037327703478,0.0014563267900248172,0.0017525556976169879,0.00031567686258461032,0.00031799178774155222,3000000
27,17.323,3000000,29.959,22.355,1702,66,96.267,51,2.885,0.45162299329328287,0.05490636900042517,0.0012919816760994258,0.0015021298020665504,0.4508823750039998,0.054638823681870653,0.0012906277862377285,0.0014974852609072485,0.00059656747236823166,0.00060136206049574419,3000000
28,18.138,3000000,31.821,22.194,3413,29,99.157,224,6.508,0.44846623654453216,0.058553680280789479,0.0011601911562986022,0.0013402756534179252,0.44740224912199983,0.058194074516614853,0.0011585804478578224,0.0013345813775655108,0.0010595848135748281,0.0010690284073279438,3000000
29,18.993,3000000,26.808,22.489,5613,29,99.486,412,7.302,0.44243254323525827,0.056978296522271044,0.0010512187165932646,0.0011925352952632294,0.44069854604218833,0.056511310036066395,0.0010487111127789905,0.0011868018985142972,0.00179411383530708,0.001812438611375118,3000000
30,19.887,3000000,20.401,22.819,8776,202,97.750,582,6.483,0.43880274148094006,0.058340026715581035,0.0009515940293066804,0.001069188256254925,0.43641368172799327,0.057755422965849651,0.000947866540679022,0.0010624856675402895,0.0028842227935157567,0.0029196912585804013,3000000
31,20.824,3000000,13.039,26.672,13599,130,99.053,1149,8.369,0.43408504208940463,0.055332937660729269,0.00087488153004572041,0.0009725682433357895,0.43046545219965637,0.054484550236433359,0.000870693591861013,0.00096447464326003388,0.00432469072674618,0.0043931746184735151,3000000
32,21.804,3000000,10.567,25.009,19224,765,96.173,1227,6.138,0.432464409456383,0.057055130748867935,0.00081631990899161985,0.00089841041402430452,0.42741145516706641,0.055818162990446216,0.0008114733527704957,0.00088819443204595676,0.0062517156140959717,0.006371224976900707,3000000
33,22.831,3000000,9.782,24.715,27854,350,98.759,2627,9.314,0.42710917994116854,0.054731833002486061,0.00076586112726913333,0.00082932453382148961,0.42086881194202858,0.053639289569488373,0.00076017677406230492,0.00081860131691689677,0.0087782786258837776,0.0089803430340061989,3000000
34,23.907,3000000,8.096,25.151,36770,1765,95.420,2550,6.617,0.42361214678490139,0.052531809753231788,0.00072106900415183292,0.00077134863856670466,0.41526372569137959,0.050885695786235877,0.00071494937592060171,0.00075842368613939068,0.011965264382284874,0.012300257009332415,3000000
35,25.033,3000000,6.825,25.587,45187,6366,87.652,68,0.132,0.42194382580664613,0.050060900821466178,0.0006816061461477486,0.00072246002241321383,0.4119329413458962,0.048149314409888663,0.00067428093399061724,0.000708169668488156,0.015866096485087286,0.016398197356744096,3000000
