спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
AS80_Lu176                   known        1.9484     1.9483   -0.005  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s; Lu-176 98.96→98.66
AS80_Lu176_v2                known        1.8411     1.8404   -0.038  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
AS80_Th232Medal              known       12.6617    12.6578   -0.031  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
ASN16_Lu176                  known        3.6601     3.6459   -0.388  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
ASN16_Lu176_P0               known        0.4126     0.4127   +0.024  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
G1S16_Ba133_P25              known        2.6608     2.6608   +0.000  mda_decay_s, mda_decay_s, measured_kev, peak_counts, peak_share
G1S16_Ba133_P5               known       11.4952    11.4891   -0.053  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Eu152_P25              known        3.4509     3.4509   +0.000  measured_kev, peak_counts, shift_kev
G1S16_Eu152_P5               known       13.5955    13.5950   -0.004  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Mix_Denta100           known       13.3378    13.3350   -0.021  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Mix_Mar                known       35.5598    35.5529   -0.019  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Am-241 17.48→17.62; Ti-44 4.87→4.72
G1S16_Mix_Petri              known       12.0496    12.0465   -0.026  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Ra226_Mar              known        2.8172     2.8164   -0.028  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S16_Ra226_Mar_2            known        4.8982     4.8998   +0.033  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Th228_P5               known        4.4483     4.4484   +0.002  chi2ndf, chi2ndf_pois, dt_decay_s, dt_decay_s, measured_kev, model_kev
G1S16_Th232_Denta100         known        1.4452     1.4451   -0.007  anchor_note, chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s
G1S16_Th232_Mar_2            known        3.3905     3.3904   -0.003  anchor_offset_kev, chi2ndf, chi2ndf_pois, dt_decay_s, dt_decay_s, mda_decay_s
G1S16_Th232_Mar_3            known        5.3165     5.3200   +0.066  anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s
G1S16_Th232_Petri            known        1.5475     1.5483   +0.052  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ba133_P5               known       17.3493    17.3747   +0.146  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
