spectrum,det,part,matrix,component,energy_kev,lines,intensity_pct,expected,measured,sigma,z,ratio,purity,decision,obligatory
ASN16_Th232,ASN16,unknown,0,Ac-228,57.77,1,0.4700,4607475.3,4729596.2,2767.5,44.13,1.0265,0.008,2803.1,1
ASN16_Th232,ASN16,unknown,0,Ac-228,95.31,4,7.6200,1234295.4,1154681.4,2257.6,-35.26,0.9355,0.431,3247.7,1
ASN16_Th232,ASN16,unknown,0,Ac-228,108.58,1,0.3900,549135.2,598245.3,2310.2,21.26,1.0894,0.647,3564.5,1
ASN16_Th232,ASN16,unknown,0,Ac-228,129.07,1,2.4200,417104.5,414781.0,2437.7,-0.95,0.9944,0.477,3850.5,1
ASN16_Th232,ASN16,unknown,0,Ac-228,153.98,1,0.7220,222274.3,213508.7,2519.8,-3.48,0.9606,0.340,4058.0,1
ASN16_Th232,ASN16,unknown,0,Ac-228,209.49,3,4.9650,1604116.6,1841051.3,2991.8,79.20,1.1477,0.225,4370.2,1
ASN16_Th232,ASN16,unknown,0,Ac-228,270.25,1,3.4600,2082526.5,2003106.8,3053.0,-26.01,0.9619,0.122,4434.8,1
ASN16_Th232,ASN16,unknown,0,Ac-228,336.20,4,14.9890,1767358.7,2749804.8,2856.3,343.95,1.5559,0.618,3810.3,1
ASN16_Th232,ASN16,unknown,0,Ac-228,409.46,1,1.9200,177303.1,71520.7,2076.9,-50.93,0.4034,0.851,3373.8,1
ASN16_Th232,ASN16,unknown,0,Ac-228,463.00,1,4.4000,442847.8,482224.9,2118.6,18.59,1.0889,0.750,3279.5,1
ASN16_Th232,ASN16,unknown,0,Ac-228,508.96,1,0.4500,517307.4,423787.2,2214.7,-42.23,0.8192,0.170,3469.8,1
ASN16_Th232,ASN16,unknown,0,Ac-228,562.50,1,0.8700,571164.2,1185724.7,2401.9,255.87,2.0760,0.117,3510.7,1
ASN16_Th232,ASN16,unknown,0,Ac-228,674.75,1,2.1000,259320.8,189417.0,1673.5,-41.77,0.7304,0.633,2647.2,1
ASN16_Th232,ASN16,unknown,0,Ac-228,779.42,5,7.8450,773568.4,662536.3,1538.5,-72.17,0.8565,0.709,2136.5,1
ASN16_Th232,ASN16,unknown,0,Ac-228,836.18,3,3.0600,619992.0,692764.6,1458.3,49.90,1.1174,0.831,1958.4,1
ASN16_Th232,ASN16,unknown,0,Ac-228,911.00,2,26.5700,2467439.9,2538365.1,1922.4,36.89,1.0287,0.976,1757.2,1
ASN16_Th232,ASN16,unknown,0,Ac-228,967.84,3,21.0700,2155467.2,2231059.5,1786.1,42.32,1.0351,0.993,1597.7,1
ASN16_Th232,ASN16,unknown,0,Ac-228,1110.61,1,0.2850,70442.9,48408.3,896.0,-24.59,0.6872,0.298,1415.8,1
ASN16_Th232,ASN16,unknown,0,Ac-228,1247.08,1,0.5000,44103.6,46452.6,836.2,2.81,1.0533,0.834,1318.8,1
ASN16_Th232,ASN16,unknown,0,Ac-228,1482.93,3,2.1500,190068.5,138882.3,795.3,-64.36,0.7307,0.885,1141.5,1
ASN16_Th232,ASN16,unknown,0,Ac-228,1602.51,4,5.8000,518219.8,588157.3,1027.8,68.05,1.1350,0.797,1120.4,1
ASN16_Th232,ASN16,unknown,0,Ra-224,82.76,2,0.3426,2081992.5,2025032.7,2343.0,-24.31,0.9726,0.246,3037.9,1
ASN16_Th232,ASN16,unknown,0,Ra-224,95.52,2,0.0976,1278448.9,1200569.3,2310.0,-33.71,0.9391,0.300,3326.4,1
ASN16_Th232,ASN16,unknown,0,Ra-224,240.99,1,4.1000,6607642.0,6836795.8,3807.3,60.19,1.0347,0.819,4536.7,1
ASN16_Th232,ASN16,unknown,0,Pb-212,78.22,3,32.5504,2385632.7,2488607.6,2398.9,42.93,1.0432,0.229,2948.5,1
ASN16_Th232,ASN16,unknown,0,Pb-212,89.78,1,1.7585,1676104.2,1556294.9,2328.7,-51.45,0.9285,0.208,3213.6,1
ASN16_Th232,ASN16,unknown,0,Pb-212,115.18,1,0.5964,415517.3,474487.6,2341.6,25.18,1.1419,0.028,3665.1,1
ASN16_Th232,ASN16,unknown,0,Pb-212,238.63,1,43.6000,6631397.6,6883603.5,3817.8,66.06,1.0380,0.114,4546.4,1
ASN16_Th232,ASN16,unknown,0,Pb-212,300.09,1,3.3005,838060.4,649949.2,2667.1,-70.53,0.7755,0.068,4167.2,1
ASN16_Th232,ASN16,unknown,0,Bi-212,39.86,1,1.0600,740117.3,560276.9,1739.7,-103.37,0.7570,0.101,2574.0,1
ASN16_Th232,ASN16,unknown,0,Bi-212,72.87,1,0.0925,3303967.2,3439095.3,2567.5,52.63,1.0409,0.002,2897.8,1
ASN16_Th232,ASN16,unknown,0,Bi-212,288.20,1,0.3370,815205.3,493443.1,2709.5,-118.75,0.6053,0.030,4289.6,1
ASN16_Th232,ASN16,unknown,0,Bi-212,328.03,1,0.1250,1643433.5,2571901.2,2862.8,324.32,1.5650,0.006,3885.8,1
ASN16_Th232,ASN16,unknown,0,Bi-212,452.98,1,0.3630,405091.6,474028.4,2106.5,32.73,1.1702,0.063,3261.3,1
ASN16_Th232,ASN16,unknown,0,Bi-212,727.33,1,6.6700,697572.2,779714.0,1689.1,48.63,1.1178,0.690,2357.8,1
ASN16_Th232,ASN16,unknown,0,Bi-212,785.37,1,1.1020,777978.7,654496.7,1544.9,-79.93,0.8413,0.200,2153.9,1
ASN16_Th232,ASN16,unknown,0,Bi-212,893.41,1,0.3780,2087557.3,2202159.7,1850.4,61.93,1.0549,0.014,1806.3,1
ASN16_Th232,ASN16,unknown,0,Bi-212,952.12,1,0.1700,2719902.4,2723718.1,1935.0,1.97,1.0014,0.007,1648.4,1
ASN16_Th232,ASN16,unknown,0,Bi-212,1078.62,1,0.5640,69311.6,47517.6,904.8,-24.09,0.6856,0.573,1432.1,1
ASN16_Th232,ASN16,unknown,0,Bi-212,1512.70,1,0.2900,258939.8,264253.8,869.8,6.11,1.0205,0.098,1141.8,1
ASN16_Th232,ASN16,unknown,0,Bi-212,1620.50,1,1.4700,502182.5,556837.4,1013.2,53.94,1.1088,0.208,1122.3,1
ASN16_Th232,ASN16,unknown,0,Bi-212,1806.00,1,0.0900,22885.6,27962.6,705.0,7.20,1.2218,0.277,1122.3,1
ASN16_Th232,ASN16,unknown,0,Tl-208,76.64,4,2.5097,2561795.8,2717962.8,2429.4,64.28,1.0610,0.012,2911.2,1
ASN16_Th232,ASN16,unknown,0,Tl-208,277.37,1,2.3720,1167040.0,957833.1,2849.8,-73.41,0.8207,0.028,4387.8,1
ASN16_Th232,ASN16,unknown,0,Tl-208,510.77,1,8.1224,508244.3,391707.5,2203.1,-52.90,0.7707,0.220,3462.3,1
ASN16_Th232,ASN16,unknown,0,Tl-208,583.19,1,30.5490,584346.0,1748533.9,2468.4,471.63,2.9923,0.712,3417.4,1
ASN16_Th232,ASN16,unknown,0,Tl-208,763.13,1,0.6433,866167.8,786817.7,1626.6,-48.78,0.9084,0.010,2231.7,1
ASN16_Th232,ASN16,unknown,0,Tl-208,860.56,1,4.4925,1066744.3,1153773.2,1578.7,55.13,1.0816,0.057,1891.5,1
ASN16_Th232,ASN16,unknown,0,Tl-208,2614.51,1,35.8516,487387.5,474646.3,750.9,-16.97,0.9739,1.000,487.5,1
ASN16_Th232,ASN16,unknown,0,Pb-214,53.23,1,1.0733,3843984.7,3821239.5,2591.0,-8.78,0.9941,0.006,2786.8,1
ASN16_Th232,ASN16,unknown,0,Pb-214,78.22,3,16.9457,2385632.7,2488607.6,2398.9,42.93,1.0432,0.137,2948.5,1
ASN16_Th232,ASN16,unknown,0,Pb-214,89.78,1,0.9155,1676104.2,1556294.9,2328.7,-51.45,0.9285,0.125,3213.6,1
ASN16_Th232,ASN16,unknown,0,Pb-214,243.14,2,7.7927,6572101.7,6770351.1,3803.2,52.13,1.0302,0.023,4547.3,1
