det,channels,spectra,e_lo,e_hi,res_c0,res_c1,res_c2,fwhm_662_pct
AS1PRO,8192,1,20.0,2800.0,0.0,2.2590235290696685,0.0015806794543213817,7.07
AS80x80,8192,9,30,2800,0.0,5.8868278996758026,-0.0011714490295857132,8.79
ASN16,8192,12,30,2800,0.0,1.921970930416318,0.000577661828617476,5.9
ASN3,2500,1,20.0,2800.0,0.0,2.6378763736546884,-0.00029257061029012234,6.08
ASN8_1024,1024,1,30,2800,0.0,2.3120041577617205,0.00039159458862426434,6.23
ASN8_2048,2048,1,30,2800,0.0,3.1729287189143287,0.00015746690163926953,7.04
ASN8_3000,3000,1,30,2800,0.0,2.995687296152891,0.0003503907868217421,6.98
ASN8_4096,4096,1,30,2800,0.0,3.0052306537084195,0.00020580606610946466,6.89
ASN8_8192,8192,3,30,2800,0.0,3.5987049577323,-1.22587189764921e-06,7.37
G1S16,1024,37,30.0,2800.0,0.0,2.622244625253026,0.00042165754078098654,6.62
G1S24,1024,39,30.0,2800.0,0.0,3.1997592614109718,0.0004950738730150535,7.3
GS4000,4000,4,20.0,2800.0,0.0,2.2563058103556095,0.0015649933385475845,7.05
HPGE,16384,1,20.0,2700.0,0.0,0.0019588854033677798,9.809606904964245e-07,0.2
HPGE_GEM,8192,3,20.0,2800.0,0.0,0.002456823760470551,9.812390932058475e-08,0.2
HPGE_GMX,8192,4,20.0,2800.0,0.0,0.00278132444669225,-1.4134071892429586e-07,0.2
LABR_BRIL,1024,2,30.0,2800.0,0.0,0.5493517599029897,5.305586371292265e-06,2.89
OBS,1024,1,30,2800,0.0,1.6765720003963254,0.0,5.03
RC101,1024,1,30,2800,0.0,9.847055493026657,0.0,12.2
RC103,1024,7,30,2800,0.0,2.310177067543784,0.0024939512231144582,7.74
