geometry,spectrum,preset,vessel
G1S_point5,G1S16_Am241_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Ba133_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Cd109_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Ce139_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Co57_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Co60_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Cs137_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Eu152_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Mn54_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Na22_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Th228_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S16_Y88_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Am241_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Ba133_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Bi207_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Cd109_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Co60_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Cs137_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Eu152_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Na22_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Th228_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Y88_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point5,G1S24_Zn65_P5,Gamma-1S UDS-GC 63x63,"точечный источник, 5 см от торца"
G1S_point25,G1S16_Am241_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Ba133_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Cd109_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Ce139_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Co60_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Cs137_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Eu152_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Mn54_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Na22_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Th228_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S16_Y88_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S24_Cs137_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S24_Na22_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S24_Th228_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
G1S_point25,G1S24_Y88_P25,Gamma-1S UDS-GC 63x63,"точечный источник, 25 см от торца"
AS80_point0,AS80_Cs137_0cm,Atom Spectra Pro 80x80,"точечный источник, вплотную к торцу"
