file,format,physics,bin,histories,nodes,lo,hi,bytes
0287f7f6-e492-c3ef-02aa-f922d1e07552.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
04d28c74-e0d4-9d32-2bc0-cd12c59b998c.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
0b58cea4-b8af-4297-1e2b-0fdfa6e40c3f.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,389117
10130f74-47dd-27d9-46b8-fb5c8271f084.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,482669
11d8337f-3f31-3b2c-f625-8f9bec43a3f1.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
1eb5247c-3880-474b-295b-f8a61f3187fb.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
28b990e4-f7dc-3116-e27e-be996cdd1d91.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
2992663a-84a9-9264-dfc8-2cf14a25cc21.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
2fecfdc4-9f49-742f-c154-9617cacf5318.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
34c0ad77-6a01-d6ed-1447-d49b32889411.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
37f93a41-e560-68e3-3900-a08567ebafe4.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
38d9c7f8-f938-50f4-8ef6-b3ff1cf79e03.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
53bd04df-6e8d-1f9e-83a2-564d7b8b327d.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
552a036a-dfc9-c14c-b505-fbfaadbaf1ae.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,456141
59d90fb3-76cc-c566-6db4-f829c99ac6ca.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
5a5c317a-0751-ac21-a6e8-185bdd6fc5f2.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
61d23db3-f81e-aecf-fe2b-5b601ed9326e.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
68449eb8-40d8-1ccc-d718-bfa9105ee418.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
6b61f24c-55c3-f6c0-8603-8ad89cc01ed8.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
6c14ccdc-6ed8-e995-58a6-f2a64fe0bfcd.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
6ed49f5c-2dd6-7721-537c-60c030d94137.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
6fafd956-34af-0bed-9910-3ee13f5424e3.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
77ab0974-6f2b-47cb-c1ca-042f7150bbe2.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
80fe173b-d74c-4bad-6a94-5213b32f2495.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
8b274676-e4b0-184b-fa1c-2c8d3592c725.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
9e1c51ab-cf78-66a4-1150-87dc22f327c4.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
a1438401-8aeb-009d-edc5-210a2a14ecdd.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
a43b8253-1140-8904-1140-2410f7114e45.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
a7eb945d-9246-91ca-c23b-65a4402448cd.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
b495efd5-978c-c40b-720d-4a2ca7fa2455.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
bbc4db49-18f4-2299-4337-0f2f11b88c88.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,479261
c157b4bb-7884-36c7-7050-77aac7272d8a.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
c2cf3bec-4df6-39dc-8b24-e5977eda81f1.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
c33e2b8d-5594-53ab-aa5b-2df4abcd0b56.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
c4123ab9-b4d7-e796-6ffd-0891f4d71111.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,482669
c6e83c91-6a59-95c2-12b5-2b326706f97c.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
cce59946-11c3-5472-6c3d-302ae9d6f3f1.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
d373d6c3-467d-5a40-0410-ad5e3c60cb70.rmx,6,11,2.0,1200000,100,30.000000000000004,2999.9999999999977,472921
d8f04e41-0488-dc39-8416-d51b803b5e8a.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
e42f1d2c-7212-6988-b30d-da3995473bfe.rmx,6,11,2.0,300000,100,30.000000000000004,2999.9999999999977,484733
