detector,k_fwhm,i_min_pct,set_lines,recall_pct,finder_only_recall_pct,library_peaks,finder_peaks_lost,phantom_lines,phantom_rate_pct,ms
ASN16,0.00,0.00,82.8,84.4,53.9,16.31,3.06,16.56,33.1,859
ASN16,0.00,0.05,57.5,84.4,53.9,15.50,2.81,15.81,46.2,796
ASN16,0.00,0.10,55.2,84.4,53.9,15.38,2.81,15.25,46.2,805
ASN16,0.00,0.20,49.5,84.4,53.9,15.38,2.88,14.50,47.9,986
ASN16,0.00,0.50,38.8,85.1,53.9,12.69,2.25,12.25,51.0,833
ASN16,0.00,1.00,31.0,85.8,53.9,10.56,2.00,9.00,48.0,662
ASN16,0.00,2.00,20.2,73.8,53.9,6.25,1.31,5.69,48.4,408
ASN16,0.30,0.00,46.0,80.1,53.9,12.38,2.38,16.56,33.3,914
ASN16,0.30,0.05,37.5,84.4,53.9,12.31,2.44,15.81,46.5,754
ASN16,0.30,0.10,36.2,84.4,53.9,12.38,2.50,15.25,46.6,772
ASN16,0.30,0.20,34.8,84.4,53.9,12.06,2.38,14.38,47.9,853
ASN16,0.30,0.50,29.5,85.8,53.9,11.56,2.19,12.25,51.0,816
ASN16,0.30,1.00,25.5,85.8,53.9,9.56,1.75,9.00,48.0,592
ASN16,0.30,2.00,17.8,73.8,53.9,5.69,1.12,5.69,48.4,296
ASN16,0.50,0.00,37.0,85.8,53.9,12.94,2.62,16.56,33.3,940
ASN16,0.50,0.05,31.5,85.8,53.9,11.69,2.38,15.81,46.5,874
ASN16,0.50,0.10,30.5,85.8,53.9,11.56,2.38,15.25,46.6,859
ASN16,0.50,0.20,29.8,85.8,53.9,11.31,2.31,14.38,47.9,875
ASN16,0.50,0.50,26.0,86.5,53.9,10.31,2.00,12.25,51.0,756
ASN16,0.50,1.00,22.2,88.7,53.9,8.75,1.62,9.00,48.0,492
ASN16,0.50,2.00,15.8,76.6,53.9,5.38,0.94,5.69,48.4,232
ASN16,0.70,0.00,31.0,87.2,53.9,11.88,2.00,16.44,42.7,924
ASN16,0.70,0.05,25.5,87.9,53.9,10.19,1.75,14.38,49.1,665
ASN16,0.70,0.10,25.2,87.9,53.9,9.94,1.75,13.94,48.9,657
ASN16,0.70,0.20,24.5,87.9,53.9,9.81,1.69,12.81,48.8,580
ASN16,0.70,0.50,21.5,87.2,53.9,8.44,1.38,10.81,51.5,416
ASN16,0.70,1.00,19.5,87.2,53.9,7.31,1.19,8.44,47.5,303
ASN16,0.70,2.00,15.8,76.6,53.9,5.38,0.94,5.19,46.1,217
ASN16,0.85,0.00,27.5,85.8,53.9,10.94,1.62,15.94,49.4,435
ASN16,0.85,0.05,23.5,86.5,53.9,9.56,1.44,13.44,53.2,357
ASN16,0.85,0.10,23.2,86.5,53.9,9.31,1.44,13.00,53.1,357
ASN16,0.85,0.20,22.8,86.5,53.9,9.06,1.31,12.31,52.4,330
ASN16,0.85,0.50,21.0,85.8,53.9,8.12,1.12,10.31,54.3,323
ASN16,0.85,1.00,18.8,85.8,53.9,6.94,0.94,8.50,52.3,261
ASN16,0.85,2.00,15.2,76.6,53.9,5.25,0.88,4.88,47.6,206
ASN16,1.00,0.00,24.5,82.3,53.9,9.50,1.50,14.12,50.4,375
ASN16,1.00,0.05,22.8,82.3,53.9,9.12,1.44,12.19,54.2,331
ASN16,1.00,0.10,22.2,82.3,53.9,8.69,1.31,11.81,53.7,328
ASN16,1.00,0.20,22.0,82.3,53.9,8.56,1.25,11.19,52.6,317
ASN16,1.00,0.50,20.5,82.3,53.9,7.81,1.19,9.62,55.0,308
ASN16,1.00,1.00,18.2,82.3,53.9,6.62,1.00,7.75,52.5,272
ASN16,1.00,2.00,15.0,73.8,53.9,5.06,1.00,4.75,47.5,210
ASN16,1.30,0.00,20.0,75.2,53.9,7.50,1.31,12.31,50.3,292
ASN16,1.30,0.05,18.2,75.2,53.9,7.00,1.25,10.44,53.5,256
ASN16,1.30,0.10,18.0,75.2,53.9,6.75,1.25,10.00,52.6,248
ASN16,1.30,0.20,17.5,75.2,53.9,6.38,1.12,9.50,51.4,243
ASN16,1.30,0.50,15.2,72.3,53.9,5.19,1.00,8.62,54.8,217
ASN16,1.30,1.00,13.8,72.3,53.9,4.44,0.88,7.19,53.2,203
ASN16,1.30,2.00,12.0,66.7,53.9,3.50,0.88,4.69,48.1,160
ASN16,1.60,0.00,17.8,72.3,53.9,6.31,1.12,9.69,48.4,260
ASN16,1.60,0.05,15.5,70.9,53.9,5.69,1.06,8.75,50.7,227
ASN16,1.60,0.10,15.2,70.9,53.9,5.44,1.06,8.31,49.6,215
ASN16,1.60,0.20,15.0,70.9,53.9,5.31,1.00,8.31,49.6,223
ASN16,1.60,0.50,13.5,68.8,53.9,4.38,0.81,7.50,52.6,197
ASN16,1.60,1.00,12.5,68.8,53.9,3.75,0.75,6.06,51.6,183
ASN16,1.60,2.00,11.2,64.5,53.9,2.94,0.75,4.19,47.9,154
ASN16,2.00,0.00,14.5,67.4,53.9,5.19,0.88,7.00,46.7,181
ASN16,2.00,0.05,13.2,67.4,53.9,4.81,0.81,6.56,49.5,159
ASN16,2.00,0.10,13.0,67.4,53.9,4.56,0.81,6.56,49.5,154
ASN16,2.00,0.20,12.8,67.4,53.9,4.44,0.75,6.56,49.5,160
ASN16,2.00,0.50,11.8,67.4,53.9,3.94,0.75,5.69,51.7,142
ASN16,2.00,1.00,10.8,67.4,53.9,3.44,0.69,5.44,51.8,135
ASN16,2.00,2.00,9.8,64.5,53.9,2.88,0.62,4.00,47.1,139
AS80x80,0.00,0.00,82.8,78.5,46.8,11.56,2.31,10.25,22.2,586
AS80x80,0.00,0.05,57.5,79.7,46.8,11.44,2.12,9.81,30.9,686
AS80x80,0.00,0.10,55.2,79.7,46.8,11.25,2.06,9.44,30.9,651
AS80x80,0.00,0.20,49.5,79.7,46.8,11.12,2.19,8.69,31.3,695
AS80x80,0.00,0.50,38.8,83.5,46.8,9.44,1.81,7.06,33.2,630
AS80x80,0.00,1.00,31.0,83.5,46.8,7.50,1.50,5.44,33.0,407
AS80x80,0.00,2.00,20.2,75.9,46.8,5.06,1.06,3.62,33.7,260
AS80x80,0.30,0.00,44.5,86.1,46.8,10.50,2.25,10.19,22.4,592
AS80x80,0.30,0.05,36.5,87.3,46.8,9.62,1.94,9.81,31.4,698
AS80x80,0.30,0.10,35.2,87.3,46.8,9.44,1.88,9.44,31.5,632
AS80x80,0.30,0.20,34.2,87.3,46.8,9.25,1.88,8.69,31.9,633
AS80x80,0.30,0.50,29.2,88.6,46.8,8.00,1.56,7.06,33.2,539
AS80x80,0.30,1.00,25.2,88.6,46.8,6.75,1.31,5.44,33.0,399
AS80x80,0.30,2.00,17.5,75.9,46.8,4.06,0.81,3.62,33.7,243
AS80x80,0.50,0.00,34.5,86.1,46.8,9.19,2.00,10.19,22.4,638
AS80x80,0.50,0.05,29.5,87.3,46.8,7.94,1.62,9.81,31.4,598
AS80x80,0.50,0.10,28.5,87.3,46.8,7.75,1.56,9.44,31.5,534
AS80x80,0.50,0.20,28.0,87.3,46.8,7.69,1.56,8.69,31.9,497
AS80x80,0.50,0.50,24.8,88.6,46.8,6.69,1.25,7.06,33.2,423
AS80x80,0.50,1.00,21.5,88.6,46.8,5.56,1.12,5.44,33.0,421
AS80x80,0.50,2.00,15.8,75.9,46.8,3.31,0.56,3.62,33.7,195
AS80x80,0.70,0.00,28.8,87.3,46.8,7.38,1.25,10.50,30.9,625
AS80x80,0.70,0.05,24.2,88.6,46.8,6.38,0.94,8.94,34.4,351
AS80x80,0.70,0.10,24.0,88.6,46.8,6.25,0.88,8.62,34.5,342
AS80x80,0.70,0.20,23.2,89.9,46.8,6.25,0.88,8.25,35.1,309
AS80x80,0.70,0.50,21.2,89.9,46.8,5.50,0.81,7.00,36.4,260
AS80x80,0.70,1.00,19.0,89.9,46.8,4.81,0.81,5.12,35.3,258
AS80x80,0.70,2.00,15.5,75.9,46.8,3.31,0.56,3.62,36.2,221
AS80x80,0.85,0.00,25.0,87.3,46.8,6.38,0.75,9.62,34.1,322
AS80x80,0.85,0.05,22.8,87.3,46.8,5.94,0.81,8.00,35.2,257
AS80x80,0.85,0.10,22.2,87.3,46.8,5.81,0.75,7.69,35.3,233
AS80x80,0.85,0.20,22.0,87.3,46.8,5.75,0.75,7.50,36.1,230
AS80x80,0.85,0.50,20.5,87.3,46.8,5.25,0.69,6.25,37.3,240
AS80x80,0.85,1.00,18.2,87.3,46.8,4.56,0.69,5.06,36.8,213
AS80x80,0.85,2.00,15.0,74.7,46.8,3.19,0.50,3.62,38.2,200
AS80x80,1.00,0.00,21.5,78.5,46.8,5.44,0.81,8.75,34.0,178
AS80x80,1.00,0.05,19.8,78.5,46.8,4.94,0.75,7.56,35.6,180
AS80x80,1.00,0.10,19.5,78.5,46.8,4.81,0.69,7.25,35.4,176
AS80x80,1.00,0.20,19.2,78.5,46.8,4.75,0.69,7.12,36.1,186
AS80x80,1.00,0.50,18.0,78.5,46.8,4.31,0.62,6.00,36.9,179
AS80x80,1.00,1.00,16.2,78.5,46.8,3.75,0.56,5.00,37.0,169
AS80x80,1.00,2.00,13.5,67.1,46.8,2.56,0.50,3.62,38.2,153
AS80x80,1.30,0.00,18.2,73.4,46.8,4.44,0.94,7.12,34.3,204
AS80x80,1.30,0.05,16.0,73.4,46.8,3.69,0.75,6.06,34.6,196
AS80x80,1.30,0.10,15.8,73.4,46.8,3.56,0.69,6.06,34.6,185
AS80x80,1.30,0.20,15.5,73.4,46.8,3.50,0.69,5.94,34.9,194
AS80x80,1.30,0.50,13.8,68.4,46.8,2.81,0.56,5.19,35.8,181
AS80x80,1.30,1.00,12.8,65.8,46.8,2.62,0.50,4.38,36.5,168
AS80x80,1.30,2.00,11.5,57.0,46.8,2.00,0.50,3.25,36.1,159
AS80x80,1.60,0.00,16.0,62.0,46.8,3.50,0.75,6.12,36.0,190
AS80x80,1.60,0.05,14.8,62.0,46.8,3.12,0.69,5.31,36.6,185
AS80x80,1.60,0.10,14.5,62.0,46.8,3.00,0.62,5.25,36.8,184
AS80x80,1.60,0.20,14.2,62.0,46.8,2.94,0.62,5.12,37.3,185
AS80x80,1.60,0.50,13.2,62.0,46.8,2.56,0.56,4.44,36.2,167
AS80x80,1.60,1.00,12.5,62.0,46.8,2.44,0.50,3.81,36.3,158
AS80x80,1.60,2.00,11.2,55.7,46.8,1.94,0.50,3.00,36.4,152
AS80x80,2.00,0.00,13.8,58.2,46.8,2.94,0.44,4.94,34.6,120
