spectrum,detector,chain,chain_present,k_fwhm,i_min_pct,set_lines,peaks_total,peaks_finder,peaks_library,anchors,finder_lost,strong_lines_found,strong_lines_total,strong_lines_found_finder_only,phantom_lines,decoy_lines,ms
ASN16_Th232,ASN16,Th-232,pos,0.00,0.00,69,66,8,58,1,11,21,21,13,37,46,1735
ASN16_Th232,ASN16,Th-232,pos,0.00,0.05,66,64,8,56,1,11,21,21,13,35,44,1557
ASN16_Th232,ASN16,Th-232,pos,0.00,0.10,65,63,8,55,1,11,21,21,13,34,43,1701
ASN16_Th232,ASN16,Th-232,pos,0.00,0.20,60,57,9,48,1,10,21,21,13,31,38,1727
ASN16_Th232,ASN16,Th-232,pos,0.00,0.50,44,46,10,36,1,9,21,21,13,20,28,1848
ASN16_Th232,ASN16,Th-232,pos,0.00,1.00,30,35,13,22,1,6,21,21,13,12,18,1129
ASN16_Th232,ASN16,Th-232,pos,0.00,2.00,21,27,16,11,1,3,18,21,13,7,9,633
ASN16_Th232,ASN16,Th-232,pos,0.30,0.00,43,43,12,31,1,7,21,21,13,37,46,1011
ASN16_Th232,ASN16,Th-232,pos,0.30,0.05,42,42,12,30,1,7,21,21,13,35,44,1072
ASN16_Th232,ASN16,Th-232,pos,0.30,0.10,41,41,12,29,1,7,21,21,13,34,43,1057
ASN16_Th232,ASN16,Th-232,pos,0.30,0.20,38,38,13,25,1,6,21,21,13,31,38,961
ASN16_Th232,ASN16,Th-232,pos,0.30,0.50,32,36,12,24,1,7,21,21,13,20,28,631
ASN16_Th232,ASN16,Th-232,pos,0.30,1.00,25,31,14,17,1,5,21,21,13,12,18,607
ASN16_Th232,ASN16,Th-232,pos,0.30,2.00,18,25,17,8,1,2,18,21,13,7,9,309
ASN16_Th232,ASN16,Th-232,pos,0.50,0.00,35,37,14,23,1,5,21,21,13,37,46,406
ASN16_Th232,ASN16,Th-232,pos,0.50,0.05,34,36,14,22,1,5,21,21,13,35,44,421
