E_keV,eps_sim,err_pct,eps_ref,ratio
50,1.58032E-002,0.85,0.00000E+000,-
60,1.76285E-002,0.83,0.00000E+000,-
80,1.96196E-002,0.82,0.00000E+000,-
100,2.00555E-002,0.83,0.00000E+000,-
150,1.93533E-002,0.85,0.00000E+000,-
200,1.68594E-002,0.94,0.00000E+000,-
300,1.12794E-002,1.18,0.00000E+000,-
400,7.60053E-003,1.42,0.00000E+000,-
600,4.26555E-003,1.94,0.00000E+000,-
662,3.87722E-003,2.01,0.00000E+000,-
800,3.06632E-003,2.33,0.00000E+000,-
1000,2.15328E-003,2.74,0.00000E+000,-
1250,1.74163E-003,3.19,0.00000E+000,-
1461,1.36784E-003,3.44,0.00000E+000,-
1800,1.12722E-003,3.70,0.00000E+000,-
2200,9.46570E-004,4.46,0.00000E+000,-
2614,7.74812E-004,4.83,0.00000E+000,-
