E_keV,eps_sim,err_pct,eps_ref,ratio
40,3.86379E-003,0.39,0.00000E+000,-
50,4.55859E-003,0.38,0.00000E+000,-
60,4.85951E-003,0.38,0.00000E+000,-
70,5.00785E-003,0.38,0.00000E+000,-
80,5.02935E-003,0.38,0.00000E+000,-
90,5.08245E-003,0.38,0.00000E+000,-
100,5.00174E-003,0.39,0.00000E+000,-
120,4.85288E-003,0.40,0.00000E+000,-
150,4.12357E-003,0.44,0.00000E+000,-
186,3.38560E-003,0.50,0.00000E+000,-
240,2.38065E-003,0.61,0.00000E+000,-
300,1.44419E-003,0.80,0.00000E+000,-
352,1.11872E-003,0.92,0.00000E+000,-
400,8.41160E-004,1.08,0.00000E+000,-
460,6.47517E-004,1.23,0.00000E+000,-
510,5.13319E-004,1.37,0.00000E+000,-
583,4.07333E-004,1.57,0.00000E+000,-
609,3.72019E-004,1.63,0.00000E+000,-
662,3.29603E-004,1.74,0.00000E+000,-
720,2.79828E-004,1.92,0.00000E+000,-
800,2.29936E-004,2.12,0.00000E+000,-
900,1.95915E-004,2.29,0.00000E+000,-
1000,1.63133E-004,2.52,0.00000E+000,-
1120,1.35257E-004,2.78,0.00000E+000,-
1250,1.19636E-004,3.00,0.00000E+000,-
1461,9.08916E-005,3.45,0.00000E+000,-
1600,7.69820E-005,3.72,0.00000E+000,-
1765,6.72240E-005,3.88,0.00000E+000,-
2000,5.58015E-005,4.36,0.00000E+000,-
2200,5.14621E-005,4.64,0.00000E+000,-
2450,4.57910E-005,4.74,0.00000E+000,-
2615,4.15829E-005,5.11,0.00000E+000,-
2800,3.84869E-005,5.34,0.00000E+000,-
3000,3.53222E-005,5.68,0.00000E+000,-
