E_keV,eps_sim,err_pct,eps_ref,ratio
50,4.55372E-003,0.70,0.00000E+000,-
60,4.85859E-003,0.70,0.00000E+000,-
80,5.07825E-003,0.70,0.00000E+000,-
100,5.01327E-003,0.71,0.00000E+000,-
150,4.12905E-003,0.81,0.00000E+000,-
200,2.96595E-003,0.99,0.00000E+000,-
300,1.41618E-003,1.47,0.00000E+000,-
400,8.50996E-004,1.94,0.00000E+000,-
600,4.10037E-004,2.89,0.00000E+000,-
662,3.63244E-004,3.03,0.00000E+000,-
800,2.60499E-004,3.55,0.00000E+000,-
1000,1.67888E-004,4.53,0.00000E+000,-
1250,1.24193E-004,5.34,0.00000E+000,-
1461,9.94568E-005,6.16,0.00000E+000,-
1800,8.21451E-005,6.49,0.00000E+000,-
2200,6.96532E-005,7.25,0.00000E+000,-
2614,4.65141E-005,8.52,0.00000E+000,-
