E_keV,eps_sim,err_pct,eps_ref,ratio
40,2.60751E-003,0.32,0.00000E+000,-
50,3.05292E-003,0.32,0.00000E+000,-
60,3.26008E-003,0.31,0.00000E+000,-
70,3.35590E-003,0.31,0.00000E+000,-
80,3.41063E-003,0.31,0.00000E+000,-
90,3.41421E-003,0.32,0.00000E+000,-
100,3.36733E-003,0.32,0.00000E+000,-
120,3.26743E-003,0.33,0.00000E+000,-
150,2.83783E-003,0.36,0.00000E+000,-
186,2.36083E-003,0.41,0.00000E+000,-
240,1.72756E-003,0.50,0.00000E+000,-
300,1.05908E-003,0.65,0.00000E+000,-
352,8.30589E-004,0.74,0.00000E+000,-
400,6.16785E-004,0.86,0.00000E+000,-
460,4.84344E-004,1.00,0.00000E+000,-
510,3.83429E-004,1.11,0.00000E+000,-
583,3.04446E-004,1.25,0.00000E+000,-
609,2.80912E-004,1.33,0.00000E+000,-
662,2.48207E-004,1.40,0.00000E+000,-
720,2.13880E-004,1.50,0.00000E+000,-
800,1.71793E-004,1.68,0.00000E+000,-
900,1.48607E-004,1.81,0.00000E+000,-
1000,1.23994E-004,2.00,0.00000E+000,-
1120,9.99871E-005,2.26,0.00000E+000,-
1250,8.86328E-005,2.40,0.00000E+000,-
1461,6.99270E-005,2.70,0.00000E+000,-
1600,6.30184E-005,2.83,0.00000E+000,-
1765,5.67469E-005,3.05,0.00000E+000,-
2000,4.79690E-005,3.27,0.00000E+000,-
2200,3.85385E-005,3.67,0.00000E+000,-
2450,3.41371E-005,3.77,0.00000E+000,-
2615,3.16364E-005,3.99,0.00000E+000,-
2800,2.77794E-005,4.07,0.00000E+000,-
3000,2.63207E-005,4.39,0.00000E+000,-
